NUMERIC REFERENCE,REFERENCE,CITATION,NUMBER OF OCCURRENCES
386,"Mateo, G. (2024). Personal Database.","Mateo, G. (2024). Personal Database.",265590
263,"Flora-On: Flora de Portugal Interactiva. Sociedade Portuguesa de Botânica. www.flora-on.pt. Last accessed February, 2025.","Flora-On: Flora de Portugal Interactiva. Sociedade Portuguesa de Botânica. www.flora-on.pt. Last accessed February, 2025.",75574
201,"Buira, A., Fernández-Mazuecos, M., Aedo, C., Molina-Venegas, R. (2020). The contribution of the edaphic factor as a driver of recent plant diversification in a Mediterranean biodiversity hotspot. DRYAD, https://doi.org/10.5061/dryad.c59zw3r5r.","Buira, A., Fernández-Mazuecos, M., Aedo, C., Molina-Venegas, R. (2020). The contribution of the edaphic factor as a driver of recent plant diversification in a Mediterranean biodiversity hotspot. DRYAD, https://doi.org/10.5061/dryad.c59zw3r5r.",39751
265,Folia Botanica Extremadurensis,Folia Botanica Extremadurensis,39533
486,"Serra Laliga, L. 2019. La flora del Paisaje Protegido de las sierras del Maigmó y del Sit","Serra Laliga, L. 2019. La flora del Paisaje Protegido de las sierras del Maigmó y del Sit",18339
487,"Serra Laliga, L. 2021. El patrimoni vegetal de Monòver. ISBN 978-84-09-36962-I","Serra Laliga, L. 2021. El patrimoni vegetal de Monòver. ISBN 978-84-09-36962-I",17169
313,"Guardiola, M., & Sáez, L. (2023). Are Mediterranean Island Mountains Hotspots of Taxonomic and Phylogenetic Biodiversity? The Case of the Endemic Flora of the Balearic Islands. Plants, 12(14), 2640. https://doi.org/10.3390/plants12142640","Guardiola, M., & Sáez, L. (2023). Are Mediterranean Island Mountains Hotspots of Taxonomic and Phylogenetic Biodiversity? The Case of the Endemic Flora of the Balearic Islands. Plants, 12(14), 2640. https://doi.org/10.3390/plants12142640",15620
471,"Salazar Mendías, C (2024). Universidad de Jaén - Herbario de la Universidad de Jaén (JAEN). Version 1.7. Universidad de Jaén. Occurrence dataset. https://doi.org/10.15470/wiadvo","Salazar Mendías, C (2024). Universidad de Jaén - Herbario de la Universidad de Jaén (JAEN). Version 1.7. Universidad de Jaén. Occurrence dataset. https://doi.org/10.15470/wiadvo",10255
264,FlorAnd: Flora de Andalucía online. https://servicio.us.es/florand,FlorAnd: Flora de Andalucía online. https://servicio.us.es/florand,8634
420,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra","Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra",8378
310,"González Ortega, D., E. Álvarez Gómez, J. Peláez Blanco, R. Sánchez Fernández, N. Gallego Rojas & J. García Guerra (2024). Atlas de las orquídeas silvestres de la ZEC Humada-Peña Amaya (Burgos). Flora Montiberica 88: 3-30.","González Ortega, D., E. Álvarez Gómez, J. Peláez Blanco, R. Sánchez Fernández, N. Gallego Rojas & J. García Guerra (2024). Atlas de las orquídeas silvestres de la ZEC Humada-Peña Amaya (Burgos). Flora Montiberica 88: 3-30.",4221
430,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24.","Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24.",4214
354,"MACB (2024). Herbario de la Facultad de Ciencias Biológicas de la Universidad Complutense de Madrid (MACB). Departamento de Biodiversidad, Ecología y Evolución, Unidad Docente de Botánica. Fac. de Ciencias Biológicas, Univ. Complutense de Madrid. https://doi.org/10.15470/akznrb","MACB (2024). Herbario de la Facultad de Ciencias Biológicas de la Universidad Complutense de Madrid (MACB). Departamento de Biodiversidad, Ecología y Evolución, Unidad Docente de Botánica. Fac. de Ciencias Biológicas, Univ. Complutense de Madrid. https://doi.org/10.15470/akznrb",4137
223,"Catalan Rodriguez, P. & Aizpuru Oiarbide, I. (1985). Aportación al catálogo florístico de la cuenca del Bidasoa (Guipúzcoa y Navarra). Munibe Ciencias Naturales. Natur zientziak, (37), 17-86. https://www.aranzadi.eus/fileadmin/docs/Munibe/1985017086CN.pdf","Catalan Rodriguez, P. & Aizpuru Oiarbide, I. (1985). Aportación al catálogo florístico de la cuenca del Bidasoa (Guipúzcoa y Navarra). Munibe Ciencias Naturales. Natur zientziak, (37), 17-86. https://www.aranzadi.eus/fileadmin/docs/Munibe/1985017086CN.pdf",3236
187,"Barredo, J. J. (2001) Aportaciones corológicas para la cuenca del río Omecillo (Alava-Burgos) y los territorios limítrofes alaveses de Valderejo y Sobrón, casi exclusivamente. Munibe, 51, 59-66. https://www.aranzadi.eus/fileadmin/docs/Munibe/2001059066CN.pdf","Barredo, J. J. (2001) Aportaciones corológicas para la cuenca del río Omecillo (Alava-Burgos) y los territorios limítrofes alaveses de Valderejo y Sobrón, casi exclusivamente. Munibe, 51, 59-66. https://www.aranzadi.eus/fileadmin/docs/Munibe/2001059066CN.pdf",2828
