Taxon,Scientific_Name,Endemic,Genus,Species,Subspecies,Class,Order,Family,GBIF_id,POW_Name
Abies alba,Abies alba Mill.,FALSE,Abies,alba,NA,Pinopsida,Pinales,Pinaceae,2685484,
Abies pinsapo,Abies pinsapo Boiss.,TRUE,Abies,pinsapo,NA,Pinopsida,Pinales,Pinaceae,2685464,
Acer campestre,Acer campestre L.,FALSE,Acer,campestre,NA,Magnoliopsida,Sapindales,Sapindaceae,3189863,
Acer monspessulanum monspessulanum,Acer monspessulanum monspessulanum L.,FALSE,Acer,monspessulanum,monspessulanum,Magnoliopsida,Sapindales,Sapindaceae,7262958,
Acer opalus granatense,Acer opalus granatense (Boiss.) Font Quer & Rothm.,FALSE,Acer,opalus,granatense,Magnoliopsida,Sapindales,Sapindaceae,7263115,
Acer opalus opalus,Acer opalus opalus Mill.,FALSE,Acer,opalus,opalus,Magnoliopsida,Sapindales,Sapindaceae,7100278,
Acer platanoides,Acer platanoides L.,FALSE,Acer,platanoides,NA,Magnoliopsida,Sapindales,Sapindaceae,3189846,
Acer pseudoplatanus,Acer pseudoplatanus L.,FALSE,Acer,pseudoplatanus,NA,Magnoliopsida,Sapindales,Sapindaceae,3189870,
Aceras anthropophorum,Aceras anthropophorum (L.) W.T. Aiton,FALSE,Aceras,anthropophorum,NA,Magnoliopsida,Asparagales,Orchidaceae,2849624,
Achillea ageratum,Achillea ageratum L.,FALSE,Achillea,ageratum,NA,Magnoliopsida,Asterales,Asteraceae,3120391,
Achillea ceretanica,Achillea ceretanica (Sennen) I.Soriano,TRUE,Achillea,ceretanica,NA,Magnoliopsida,Asterales,Asteraceae,9544507,
Achillea chamaemelifolia,Achillea chamaemelifolia Pourr.,TRUE,Achillea,chamaemelifolia,NA,Magnoliopsida,Asterales,Asteraceae,3120253,
Achillea millefolium,Achillea millefolium L.,FALSE,Achillea,millefolium,NA,Magnoliopsida,Asterales,Asteraceae,3120060,
Achillea odorata,Achillea odorata L.,FALSE,Achillea,odorata,NA,Magnoliopsida,Asterales,Asteraceae,7674113,
Achillea pyrenaica,Achillea pyrenaica Sibth. ex Godr.,FALSE,Achillea,pyrenaica,NA,Magnoliopsida,Asterales,Asteraceae,8011422,
Achillea santolinoides,Achillea santolinoides Lag.,FALSE,Achillea,santolinoides,NA,Magnoliopsida,Asterales,Asteraceae,3120235,
Achillea tomentosa,Achillea tomentosa L.,FALSE,Achillea,tomentosa,NA,Magnoliopsida,Asterales,Asteraceae,7787053,
Achnatherum bromoides,Achnatherum bromoides (L.) P.Beauv.,FALSE,Achnatherum,bromoides,NA,Magnoliopsida,Poales,Poaceae,4142335,
Achnatherum calamagrostis,Achnatherum calamagrostis P.Beauv.,FALSE,Achnatherum,calamagrostis,NA,Magnoliopsida,Poales,Poaceae,4142326,
Achyrophorus rutea,Achyrophorus rutea (Talavera) Talavera,FALSE,Achyrophorus,rutea,NA,Magnoliopsida,Asterales,Asteraceae,10783402,
Achyrophorus stuessyi,"Achyrophorus stuessyi F.J.Jiménez, M.Ángeles & M.Talavera",FALSE,Achyrophorus,stuessyi,NA,Magnoliopsida,Asterales,Asteraceae,10716299,
Achyrophorus valdesii,"Achyrophorus valdesii F.J.Jiménez, M.Ángeles & M.Talavera",FALSE,Achyrophorus,valdesii,NA,Magnoliopsida,Asterales,Asteraceae,10767432,
Acinos alpinus,Acinos alpinus (L.) Moench,FALSE,Acinos,alpinus,NA,Magnoliopsida,Lamiales,Lamiaceae,7307319,
Acinos arvensis,Acinos arvensis (Lam.) Dandy,FALSE,Acinos,arvensis,NA,Magnoliopsida,Lamiales,Lamiaceae,2927118,
Acinos rotundifolius,Acinos rotundifolius Pers.,FALSE,Acinos,rotundifolius,NA,Magnoliopsida,Lamiales,Lamiaceae,7307136,
Aconitum anthora,Aconitum anthora L.,FALSE,Aconitum,anthora,NA,Magnoliopsida,Ranunculales,Ranunculaceae,3033670,
Aconitum burnatii,Aconitum burnatii Gáyer,FALSE,Aconitum,burnatii,NA,Magnoliopsida,Ranunculales,Ranunculaceae,8189059,
Aconitum napellus castellanum,Aconitum napellus castellanum Molero & C. Blanché,TRUE,Aconitum,napellus,castellanum,Magnoliopsida,Ranunculales,Ranunculaceae,11675039,
Aconitum napellus lusitanicum,Aconitum napellus lusitanicum Rouy,FALSE,Aconitum,napellus,lusitanicum,Magnoliopsida,Ranunculales,Ranunculaceae,3033665,
Aconitum napellus vulgare,Aconitum napellus vulgare Rouy & Foucaud,FALSE,Aconitum,napellus,vulgare,Magnoliopsida,Ranunculales,Ranunculaceae,3033665,
Aconitum variegatum pyrenaicum,Aconitum variegatum pyrenaicum Vivant & Delay,TRUE,Aconitum,variegatum,pyrenaicum,Magnoliopsida,Ranunculales,Ranunculaceae,11418923,
Aconitum vulparia neapolitanum,Aconitum vulparia neapolitanum (Ten.) Muñoz Garm.,FALSE,Aconitum,vulparia,neapolitanum,Magnoliopsida,Ranunculales,Ranunculaceae,3033675,
Actaea spicata,Actaea spicata L.,FALSE,Actaea,spicata,NA,Magnoliopsida,Ranunculales,Ranunculaceae,5371473,
Adenocarpus anisochilus,Adenocarpus anisochilus Boiss.,TRUE,Adenocarpus,anisochilus,NA,Magnoliopsida,Fabales,Fabaceae,2951633,
Adenocarpus argyrophyllus,Adenocarpus argyrophyllus (Rivas Goday) Caball.,TRUE,Adenocarpus,argyrophyllus,NA,Magnoliopsida,Fabales,Fabaceae,2951636,
Adenocarpus aureus,Adenocarpus aureus (Cav.) Pau,TRUE,Adenocarpus,aureus,NA,Magnoliopsida,Fabales,Fabaceae,2951647,
Adenocarpus complicatus,Adenocarpus complicatus (L.) J. Gay,FALSE,Adenocarpus,complicatus,NA,Magnoliopsida,Fabales,Fabaceae,2951647,
Adenocarpus decorticans,Adenocarpus decorticans Boiss.,FALSE,Adenocarpus,decorticans,NA,Magnoliopsida,Fabales,Fabaceae,2951626,
Adenocarpus desertorum,Adenocarpus desertorum Castrov.,TRUE,Adenocarpus,desertorum,NA,Magnoliopsida,Fabales,Fabaceae,3970595,
Adenocarpus gibbsianus,Adenocarpus gibbsianus Castrov. & Talavera,TRUE,Adenocarpus,gibbsianus,NA,Magnoliopsida,Fabales,Fabaceae,2951647,
Adenocarpus hispanicus,Adenocarpus hispanicus (Lam.) DC.,TRUE,Adenocarpus,hispanicus,NA,Magnoliopsida,Fabales,Fabaceae,2951633,
Adenocarpus lainzii,Adenocarpus lainzii (Castrov.) Castrov.,TRUE,Adenocarpus,lainzii,NA,Magnoliopsida,Fabales,Fabaceae,2951647,
Adenocarpus telonensis,Adenocarpus telonensis (Loisel.) DC.,FALSE,Adenocarpus,telonensis,NA,Magnoliopsida,Fabales,Fabaceae,2951631,
Adenostyles alliariae,Adenostyles alliariae (Gouan) Kern.,FALSE,Adenostyles,alliariae,NA,Magnoliopsida,Asterales,Asteraceae,3133702,
Adenostyles alpina pyrenaica,Adenostyles alpina pyrenaica (Lange) Dillenb. & Kadereit,TRUE,Adenostyles,alpina,pyrenaica,Magnoliopsida,Asterales,Asteraceae,3133705,
Adiantum capillus-veneris,Adiantum capillus-veneris L.,FALSE,Adiantum,capillus-veneris,NA,Polypodiopsida,Polypodiales,Pteridaceae,2651816,
Adonis aestivalis aestivalis,Adonis aestivalis aestivalis L.,FALSE,Adonis,aestivalis,aestivalis,Magnoliopsida,Ranunculales,Ranunculaceae,5371707,
Adonis aestivalis squarrosa,Adonis aestivalis squarrosa (Steven) Nyman,FALSE,Adonis,aestivalis,squarrosa,Magnoliopsida,Ranunculales,Ranunculaceae,5371707,
Adonis annua,Adonis annua L.,FALSE,Adonis,annua,NA,Magnoliopsida,Ranunculales,Ranunculaceae,5371709,
Adonis flammea,Adonis flammea Jacq.,FALSE,Adonis,flammea,NA,Magnoliopsida,Ranunculales,Ranunculaceae,8246651,
Adonis microcarpa,Adonis microcarpa DC.,FALSE,Adonis,microcarpa,NA,Magnoliopsida,Ranunculales,Ranunculaceae,5616463,
