"Taxon","UTM.cell"
"Abies alba","29TNG55"
"Abies alba","30TVM98"
"Abies alba","30TWM92"
"Abies alba","30TWN16"
"Abies alba","30TWN50"
"Abies alba","30TWN61"
"Abies alba","30TWN62"
"Abies alba","30TWN63"
"Abies alba","30TWN71"
"Abies alba","30TWN72"
"Abies alba","30TWN73"
"Abies alba","30TWN75"
"Abies alba","30TWN79"
"Abies alba","30TWN80"
"Abies alba","30TWN81"
"Abies alba","30TWN82"
"Abies alba","30TWN83"
"Abies alba","30TWN89"
"Abies alba","30TWN90"
"Abies alba","30TWN91"
"Abies alba","30TWN92"
"Abies alba","30TWN93"
"Abies alba","30TWN94"
"Abies alba","30TWP10"
"Abies alba","30TXK37"
"Abies alba","30TXL38"
"Abies alba","30TXN01"
"Abies alba","30TXN02"
"Abies alba","30TXN03"
"Abies alba","30TXN12"
"Abies alba","30TXN13"
"Abies alba","30TXN14"
"Abies alba","30TXN20"
"Abies alba","30TXN23"
"Abies alba","30TXN24"
"Abies alba","30TXN86"
"Abies alba","31TCF79"
"Abies alba","31TCG00"
"Abies alba","31TDF28"
"Abies alba","31TDG69"
"Abies alba","31TDG84"
"Abies alba","31TDH11"
"Abies alba","31TDH20"
"Abies alba","31TDH21"
"Abies alba","31TDH30"
"Abies alba","31TDH40"
"Abies alba","31TDH50"
"Abies pinsapo","30SVG52"
"Abies pinsapo","30SXG28"
"Abies pinsapo","30SXG29"
"Abies pinsapo","30TWN68"
"Abies pinsapo","30TXN90"
"Abies pinsapo","31TCH72"
"Abies pinsapo","31TDG07"
"Abies pinsapo","31TDG18"
"Abies pinsapo","31TDG38"
"Abies pinsapo","31TDG46"
"Abies pinsapo","31TDG47"
"Abies pinsapo","31TDG56"
"Abies pinsapo","31TDG59"
"Abies pinsapo","31TDH90"
"Acer campestre","29SQD33"
"Acer campestre","29SQD43"
"Acer campestre","29TNE85"
"Acer campestre","30STF87"
"Acer campestre","30SWG32"
"Acer campestre","30SWG44"
"Acer campestre","30TWP38"
"Acer campestre","30TXN48"
"Acer campestre","30TXN67"
"Acer campestre","30TXN76"
"Acer campestre","30TXP00"
"Acer campestre","30TXP70"
"Acer campestre","30TYN38"
"Acer campestre","30TYN47"
"Acer campestre","30UXV52"
"Acer campestre","30UXV62"
"Acer campestre","30UXV72"
"Acer campestre","30UYU18"
"Acer campestre","31TBH57"
"Acer campestre","31TBH79"
"Acer campestre","31TBH84"
"Acer campestre","31TBH85"
"Acer campestre","31TBH86"
"Acer campestre","31TBH94"
"Acer campestre","31TCH05"
"Acer campestre","31TCH06"
"Acer campestre","31TCH15"
"Acer campestre","31TCH16"
"Acer campestre","31TCH22?"
"Acer campestre","31TCH25"
"Acer campestre","31TCH35"
"Acer campestre","31TCH54"
"Acer campestre","31TCH64"
"Acer campestre","31TCH83"
"Acer campestre","31TCH95"
"Acer campestre","31TDG69"
"Acer monspessulanum monspessulanum","30SUF81"
"Acer monspessulanum monspessulanum","30SUK15"
"Acer monspessulanum monspessulanum","30SWK16"
"Acer monspessulanum monspessulanum","30TFJ03"
"Acer monspessulanum monspessulanum","31TBH21"
"Acer monspessulanum monspessulanum","31TCF38?"
"Acer monspessulanum monspessulanum","31TCH06"
"Acer monspessulanum monspessulanum","31TCH15"
"Acer monspessulanum monspessulanum","31TCK62"
"Acer monspessulanum monspessulanum","31TDH54"
"Acer monspessulanum monspessulanum","31TDH67"
"Acer opalus granatense","30STE91"
"Acer opalus granatense","30STG97"
"Acer opalus granatense","30SUD27"
"Acer opalus granatense","30SXK97"
"Acer opalus opalus","29TPH63"
"Acer opalus opalus","29TQF06"
"Acer opalus opalus","31SDE80"
"Acer platanoides","30SWG69"
"Acer platanoides","30SWG79"
"Acer platanoides","30SWG87"
"Acer platanoides","30SWG88"
"Acer platanoides","30SWG89"
"Acer platanoides","30SWG97"
"Acer platanoides","30SWG98"
"Acer platanoides","30SWG99"
"Acer platanoides","30SWH50"
"Acer platanoides","30SWH51"
"Acer platanoides","30SWH60"
"Acer platanoides","30SWH61"
"Acer platanoides","30SWH62"
"Acer platanoides","30SWH70"
"Acer platanoides","30SWH71"
"Acer platanoides","30SWH72"
"Acer platanoides","30SWH73"
"Acer platanoides","30SWH80"
"Acer platanoides","30SWH81"
"Acer platanoides","30SWH82"
"Acer platanoides","30SWH83"
"Acer platanoides","30SWH90"
"Acer platanoides","30SWH91"
"Acer platanoides","30SWH92"
"Acer platanoides","30SWH93"
"Acer platanoides","30SXG08"
"Acer platanoides","30SXG09"
"Acer platanoides","30SXG18"
"Acer platanoides","30SXG19"
"Acer platanoides","30SXG28"
"Acer platanoides","30SXG29"
"Acer platanoides","30SXH00"
"Acer platanoides","30SXH01"
"Acer platanoides","30SXH02"
"Acer platanoides","30SXH03"
"Acer platanoides","30SXH04"
"Acer platanoides","30SXH10"
"Acer platanoides","30SXH11"
"Acer platanoides","30SXH12"
"Acer platanoides","30SXH13"
"Acer platanoides","30SXH20"
"Acer platanoides","30SXH21"
"Acer platanoides","30SXH22"
"Acer platanoides","30SXH34"
"Acer platanoides","30SXH35"
"Acer platanoides","30SXH36"
"Acer platanoides","30SXH37"
"Acer platanoides","30SXH38"
"Acer platanoides","30SXH43"
"Acer platanoides","30SXH44"
"Acer platanoides","30SXH45"
"Acer platanoides","30SXH46"
"Acer platanoides","30SXH47"
"Acer platanoides","30SXH48"
"Acer platanoides","30SXH53"
"Acer platanoides","30SXH54"
"Acer platanoides","30SXH55"
"Acer platanoides","30SXH56"
"Acer platanoides","30SXH57"
"Acer platanoides","30SXH58"
"Acer platanoides","30SXH59"
"Acer platanoides","30TUK89"
"Acer pseudoplatanus","29SMC68"
"Acer pseudoplatanus","29SMC69"
"Acer pseudoplatanus","29TQE38"
"Acer pseudoplatanus","29TQE48"
"Acer pseudoplatanus","29TQE49"
"Acer pseudoplatanus","29TQF45"
"Acer pseudoplatanus","29TUN08"
"Acer pseudoplatanus","30STH70"
"Acer pseudoplatanus","30SVF27"
"Acer pseudoplatanus","30SWG32"
"Acer pseudoplatanus","30SWG69"
"Acer pseudoplatanus","30SWG79"
"Acer pseudoplatanus","30SWG87"
"Acer pseudoplatanus","30SWG88"
"Acer pseudoplatanus","30SWG89"
"Acer pseudoplatanus","30SWG97"
"Acer pseudoplatanus","30SWG98"
"Acer pseudoplatanus","30SWG99"
"Acer pseudoplatanus","30SWH50"
"Acer pseudoplatanus","30SWH51"
"Acer pseudoplatanus","30SWH60"
"Acer pseudoplatanus","30SWH61"
"Acer pseudoplatanus","30SWH62"
"Acer pseudoplatanus","30SWH70"
"Acer pseudoplatanus","30SWH71"
"Acer pseudoplatanus","30SWH72"
"Acer pseudoplatanus","30SWH73"
"Acer pseudoplatanus","30SWH80"
"Acer pseudoplatanus","30SWH81"
"Acer pseudoplatanus","30SWH82"
"Acer pseudoplatanus","30SWH83"
"Acer pseudoplatanus","30SWH90"
"Acer pseudoplatanus","30SWH91"
"Acer pseudoplatanus","30SWH92"
"Acer pseudoplatanus","30SWH93"
"Acer pseudoplatanus","30SWJ75"
"Acer pseudoplatanus","30SXG08"
"Acer pseudoplatanus","30SXG09"
"Acer pseudoplatanus","30SXG18"
"Acer pseudoplatanus","30SXG19"
"Acer pseudoplatanus","30SXG28"
"Acer pseudoplatanus","30SXG29"
"Acer pseudoplatanus","30SXH00"
"Acer pseudoplatanus","30SXH01"
"Acer pseudoplatanus","30SXH02"
"Acer pseudoplatanus","30SXH03"
"Acer pseudoplatanus","30SXH04"
"Acer pseudoplatanus","30SXH10"
"Acer pseudoplatanus","30SXH11"
"Acer pseudoplatanus","30SXH12"
"Acer pseudoplatanus","30SXH13"
"Acer pseudoplatanus","30SXH20"
"Acer pseudoplatanus","30SXH21"
"Acer pseudoplatanus","30SXH22"
"Acer pseudoplatanus","30SXH34"
"Acer pseudoplatanus","30SXH35"
"Acer pseudoplatanus","30SXH36"
"Acer pseudoplatanus","30SXH37"
"Acer pseudoplatanus","30SXH38"
"Acer pseudoplatanus","30SXH43"
"Acer pseudoplatanus","30SXH44"
"Acer pseudoplatanus","30SXH45"
"Acer pseudoplatanus","30SXH46"
"Acer pseudoplatanus","30SXH47"
"Acer pseudoplatanus","30SXH48"
"Acer pseudoplatanus","30SXH53"
"Acer pseudoplatanus","30SXH54"
"Acer pseudoplatanus","30SXH55"
"Acer pseudoplatanus","30SXH56"
"Acer pseudoplatanus","30SXH57"
"Acer pseudoplatanus","30SXH58"
"Acer pseudoplatanus","30SXH59"
"Acer pseudoplatanus","30SXJ63"
"Acer pseudoplatanus","30SYH46"
"Acer pseudoplatanus","30TTK85"
"Acer pseudoplatanus","30TTK86"
