Taxon,UTM10x10,UTM1x1,References
Luronium natans,30TUN41,NA,NA
Luronium natans,30TUN53,NA,NA
Luronium natans,30TUN53,NA,NA
Luronium natans,29TQF30,NA,NA
Chenopodium polyspermum,30TUN75,NA,NA
Coronopus squamatus,30TUM45,NA,NA
Corrigiola litoralis litoralis,30TUN65,NA,NA
Crypsis aculeata,30TUM45,NA,NA
Crypsis schoenoides,30TUM38,NA,NA
Damasonium polyspermum,30TUM51,NA,NA
Damasonium polyspermum,30TUM59,NA,NA
Damasonium polyspermum,30TUM76,NA,NA
Helichrysum luteoalbum,30TUM59,NA,NA
Helichrysum luteoalbum,30TUN75,NA,NA
Helichrysum luteoalbum,30TUN41,NA,NA
Helichrysum luteoalbum,30TUM38,NA,NA
Limosella aquatica,30TUM75,NA,NA
Myosurus minimus,30TUM88,NA,NA
Phalaris aquatica,30TVN03,NA,NA
Schenkia spicata,30TUM56,NA,NA
Schenkia spicata,30TUM45,NA,NA
Cicendia filiformis,30TUN53,NA,NA
Coronopus squamatus,30TVM14,NA,NA
Illecebrum verticillatum,30TUN53,NA,NA
Myosurus minimus,30TUN53,NA,NA
Pinguicula lusitanica,30TVN13,NA,NA
Rorippa pyrenaica,30TUN93,NA,NA
Rorippa pyrenaica,30TUN95,NA,NA
Draba hispanica lebrunii,30TUN45,NA,NA
Sorbus torminalis,29TPH80,NA,NA
Ophioglossum azoricum,29TPH80,NA,NA
Senecio legionensis,30TUN16,NA,NA
Senecio legionensis,30TUN13,NA,NA
Senecio legionensis,30TTN55,NA,NA
Senecio legionensis,30TTN86,NA,NA
Senecio legionensis,30TTN83,NA,NA
Senecio legionensis,30TTN75,NA,NA
Senecio legionensis,29TQH35,NA,NA
Senecio legionensis,29TQH45,NA,NA
Senecio legionensis,30TTN65,NA,NA
Genista sanabrensis,29TPH84,NA,NA
Genista sanabrensis,29TQH06,NA,NA
Genista sanabrensis,29TQH17,NA,NA
Bromus arvensis,30TTN94,NA,https://doi.org/10.15470/j3rugb
Bromus arvensis,30TUN22,NA,https://doi.org/10.15470/j3rugb
Bromus arvensis,30TUN15,30TUN1657,https://doi.org/10.15470/j3rugb
Bromus arvensis,30TUN22,NA,https://doi.org/10.15470/j3rugb
