Taxon,UTM10x10,UTM1x1,Ref,References
Puccinellia festuciformis,30TUM55,NA,"Rodríguez García, A., Alfaro-Saiz, E., Alonso, R., García González, M.E. (2014). Aportaciones a la flora de las zonas húmedas de la provincia de Palencia. Flora Montiberica, 56: 29-46.",NA
Puccinellia festuciformis,30TUM88,NA,"Rodríguez García, A., Alfaro-Saiz, E., Alonso, R., García González, M.E. (2014). Aportaciones a la flora de las zonas húmedas de la provincia de Palencia. Flora Montiberica, 56: 29-46.",NA
Puccinellia festuciformis,30TUM66,NA,"Rodríguez García, A., Alfaro-Saiz, E., Alonso, R., García González, M.E. (2014). Aportaciones a la flora de las zonas húmedas de la provincia de Palencia. Flora Montiberica, 56: 29-46.",NA
Pulicaria paludosa,30TUM77,NA,"Rodríguez García, A., Alfaro-Saiz, E., Alonso, R., García González, M.E. (2014). Aportaciones a la flora de las zonas húmedas de la provincia de Palencia. Flora Montiberica, 56: 29-46.",NA
Pulicaria paludosa,30TUN59,NA,"Rodríguez García, A., Alfaro-Saiz, E., Alonso, R., García González, M.E. (2014). Aportaciones a la flora de las zonas húmedas de la provincia de Palencia. Flora Montiberica, 56: 29-46.",NA
Pulicaria paludosa,30TUM45,NA,"Rodríguez García, A., Alfaro-Saiz, E., Alonso, R., García González, M.E. (2014). Aportaciones a la flora de las zonas húmedas de la provincia de Palencia. Flora Montiberica, 56: 29-46.",NA
Pulicaria paludosa,30TUM49,NA,"Rodríguez García, A., Alfaro-Saiz, E., Alonso, R., García González, M.E. (2014). Aportaciones a la flora de las zonas húmedas de la provincia de Palencia. Flora Montiberica, 56: 29-46.",NA
Quercus subpyrenaica,30TWM78,30TWM7085,NA,https://doi.org/10.15470/j3rugb
Quercus subpyrenaica,30TWM78,30TWM7085,NA,https://doi.org/10.15470/j3rugb
Aira caryophyllea,30TTN84,NA,NA,https://doi.org/10.15470/j3rugb
Bromus racemosus,30TTN83,NA,NA,https://doi.org/10.15470/j3rugb
Cistus psilosepalus,NA,NA,NA,https://doi.org/10.15470/j3rugb
Lavandula pedunculata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Quercus subpyrenaica,30TWM34,30TWM3742,NA,https://doi.org/10.15470/j3rugb
Cytisus scoparius,30SUF76,30SUF7269,NA,https://doi.org/10.15470/j3rugb
Carex rupestris,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex rupestris,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex leporina,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex divisa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex echinata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sylvatica sylvatica,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex elata reuteriana,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex laevigata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex distachya,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex leporina,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex divisa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex nigra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex echinata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex distachya,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex laevigata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex remota,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex elata reuteriana,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex depauperata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex paniculata lusitanica,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex distachya,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex flacca,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pairae,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex paniculata lusitanica,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex divisa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex hirta,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex ferruginea ferruginea,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex demissa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex demissa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex lepidocarpa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex panicea,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex halleriana,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pulicaris,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex vesicaria,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pilulifera,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex leporina,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex echinata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex remota,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex demissa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex punctata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex extensa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex extensa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex flava,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex elata reuteriana,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex panicea,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex ornithopoda,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex rostrata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex lepidocarpa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex nigra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex disticha,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pulicaris,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex rostrata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex nigra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex nigra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex sempervirens,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex diandra,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex flacca,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex flacca,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex rupestris,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pseudocyperus,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex leporina,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pilulifera,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pairae,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pairae,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex halleriana,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex laevigata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex hirta,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex leporina,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pairae,NA,NA,NA,https://doi.org/10.15470/j3rugb
