Taxon,UTM10x10,UTM1x1,References
Acer campestre,30TVN93,30TVN9639,"Barredo, J. J., & Barredo U. (2002). Aproximación al catálogo florístico de la cuenca del Omecillo, Valderejo y Sobrón. Munibe (Ciencias Naturales-Natur Zientziak), 53, 57-130.. https://www.aranzadi.eus/fileadmin/docs/Munibe/2002057129CN.pdf"
Acer campestre,30TWN98,30TWN9881,"Catalan Rodriguez, P. & Aizpuru Oiarbide, I. (1985). Aportación al catálogo florístico de la cuenca del Bidasoa (Guipúzcoa y Navarra). Munibe Ciencias Naturales. Natur zientziak, (37), 17-86.. https://www.aranzadi.eus/fileadmin/docs/Munibe/1985017086CN.pdf"
Acer campestre,30TWN98,30TWN9887,"Catalan Rodriguez, P. & Aizpuru Oiarbide, I. (1985). Aportación al catálogo florístico de la cuenca del Bidasoa (Guipúzcoa y Navarra). Munibe Ciencias Naturales. Natur zientziak, (37), 17-86.. https://www.aranzadi.eus/fileadmin/docs/Munibe/1985017086CN.pdf"
Acer campestre,30TWP90,30TWP9503,"Catalan Rodriguez, P. & Aizpuru Oiarbide, I. (1985). Aportación al catálogo florístico de la cuenca del Bidasoa (Guipúzcoa y Navarra). Munibe Ciencias Naturales. Natur zientziak, (37), 17-86.. https://www.aranzadi.eus/fileadmin/docs/Munibe/1985017086CN.pdf"
Acer campestre,30TXN08,30TXN0282,"Catalan Rodriguez, P. & Aizpuru Oiarbide, I. (1985). Aportación al catálogo florístico de la cuenca del Bidasoa (Guipúzcoa y Navarra). Munibe Ciencias Naturales. Natur zientziak, (37), 17-86.. https://www.aranzadi.eus/fileadmin/docs/Munibe/1985017086CN.pdf"
Acer campestre,30TXN09,30TXN0693,"Catalan Rodriguez, P. & Aizpuru Oiarbide, I. (1985). Aportación al catálogo florístico de la cuenca del Bidasoa (Guipúzcoa y Navarra). Munibe Ciencias Naturales. Natur zientziak, (37), 17-86.. https://www.aranzadi.eus/fileadmin/docs/Munibe/1985017086CN.pdf"
Acer platanoides,30TXN17,30TXN1377,"Balda, A. (2002). Contribuciones al conocimiento de la flora navarra. Munibe, 53, 157-174.. https://www.aranzadi.eus/fileadmin/docs/Munibe/2002157173CN.pdf"
Acer platanoides,30TXN17,30TXN1477,"Balda, A. (2002). Contribuciones al conocimiento de la flora navarra. Munibe, 53, 157-174.. https://www.aranzadi.eus/fileadmin/docs/Munibe/2002157173CN.pdf"
Acer platanoides,30TXN27,30TXN2177,"Balda, A. (2002). Contribuciones al conocimiento de la flora navarra. Munibe, 53, 157-174.. https://www.aranzadi.eus/fileadmin/docs/Munibe/2002157173CN.pdf"
Acer platanoides,30TXN27,30TXN2279,"Balda, A. (2002). Contribuciones al conocimiento de la flora navarra. Munibe, 53, 157-174.. https://www.aranzadi.eus/fileadmin/docs/Munibe/2002157173CN.pdf"
Acer platanoides,30TXN28,30TXN2281,"Balda, A. (2002). Contribuciones al conocimiento de la flora navarra. Munibe, 53, 157-174.. https://www.aranzadi.eus/fileadmin/docs/Munibe/2002157173CN.pdf"
Acer pseudoplatanus,29TPH67,29TPH6876,"Pino Pérez, R., Pino Pérez, J. J. , Silvia Pando, F. J. , & Camaño Portela, J. L.(2021). Asientos Corológicos FBIGA, 2019-2020. Boletín BIGA, (19), 5-77.. https://biga.org/Boletin_BIGA/Boletin_BIGA19/Pino_Asientos_Corologicos_FBIGA_2019-2020_BB19_p5-77.pdf"
Acer pseudoplatanus,29TPJ40,29TPJ4703,"Pino Pérez, R., Pino Pérez, J. J. , Silvia Pando, F. J. , & Camaño Portela, J. L.(2021). Asientos Corológicos FBIGA, 2019-2020. Boletín BIGA, (19), 5-77.. https://biga.org/Boletin_BIGA/Boletin_BIGA19/Pino_Asientos_Corologicos_FBIGA_2019-2020_BB19_p5-77.pdf"
Acer pseudoplatanus,30TVN84,30TVN8744,"Barredo, J. J., & Barredo U. (2002). Aproximación al catálogo florístico de la cuenca del Omecillo, Valderejo y Sobrón. Munibe (Ciencias Naturales-Natur Zientziak), 53, 57-130.. https://www.aranzadi.eus/fileadmin/docs/Munibe/2002057129CN.pdf"
Acer pseudoplatanus,30TVN84,30TVN8744,"Barredo, J. J. (2001) Aportacciones corológicas para la cuenca del río Omecillo (Alava-Burgos) y los territorios limítrofes alaveses de Valderejo y Sobrón, casi exclusivamente. Munibe, 51, 59-66.. https://www.aranzadi.eus/fileadmin/docs/Munibe/2001059066CN.pdf"
