Taxon,UTM10x10,UTM1x1,References
Centaurea aristata,29SPB16,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29SPD50,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TPF82,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TPF83,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TPF90,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TPG75,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TPG77,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TPH44,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TPH51,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TPH54,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TPH63,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TPH70,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TQE09,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29SQE11,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TQE43,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TQE48,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TQF06,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TQF17,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TQF23,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TQF26,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TQF33,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TQG17,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TQG21,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TQG25,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TQH25,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,29TQH40,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,30STJ96,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,30STK51,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,30TTK56,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,30TTK57,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,30TTK66,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,30TTK67,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,30TTK77,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,30TTK79,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,30TTK84,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,30STK90,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,30TTL52,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,30TTL56,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,30TTL57,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea aristata,30TTL58,NA,https://doi.org/10.5061/dryad.c59zw3r5r
