Taxon,UTM10x10,UTM1x1,References
Centaurea langei,29TNE73,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNE78,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNE87,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNE94,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNE95,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNF71,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNF73,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNF74,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNF80,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNF81,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNF84,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNF92,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNF93,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNG07,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNG09,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNG13,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNG25,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNG35,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNG43,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNG45,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNG56,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNG61,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNG67,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNG72,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNG73,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNG74,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNG78,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNG79,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNG98,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNH00,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNH34,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TNH95,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29SPD36,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29SPD55,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPE15,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPE16,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPE26,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPE27,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPE34,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPE37,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPE49,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPE53,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPE57,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPF03,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPF12,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPF22,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPF31,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPF33,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPF40,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPF43,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPG09,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPG22,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPG24,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPG49,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPG56,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPG57,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPG58,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPG59,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPG66,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPG69,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPG72,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPG73,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPG74,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPG82,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPG87,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPG88,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPG93,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPG95,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPG96,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH17,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH32,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH36,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH40,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH41,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH42,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH44,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH49,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH51,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH52,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH53,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH54,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH58,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH62,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH63,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH66,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH70,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH71,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH72,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH76,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH81,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH90,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TPH91,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TQE05,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TQG19,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TQG38,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TQG39,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TQH01,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TQH09,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TQH15,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TQH16,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TQH22,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TQH26,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,29TQH40,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,30STJ97,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,30TTK56,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,30TTK63,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,30TTK64,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,30TTK75,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,30TTK76,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,30TTK95,NA,https://doi.org/10.5061/dryad.c59zw3r5r
Centaurea langei,30TTM58,NA,https://doi.org/10.5061/dryad.c59zw3r5r
