"Taxon","UTM.cell"
"Centaurea_aristata","29SPB16"
"Centaurea_aristata","29SPD50"
"Centaurea_aristata","29TPF82"
"Centaurea_aristata","29TPF83"
"Centaurea_aristata","29TPF90"
"Centaurea_aristata","29TPG75"
"Centaurea_aristata","29TPG77"
"Centaurea_aristata","29TPH44"
"Centaurea_aristata","29TPH51"
"Centaurea_aristata","29TPH54"
"Centaurea_aristata","29TPH63"
"Centaurea_aristata","29TPH70"
"Centaurea_aristata","29TQE09"
"Centaurea_aristata","29SQE11"
"Centaurea_aristata","29TQE43"
"Centaurea_aristata","29TQE48"
"Centaurea_aristata","29TQF06"
"Centaurea_aristata","29TQF17"
"Centaurea_aristata","29TQF23"
"Centaurea_aristata","29TQF26"
"Centaurea_aristata","29TQF33"
"Centaurea_aristata","29TQG17"
"Centaurea_aristata","29TQG21"
"Centaurea_aristata","29TQG25"
"Centaurea_aristata","29TQH25"
"Centaurea_aristata","29TQH40"
"Centaurea_aristata","30STJ96"
"Centaurea_aristata","30STK51"
"Centaurea_aristata","30TTK56"
"Centaurea_aristata","30TTK57"
"Centaurea_aristata","30TTK66"
"Centaurea_aristata","30TTK67"
"Centaurea_aristata","30TTK77"
"Centaurea_aristata","30TTK79"
"Centaurea_aristata","30TTK84"
"Centaurea_aristata","30STK90"
"Centaurea_aristata","30TTL52"
"Centaurea_aristata","30TTL56"
"Centaurea_aristata","30TTL57"
"Centaurea_aristata","30TTL58"
"Centaurea_aristata","30TTL61"
"Centaurea_aristata","30TTL67"
"Centaurea_aristata","30TTL69"
"Centaurea_aristata","30TTL73"
"Centaurea_aristata","30TTL74"
"Centaurea_aristata","30TTL75"
"Centaurea_aristata","30TTL79"
"Centaurea_aristata","30TTL83"
"Centaurea_aristata","30TTL84"
"Centaurea_aristata","30TTL93"
"Centaurea_aristata","30TTL95"
"Centaurea_aristata","30TTL96"
"Centaurea_aristata","30TTL98"
"Centaurea_aristata","30TTM51"
"Centaurea_aristata","30TTM59"
"Centaurea_aristata","30TTM61"
"Centaurea_aristata","30TTM62"
"Centaurea_aristata","30TTM64"
"Centaurea_aristata","30TTM68"
"Centaurea_aristata","30TTM71"
"Centaurea_aristata","30TTM91"
"Centaurea_aristata","30TTM98"
"Centaurea_aristata","30TTN80"
"Centaurea_aristata","30TTN81"
"Centaurea_aristata","30TTN90"
"Centaurea_aristata","30TTN92"
"Centaurea_aristata","30SUJ19"
"Centaurea_aristata","30SUJ29"
"Centaurea_aristata","30SUJ68"
"Centaurea_aristata","30SUJ87"
"Centaurea_aristata","30SUJ99"
"Centaurea_aristata","30TUK25"
"Centaurea_aristata","30TUK26"
"Centaurea_aristata","30TUK29"
"Centaurea_aristata","30TUK33"
"Centaurea_aristata","30TUK39"
"Centaurea_aristata","30TUK44"
"Centaurea_aristata","30TUK45"
"Centaurea_aristata","30TUK54"
"Centaurea_aristata","30TUK65"
"Centaurea_aristata","30TUK67"
"Centaurea_aristata","30TUK78"
"Centaurea_aristata","30TUK86"
"Centaurea_aristata","30TUK87"
"Centaurea_aristata","30TUK89"
"Centaurea_aristata","30TUK93"
"Centaurea_aristata","30TUK97"
"Centaurea_aristata","30TUK98"
"Centaurea_aristata","30TUL03"
"Centaurea_aristata","30TUL12"
"Centaurea_aristata","30TUL13"
"Centaurea_aristata","30TUL18"
"Centaurea_aristata","30TUL43"
"Centaurea_aristata","30TUL49"
"Centaurea_aristata","30TUL50"
"Centaurea_aristata","30TUL56"
"Centaurea_aristata","30TUL70"
"Centaurea_aristata","30TUL83"
"Centaurea_aristata","30TUL90"
"Centaurea_aristata","30TUM00"
"Centaurea_aristata","30TUM01"
"Centaurea_aristata","30TUM11"
"Centaurea_aristata","30TUM22"
"Centaurea_aristata","30TUM37"
"Centaurea_aristata","30TUM50"
"Centaurea_aristata","30TUM68"
"Centaurea_aristata","30TUM71"
"Centaurea_aristata","30TUM75"
"Centaurea_aristata","30TUN16"
"Centaurea_aristata","30TUN27"
"Centaurea_aristata","30TUN34"
"Centaurea_aristata","30SVJ50"
"Centaurea_aristata","30TVK09"
"Centaurea_aristata","30SVK11"
"Centaurea_aristata","30TVK16"
"Centaurea_aristata","30TVK18"
"Centaurea_aristata","30TVK19"
"Centaurea_aristata","30TVK25"
"Centaurea_aristata","30TVK29"
"Centaurea_aristata","30TVK37"
"Centaurea_aristata","30TVK47"
"Centaurea_aristata","30TVK48"
