Taxon,UTM10x10,UTM1x1,References
Trifolium suffocatum,29SQC26,NA,Folia Botanica Extremadurensis
Bunias erucago,29SPC79,NA,Folia Botanica Extremadurensis
Urospermum picroides,29SQC26,NA,Folia Botanica Extremadurensis
Bromus madritensis,30STJ70,NA,Folia Botanica Extremadurensis
Briza minor,29TQE35,NA,Folia Botanica Extremadurensis
Serapias parviflora,30STH40,NA,Folia Botanica Extremadurensis
Crucianella maritima,29SPB71,NA,Folia Botanica Extremadurensis
Orlaya daucoides,29SQE11,NA,Folia Botanica Extremadurensis
Carex remota,30STJ98,NA,Folia Botanica Extremadurensis
Allium neapolitanum,29SQC25,NA,Folia Botanica Extremadurensis
Jasione corymbosa,29SNC23,NA,Folia Botanica Extremadurensis
Crepis vesicaria,29SPD80,NA,Folia Botanica Extremadurensis
Misopates orontium,30STJ50,NA,Folia Botanica Extremadurensis
Veronica polita,30STH62,NA,Folia Botanica Extremadurensis
Cynoglossum creticum,29SQC06,NA,Folia Botanica Extremadurensis
Erysimum lagascae,29TPE85,NA,Folia Botanica Extremadurensis
Carex nigra,30TTK74,NA,Folia Botanica Extremadurensis
Filago pygmaea,29SNC12,NA,Folia Botanica Extremadurensis
Orlaya daucoides,29TQE47,NA,Folia Botanica Extremadurensis
Hedypnois rhagadioloides,30STH62,NA,Folia Botanica Extremadurensis
Hyacinthoides non-scripta,29TPE85,NA,Folia Botanica Extremadurensis
Genista anglica,30TTK74,NA,Folia Botanica Extremadurensis
Aristolochia paucinervis,29SQC31,NA,Folia Botanica Extremadurensis
Potamogeton nodosus,29SPD45,NA,Folia Botanica Extremadurensis
Stellaria alsine,29SQC45,NA,Folia Botanica Extremadurensis
Calendula arvensis,29SQD15,NA,Folia Botanica Extremadurensis
Plantago lanceolata,29TQE46,NA,Folia Botanica Extremadurensis
Ornithopus compressus,29SPD70,NA,Folia Botanica Extremadurensis
Crataegus monogyna,29SPD96,NA,Folia Botanica Extremadurensis
Geranium molle,29SQC51,NA,Folia Botanica Extremadurensis
Geranium purpureum,29SQC40,NA,Folia Botanica Extremadurensis
Serapias lingua,29SPD96,NA,Folia Botanica Extremadurensis
Quercus pyrenaica,29SMD94,NA,Folia Botanica Extremadurensis
Lavandula pedunculata,30TTK57,NA,Folia Botanica Extremadurensis
Myrtus communis,29SPC50,NA,Folia Botanica Extremadurensis
Hordeum marinum,29SPC67,NA,Folia Botanica Extremadurensis
Misopates orontium,30STH88,NA,Folia Botanica Extremadurensis
Bromus lanceolatus,29SPD70,NA,Folia Botanica Extremadurensis
Teucrium oxylepis,29SQC31,NA,Folia Botanica Extremadurensis
Vulpia unilateralis,29SQC06,NA,Folia Botanica Extremadurensis
Helichrysum stoechas,29TPE75,NA,Folia Botanica Extremadurensis
Aegilops ventricosa,29SQC12,NA,Folia Botanica Extremadurensis
Sherardia arvensis,29SQD11,NA,Folia Botanica Extremadurensis
Misopates orontium,30STJ60,NA,Folia Botanica Extremadurensis
Erodium botrys,30STJ81,NA,Folia Botanica Extremadurensis
Silene latifolia,30TTK63,NA,Folia Botanica Extremadurensis
Scandix pecten-veneris,29SPC94,NA,Folia Botanica Extremadurensis
Papaver hybridum,30STH41,NA,Folia Botanica Extremadurensis
Vitis vinifera,29SQC44,NA,Folia Botanica Extremadurensis
Callitriche regis-jubae,30STH41,NA,Folia Botanica Extremadurensis
Erica australis,30STJ79,NA,Folia Botanica Extremadurensis
Hyacinthoides hispanica,30TTK74,NA,Folia Botanica Extremadurensis
Biscutella auriculata,29SQC43,NA,Folia Botanica Extremadurensis
Vicia benghalensis,30TVK28,NA,Folia Botanica Extremadurensis
Smyrnium olusatrum,29SPC94,NA,Folia Botanica Extremadurensis
Hedypnois rhagadioloides,30SUH18,NA,Folia Botanica Extremadurensis
Myosotis persoonii,30STH42,NA,Folia Botanica Extremadurensis
Papaver hybridum,29SQD00,NA,Folia Botanica Extremadurensis
Ophrys lutea,30STK70,NA,Folia Botanica Extremadurensis
Quercus pyrenaica,30TTK64,NA,Folia Botanica Extremadurensis
Sherardia arvensis,29SQD11,NA,Folia Botanica Extremadurensis
Geranium molle,29SQC04,NA,Folia Botanica Extremadurensis
Carex divulsa,29SPC04,NA,Folia Botanica Extremadurensis
Lotus conimbricensis,29SQD14,NA,Folia Botanica Extremadurensis
Trifolium stellatum,30STK70,NA,Folia Botanica Extremadurensis
Linaria spartea,30STH87,NA,Folia Botanica Extremadurensis
Reseda luteola,29SQC43,NA,Folia Botanica Extremadurensis
Bromus madritensis,30STH42,NA,Folia Botanica Extremadurensis
Mentha suaveolens,29SQC04,NA,Folia Botanica Extremadurensis
Antirrhinum onubense,29SQC44,NA,Folia Botanica Extremadurensis
Drosera rotundifolia,30STJ98,NA,Folia Botanica Extremadurensis
Chamaemelum fuscatum,29TQE46,NA,Folia Botanica Extremadurensis
Aphanes arvensis,29TPE85,NA,Folia Botanica Extremadurensis
Saxifraga granulata,29TQE05,NA,Folia Botanica Extremadurensis
Salvia verbenaca,29SPC48,NA,Folia Botanica Extremadurensis
Alyssum linifolium,30TVK63,NA,Folia Botanica Extremadurensis
Scandix pecten-veneris,29SPC48,NA,Folia Botanica Extremadurensis
Serapias lingua,29SQD41,NA,Folia Botanica Extremadurensis
Medicago truncatula,29SQC35,NA,Folia Botanica Extremadurensis
