Taxon,UTM10x10,UTM1x1,References
Astragalus cicer,29SPB29,NA,Folia Botanica Extremadurensis
Avena barbata,29SQD43,NA,Folia Botanica Extremadurensis
Anacamptis papilionacea,29SPB99,NA,Folia Botanica Extremadurensis
Rhamnus oleoides,29SQC43,NA,Folia Botanica Extremadurensis
Quercus rotundifolia,29SPD83,NA,Folia Botanica Extremadurensis
Platanthera clavellata,29SQC25,NA,Folia Botanica Extremadurensis
Rumex bucephalophorus,29SQC04,NA,Folia Botanica Extremadurensis
Festuca durandoi,30STJ97,NA,Folia Botanica Extremadurensis
Asphodelus albus,29SPD45,NA,Folia Botanica Extremadurensis
Bellis annua,29SQC04,NA,Folia Botanica Extremadurensis
Avena barbata,29SPC93,NA,Folia Botanica Extremadurensis
Montia fontana,29SPC94,NA,Folia Botanica Extremadurensis
Jasione montana,30STJ50,NA,Folia Botanica Extremadurensis
Lolium multiflorum,29SNC23,NA,Folia Botanica Extremadurensis
Asphodelus ramosus,29SPC29,NA,Folia Botanica Extremadurensis
Quercus faginea,29SPC94,NA,Folia Botanica Extremadurensis
Poterium sanguisorba,30STH66,NA,Folia Botanica Extremadurensis
Corrigiola litoralis,29SPD70,NA,Folia Botanica Extremadurensis
Erigeron bonariensis,30SWH61,NA,Folia Botanica Extremadurensis
Anthyllis lotoides,29SQC31,NA,Folia Botanica Extremadurensis
Lotus conjugatus,29SPB00,NA,Folia Botanica Extremadurensis
Hordeum murinum,30STH73,NA,Folia Botanica Extremadurensis
Asphodelus macrocarpus,29SPD80,NA,Folia Botanica Extremadurensis
Ranunculus peltatus,29SPD80,NA,Folia Botanica Extremadurensis
Teucrium capitatum,29SPC67,NA,Folia Botanica Extremadurensis
Catalpa bignonioides,29SPD70,NA,Folia Botanica Extremadurensis
Juniperus oxycedrus,30STH40,NA,Folia Botanica Extremadurensis
Raphanus raphanistrum,29TNH34,NA,Folia Botanica Extremadurensis
Vulpia membranacea,30SUH08,NA,Folia Botanica Extremadurensis
Ophrys speculum,29SPC50,NA,Folia Botanica Extremadurensis
Coriandrum sativum,29SQD00,NA,Folia Botanica Extremadurensis
Poterium sanguisorba,29SPC93,NA,Folia Botanica Extremadurensis
Ophrys tenthredinifera,29SPD61,NA,Folia Botanica Extremadurensis
Lotus corniculatus,29TQE46,NA,Folia Botanica Extremadurensis
Cistus populifolius,29TQE48,NA,Folia Botanica Extremadurensis
Arrhenatherum elatius,29SQC26,NA,Folia Botanica Extremadurensis
Sinapis alba,29SQD44,NA,Folia Botanica Extremadurensis
Blechnum spicant,30TTK84,NA,Folia Botanica Extremadurensis
Euphorbia exigua,30SUH18,NA,Folia Botanica Extremadurensis
Ehrharta calycina,29SNC38,NA,Folia Botanica Extremadurensis
Arrhenatherum elatius,29SQE11,NA,Folia Botanica Extremadurensis
Poterium sanguisorba,29SQC06,NA,Folia Botanica Extremadurensis
Dactylis glomerata,29SQD02,NA,Folia Botanica Extremadurensis
Scandix australis,29SNB71,NA,Folia Botanica Extremadurensis
Anacamptis morio,29SPD10,NA,Folia Botanica Extremadurensis
Festuca ampla,29SNB42,NA,Folia Botanica Extremadurensis
Cytisus scoparius,29SQC41,NA,Folia Botanica Extremadurensis
Bromus hordeaceus,29SPD81,NA,Folia Botanica Extremadurensis
Cynoglossum cheirifolium,29SQC06,NA,Folia Botanica Extremadurensis
Thymus mastichina,30STH42,NA,Folia Botanica Extremadurensis
Lotus corniculatus,30TTK74,NA,Folia Botanica Extremadurensis
Hypochaeris radicata,30TTK74,NA,Folia Botanica Extremadurensis
Dipcadi serotinum,29SPC73,NA,Folia Botanica Extremadurensis
Carex reuteriana,29TPE75,NA,Folia Botanica Extremadurensis
Nasturtium officinale,30STH73,NA,Folia Botanica Extremadurensis
Thapsia foetida,30STH88,NA,Folia Botanica Extremadurensis
Ventenata macra,30STJ50,NA,Folia Botanica Extremadurensis
Holcus lanatus,30TTK64,NA,Folia Botanica Extremadurensis
Asplenium obovatum,29TPE85,NA,Folia Botanica Extremadurensis
Moraea sisyrinchium,29SQC40,NA,Folia Botanica Extremadurensis
Vicia sativa,29TQE47,NA,Folia Botanica Extremadurensis
Coronilla valentina,29SQC06,NA,Folia Botanica Extremadurensis
Ficus carica,29SQC43,NA,Folia Botanica Extremadurensis
Anacamptis papilionacea,30STH52,NA,Folia Botanica Extremadurensis
Dittrichia viscosa,29SNB13,NA,Folia Botanica Extremadurensis
Iberis ciliata,29SNC23,NA,Folia Botanica Extremadurensis
Arrhenatherum elatius,29SPB37,NA,Folia Botanica Extremadurensis
Cotula australis,29SPD70,NA,Folia Botanica Extremadurensis
Carex mairii,29SMD94,NA,Folia Botanica Extremadurensis
Avena barbata,29SPD72,NA,Folia Botanica Extremadurensis
Galium aparine,30TTK74,NA,Folia Botanica Extremadurensis
Jasione montana,29TPE85,NA,Folia Botanica Extremadurensis
Dryopteris caucasica,30TTK74,NA,Folia Botanica Extremadurensis
Cytisus scoparius,29SQC41,NA,Folia Botanica Extremadurensis
Anthyllis lotoides,30STK60,NA,Folia Botanica Extremadurensis
Anthemis arvensis,30SUH08,NA,Folia Botanica Extremadurensis
Glandora prostrata,29TPE75,NA,Folia Botanica Extremadurensis
Asphodelus albus,29TPE85,NA,Folia Botanica Extremadurensis
Quercus faginea,29SPC94,NA,Folia Botanica Extremadurensis
Myosotis discolor,30TTK74,NA,Folia Botanica Extremadurensis
Leontodon longirostris,29TPE75,NA,Folia Botanica Extremadurensis
Himantoglossum robertianum,29SQC54,NA,Folia Botanica Extremadurensis
Cuscuta pentagona,29SQC35,NA,Folia Botanica Extremadurensis
Anthyllis lotoides,30STH73,NA,Folia Botanica Extremadurensis
Quercus faginea,29SPC94,NA,Folia Botanica Extremadurensis
Coriandrum sativum,29SPD70,NA,Folia Botanica Extremadurensis
Chrysojasminum fruticans,30STH33,NA,Folia Botanica Extremadurensis
Cytisus scoparius,29SQD00,NA,Folia Botanica Extremadurensis
Lavandula stoechas,29SPB16,NA,Folia Botanica Extremadurensis
Vulpia myuros,30STH86,NA,Folia Botanica Extremadurensis
Vicia sativa,30STJ62,NA,Folia Botanica Extremadurensis
Cytisus scoparius,30SUH19,NA,Folia Botanica Extremadurensis
Rumex angiocarpus,29TPE85,NA,Folia Botanica Extremadurensis
Ophrys tenthredinifera,29SQC35,NA,Folia Botanica Extremadurensis
Ornithogalum pyrenaicum,30STJ50,NA,Folia Botanica Extremadurensis
Isoetes lacustris,30SUH09,NA,Folia Botanica Extremadurensis
Moraea sisyrinchium,29SQD15,NA,Folia Botanica Extremadurensis
Narcissus triandrus,29SQC41,NA,Folia Botanica Extremadurensis
Dipcadi serotinum,30STH52,NA,Folia Botanica Extremadurensis
Gagea algeriensis,30SWG41,NA,Folia Botanica Extremadurensis
Euphorbia exigua,29SQD01,NA,Folia Botanica Extremadurensis
Anacyclus radiatus,29SQC41,NA,Folia Botanica Extremadurensis
Pisum sativum,29SQD43,NA,Folia Botanica Extremadurensis
Vulpia bromoides,29SQD09,NA,Folia Botanica Extremadurensis
Polypogon maritimus,29SQB49,NA,Folia Botanica Extremadurensis
Poterium sanguisorba,29SPD80,NA,Folia Botanica Extremadurensis
Luzula forsteri,30TTK56,NA,Folia Botanica Extremadurensis
Vulpia delicatula,29SQD20,NA,Folia Botanica Extremadurensis
Vulpia ciliata,29TPE85,NA,Folia Botanica Extremadurensis
Lotus glaber,28RFS29,NA,Folia Botanica Extremadurensis
Diplotaxis virgata,29SPC79,NA,Folia Botanica Extremadurensis
Pedicularis sylvatica,30TTK66,NA,Folia Botanica Extremadurensis
Glebionis segetum,29SQD44,NA,Folia Botanica Extremadurensis
Quercus battandieri,29SPC94,NA,Folia Botanica Extremadurensis
Calendula suffruticosa,29SNC23,NA,Folia Botanica Extremadurensis
Anthyllis lotoides,29TQE35,NA,Folia Botanica Extremadurensis
Euphorbia helioscopia,29TNH34,NA,Folia Botanica Extremadurensis
Betula pubescens,29TPE27,NA,Folia Botanica Extremadurensis
Vicia sativa,29SQD00,NA,Folia Botanica Extremadurensis
Lotus glareosus,29TQE48,NA,Folia Botanica Extremadurensis
Narcissus bulbocodium,29SQD15,NA,Folia Botanica Extremadurensis
Juniperus phoenicea,29SNB82,NA,Folia Botanica Extremadurensis
Lavandula stoechas,30STH42,NA,Folia Botanica Extremadurensis
Hordeum vulgare,30STH86,NA,Folia Botanica Extremadurensis
Ranunculus ollissiponensis,29SQC45,NA,Folia Botanica Extremadurensis
Vulpia myuros,29SQC43,NA,Folia Botanica Extremadurensis
Sedum cespitosum,29SQC04,NA,Folia Botanica Extremadurensis
Genista hirsuta,29SQB59,NA,Folia Botanica Extremadurensis
Hedera helix,30STE79,NA,Folia Botanica Extremadurensis
Leopoldia comosa,29SQD20,NA,Folia Botanica Extremadurensis
Oeosporangium ibericum,29TPE75,NA,Folia Botanica Extremadurensis
Arrhenatherum elatius,29SQC43,NA,Folia Botanica Extremadurensis
Dianthus cintranus,29SMD93,NA,Folia Botanica Extremadurensis
Thymus mastichina,29SQC63,NA,Folia Botanica Extremadurensis
Genista microphylla,29SPD70,NA,Folia Botanica Extremadurensis
Asplenium obovatum,29TQE47,NA,Folia Botanica Extremadurensis
Leopoldia comosa,29SQC44,NA,Folia Botanica Extremadurensis
Bellis sylvestris,29TQE16,NA,Folia Botanica Extremadurensis
Arrhenatherum elatius,29SPC38,NA,Folia Botanica Extremadurensis
Vulpia myuros,29SPC29,NA,Folia Botanica Extremadurensis
Herniaria lusitanica,30STH67,NA,Folia Botanica Extremadurensis
Ophrys tenthredinifera,29TQE47,NA,Folia Botanica Extremadurensis
Quercus faginea,30STF87,NA,Folia Botanica Extremadurensis
Cistus ladanifer,29SNB42,NA,Folia Botanica Extremadurensis
Scandix australis,29SQC45,NA,Folia Botanica Extremadurensis
Lysimachia arvensis,29SQC06,NA,Folia Botanica Extremadurensis
Torilis arvensis,29SQD02,NA,Folia Botanica Extremadurensis
Geocaryum capillifolium,30SUH19,NA,Folia Botanica Extremadurensis
Anthoxanthum aristatum,29SQD20,NA,Folia Botanica Extremadurensis
Anacamptis morio,29SNB85,NA,Folia Botanica Extremadurensis
Digitalis purpurea,29TPE85,NA,Folia Botanica Extremadurensis
Lotus tetragonolobus,30STE89,NA,Folia Botanica Extremadurensis
Symphytum tuberosum,30TTK64,NA,Folia Botanica Extremadurensis
Serapias frankavillae,29TQE14,NA,Folia Botanica Extremadurensis
Corrigiola litoralis,30STJ60,NA,Folia Botanica Extremadurensis
Lysimachia arvensis,29SQC40,NA,Folia Botanica Extremadurensis
Anacamptis morio,29SQC35,NA,Folia Botanica Extremadurensis
Coronilla repanda,29SNC11,NA,Folia Botanica Extremadurensis
Hordeum murinum,29SPC97,NA,Folia Botanica Extremadurensis
Cynoglossum cheirifolium,30STK70,NA,Folia Botanica Extremadurensis
Arrhenatherum elatius,30STJ70,NA,Folia Botanica Extremadurensis
