Species_name,MGRS_10X10
Trifolium suffocatum,29SQC26
Bunias erucago,29SPC79
Urospermum picroides,29SQC26
Bromus madritensis,30STJ70
Briza minor,29TQE35
Serapias parviflora,30STH40
Crucianella maritima,29SPB71
Astragalus cicer,29SPB29
Orlaya daucoides,29SQE11
Carex remota,30STJ98
Avena barbata,29SQD43
Allium neapolitanum,29SQC25
Anacamptis papilionacea,29SPB99
Jasione corymbosa,29SNC23
Crepis vesicaria,29SPD80
Rhamnus oleoides,29SQC43
Misopates orontium,30STJ50
Veronica polita,30STH62
Cynoglossum creticum,29SQC06
Quercus rotundifolia,29SPD83
Platanthera clavellata,29SQC25
Erysimum lagascae,29TPE85
Carex nigra,30TTK74
Filago pygmaea,29SNC12
Orlaya daucoides,29TQE47
Hedypnois rhagadioloides,30STH62
Hyacinthoides non-scripta,29TPE85
Genista anglica,30TTK74
Rumex bucephalophorus,29SQC04
Festuca durandoi,30STJ97
Aristolochia paucinervis,29SQC31
Asphodelus albus,29SPD45
Bellis annua,29SQC04
Avena barbata,29SPC93
Potamogeton nodosus,29SPD45
Stellaria alsine,29SQC45
Montia fontana,29SPC94
Calendula arvensis,29SQD15
Jasione montana,30STJ50
Plantago lanceolata,29TQE46
Ornithopus compressus,29SPD70
Lolium multiflorum,29SNC23
Crataegus monogyna,29SPD96
Geranium molle,29SQC51
Asphodelus ramosus,29SPC29
Geranium purpureum,29SQC40
Quercus faginea,29SPC94
Serapias lingua,29SPD96
Quercus pyrenaica,29SMD94
Poterium sanguisorba,30STH66
Lavandula pedunculata,30TTK57
Myrtus communis,29SPC50
Corrigiola litoralis,29SPD70
Hordeum marinum,29SPC67
Misopates orontium,30STH88
Bromus lanceolatus,29SPD70
Erigeron bonariensis,30SWH61
Anthyllis lotoides,29SQC31
Teucrium oxylepis,29SQC31
Lotus conjugatus,29SPB00
Hordeum murinum,30STH73
Asphodelus macrocarpus,29SPD80
Vulpia unilateralis,29SQC06
Helichrysum stoechas,29TPE75
Aegilops ventricosa,29SQC12
Ranunculus peltatus,29SPD80
Teucrium capitatum,29SPC67
Catalpa bignonioides,29SPD70
Sherardia arvensis,29SQD11
Misopates orontium,30STJ60
Juniperus oxycedrus,30STH40
Raphanus raphanistrum,29TNH34
Erodium botrys,30STJ81
Vulpia membranacea,30SUH08
Silene latifolia,30TTK63
Scandix pecten-veneris,29SPC94
Papaver hybridum,30STH41
Vitis vinifera,29SQC44
Callitriche regis-jubae,30STH41
Erica australis,30STJ79
Hyacinthoides hispanica,30TTK74
Biscutella auriculata,29SQC43
Ophrys speculum,29SPC50
Vicia benghalensis,30TVK28
Smyrnium olusatrum,29SPC94
Hedypnois rhagadioloides,30SUH18
Myosotis persoonii,30STH42
Papaver hybridum,29SQD00
Ophrys lutea,30STK70
Quercus pyrenaica,30TTK64
Coriandrum sativum,29SQD00
Poterium sanguisorba,29SPC93
Ophrys tenthredinifera,29SPD61
Sherardia arvensis,29SQD11
Lotus corniculatus,29TQE46
Geranium molle,29SQC04
Carex divulsa,29SPC04
Cistus populifolius,29TQE48
Arrhenatherum elatius,29SQC26
Lotus conimbricensis,29SQD14
Trifolium stellatum,30STK70
Sinapis alba,29SQD44
Blechnum spicant,30TTK84
Linaria spartea,30STH87
Reseda luteola,29SQC43
Bromus madritensis,30STH42
Euphorbia exigua,30SUH18
Ehrharta calycina,29SNC38
Arrhenatherum elatius,29SQE11
Poterium sanguisorba,29SQC06
Mentha suaveolens,29SQC04
Antirrhinum onubense,29SQC44
Drosera rotundifolia,30STJ98
Dactylis glomerata,29SQD02
Scandix australis,29SNB71
Chamaemelum fuscatum,29TQE46
Anacamptis morio,29SPD10
Aphanes arvensis,29TPE85
Saxifraga granulata,29TQE05
Salvia verbenaca,29SPC48
Alyssum linifolium,30TVK63
Scandix pecten-veneris,29SPC48
Serapias lingua,29SQD41
Medicago truncatula,29SQC35
Aristolochia paucinervis,29SQC04
Paronychia argentea,30STH58
Ornithogalum baeticum,29SPD96
Festuca ampla,29SNB42
Paronychia argentea,30STH52
Sherardia arvensis,29SPD80
Cytisus scoparius,29SQC41
Paronychia echinulata,29SQC45
Bromus hordeaceus,29SPD81
Mercurialis annua,29SPC67
Aristolochia paucinervis,29TQE05
Serapias lingua,30TTK94
Valerianella coronata,29SQD11
Cynoglossum cheirifolium,29SQC06
Sherardia arvensis,29SQC31
Helianthemum ledifolium,29SQD10
Hippocrepis rupestris,29SQC45
Thymus mastichina,30STH42
Romulea bulbocodium,29SPC93
Erodium botrys,29SQD21
Lotus corniculatus,30TTK74
Galactites tomentosa,29SQC39
Silene colorata,29SNB10
Senecio lividus,29SQD20
Hypochaeris radicata,30TTK74
Dipcadi serotinum,29SPC73
Taraxacum duriense,29SMD93
Calendula arvensis,29SPD36
Carex reuteriana,29TPE75
Marsilea batardae,29SPC98
Nasturtium officinale,30STH73
Carduus tenuiflorus,29SPD36
Plantago lagopus,29SPC59
Carex halleriana,29SQC41
Valantia muralis,29SNB71
Stachys arvensis,29SNC87
Centaurea benedicta,30STH69
Bromus rigidus,29SPB06
Thapsia foetida,30STH88
Cytisus striatus,29SQC41
Anarrhinum bellidifolium,30SUJ03
Ventenata macra,30STJ50
Gagea soleirolii,30TTK66
Melittis melissophyllum,30TTK64
Holcus lanatus,30TTK64
Centranthus calcitrapae,29TQE13
Calendula arvensis,29SQD20
Ophrys lutea,29SQD11
Hypochaeris glabra,30STH67
Glyceria declinata,29SQC26
Asplenium obovatum,29TPE85
Moraea sisyrinchium,29SQC40
Taraxacum marginellum,30STJ98
Teucrium fruticans,29SQC63
Fumaria bastardii,30SUH08
Vicia sativa,29TQE47
Festuca rothmaleri,29TPE85
Coronilla valentina,29SQC06
Herniaria glabra,29SQC45
Ficus carica,29SQC43
Ornithogalum baeticum,29SPD40
Lolium rigidum,30SUH18
Anacamptis papilionacea,30STH52
Echium plantagineum,30STH67
Petrorhagia nanteuilii,30STH67
Plantago afra,30STH62
Phillyrea angustifolia,29SPC50
Dittrichia viscosa,29SNB13
Anthriscus caucalis,29SPD45
Linaria spartea,30STH88
Hyacinthoides non-scripta,29TPE84
