Taxon,UTM10x10,Notas
Limonium mateoi,30TVN48,CA
Linaria diffusa ,30TVK54,CA
Luronium natans,29TQF30,CA
Orobanche picridis,30TYL44,CA
Orobanche picridis,30TYL43,CA
Paradisea lusitanica,30TVL44,CA
Paradisea lusitanica,30TWL34,CA
Peucedanum gallicum.,30TWK78,CA
Peucedanum gallicum.,30TYL00,CA
Peucedanum gallicum.,30TYK09,CA
Pyrus cordata,30SVG27,CA
Ranunculus tuberosus,30TTK66,CA
Roripa anfibia,30SXJ66,CA
Rubus lucensis,30TWM32,CA
Sedum lagascae,30TVL24,CA
Selinium broteroi,30TYK19,CA
Stellaria gramínea,30SVG80,CA
Taraxacum duriense,30TTK56,CA
Taraxacum duriense,30TTK55,CA
Thymus caespititius,29SQD00,CA
Thymus pulegioides,29SQD00,CA
Ulex europaeus europaeus,30TWM55,introducidas (CA rev IRG)
Ulex europaeus europaeus,30TVM92,introducidas (CA rev IRG)
Ulex europaeus europaeus,30TWM30,introducidas (CA rev IRG)
Ulex europaeus europaeus,30TWM13,introducidas (CA rev IRG)
Ulex europaeus europaeus,30TWM23,introducidas (CA rev IRG)
Ulex europaeus europaeus,30TWM33,introducidas (CA rev IRG)
Ulex micranthus,29SQB20,CA
Veronica micrantha,29SPC78,CA
Veronica micrantha,29SQC18,CA
Veronica micrantha,29SQC34,CA
Woodwardia radicans ,29TQH11,CA
Achnatherum calamagrostis,30TUN36,CRZ
Aira uniaristata,30TTK55,CRZ
Airopsis tenella,31TCH03,CRZ
Arrhenatherum elatius baeticum,30TVL10,CRZ
Arrhenatherum elatius baeticum,30TVL83,CRZ
Arrhenatherum elatius baeticum,30TVL89,CRZ
Arrhenatherum elatius sardoum,30SUH37,CRZ
Avena barbata castellana,30SVG49,CRZ
Avena longiglumis,29SPC97,CRZ
Brachypodium pinnatum,30STJ98,CRZ
Brachypodium pinnatum,29SNB43,CRZ
Brachypodium pinnatum,29SNB32,CRZ
Brachypodium stacei,30TWM08,CRZ
Brachypodium stacei,30TWN09,CRZ
Bromus alopecuros,29SMD83,CRZ
Bromus alopecuros,30TXM71,CRZ
Bromus alopecuros,30STF88,CRZ
Bromus alopecuros,30STF77,CRZ
Bromus secalinus,30TUN65,CRZ
Calamagrostis arundinacea,30TTK77,CRZ
Corynephorus articulatus,30TXL09,CRZ
Elymus elongatus,30TVK47,CRZ
Festuca capillifolia,30TUK86,CRZ
Festuca clementei,30SYH19,CRZ
