Taxon,Scientific_Name,Endemic,Genus,Species,Subspecies,Class,Order,Family,GBIF_id,POW_Name,Action,Reference
Carex camposii tejedensis,"Carex camposii subsp. tejedensis R. Sánchez-Villegas, M. Escudero & Luceño",TRUE,Carex,camposii,tejedensis,Magnoliopsida,Poales,Cyperaceae,----,Carex camposii subsp. tejedensis,ADD,
Castrila latens,"Castrila latens Blanca, S. Ben-Menni, H. Blanca, Cueto, J. Fuentes, Ortega Oliv. & Suár.-Sant.",TRUE,Castrila,latens,NA,Magnoliopsida,Gentianales,Rubiaceae,----,Castrila latens,ADD,
Cathissa villasina,"Cathissa villasina C.Salazar, Tercero & Mart.-Azorín",TRUE,Cathissa,villasina,NA,Magnoliopsida,Asparagaceae,Asparagales,----,Cathissa villasina,ADD,
Euphorbia guadalhorcensis,Euphorbia guadalhorcensis Casim.-Sor. Solanas & Hidalgo-Triana,TRUE,Euphorbia,guadalhorcensis,NA,Magnoliopsida,Malpighiales,Euphorbiaceae,12205037,Euphorbia guadalhorcensis,ADD,
Galatella malacitana,"Galatella malacitana Blanca, Gavira & Suár.-Sant.",TRUE,Galatella,malacitana,NA,Magnoliopsida,Asterales,Asteraceae,9384919,Galatella sedifolia subsp. sedifolia,ADD,
Galium pierredmondii,"Galium pierredmondii Blanca, Cueto, J.Fuentes & Ortega Oliv.",TRUE,Galium,pierredmondii,NA,Magnoliopsida,Gentianales,Rubiaceae,12220580,Galium pierredmondii,ADD,
Genista hirsuta silicicola,Genista hirsuta subsp. silicicola (Hidalgo-Triana & Pérez Latorre) F. Casimiro-Soriguer & Devesa,FALSE,Genista,hirsuta,silicicola,Magnoliopsida,Fabales,Fabaceae,----,Genista hirsuta subsp. silicicola,ADD,
Isoetes lacustris,Isoetes lacustris L.,FALSE,Isoetes,lacustris,NA,Lycopodiopsida,Isoetales,Isoetaceae,2688270,Isoetes lacustris,ADD,
Linaria amethystea aedoi,"Linaria amethystea subsp. aedoi J.F.Jiménez, Sánchez-Gómez, D.López, J.B.Vera & Güemes",,Linaria,amethystea,aedoi,Magnoliopsida,Lamiales,Plantaginaceae,11124784,Linaria amethystea subsp. aedoi,ADD,
Linaria pseudamethystea,"Linaria pseudamethystea Blanca, R. Carmona, Cueto & J. Fuentes",,Linaria,pseudamethystea,NA,Magnoliopsida,Lamiales,Plantaginaceae,12201579,Linaria pseudamethystea,ADD,
Linaria sagrensis,"Linaria sagrensis Blanca, Cueto, J. Fuentes, L. Gutie?rrez & F.B. Navarro",,Linaria,sagrensis,NA,Magnoliopsida,Lamiales,Plantaginaceae,----,Linaria sagrensis,ADD,
Linaria semialata,"Linaria semialata D. López, Sánchez-Gómez, J.F. Jiménez, J.B. Vera & Gu?emes",,Linaria,semialata,NA,Magnoliopsida,Lamiales,Plantaginaceae,11164302,Linaria semialata,ADD,
Linaria subbaetica,"Linaria subbaetica Blanca, Cueto & J. Fuentes",,Linaria,subbaetica,NA,Magnoliopsida,Lamiales,Plantaginaceae,11422449,Linaria subbaetica,ADD,
Narcissus nevadensis herrerae,"Narcissus nevadensis subsp. herrerae Algarra, Blanca, Cueto & J.Fuentes",,Narcissus,nevadensis,herrerae,Magnoliopsida,Asparagales,Amaryllidaceae,10737941,Narcissus nevadensis subsp. herrerae,ADD,
Narcissus ramirezii,"Narcissus ramirezii P. Gómez-Murillo, Arellano-Martín & Áng. Sánchez",,Narcissus,ramirezii,NA,Magnoliopsida,Asparagales,Amaryllidaceae,----,Narcissus ramirezii,ADD,
Ophrys alpujata,Ophrys alpujata Riech. & H.Kohlmüller,,Ophrys,alpujata,NA,Magnoliopsida,Asparagales,Orchidaceae,11003512,Ophrys lutea subsp. lutea,ADD,
Ranunculus cherubicus girelai,"Ranunculus cherubicus subsp. girelai Fern.Prieto, Molero Mesa, Muñoz Díaz & Sanna",,Ranunculus,cherubicus,girelai,Magnoliopsida,Ranunculales,Ranunculaceae,8515054,Ranunculus cherubicus subsp. girelai,ADD,
Hedera helix helix,Hedera helix helix L.,FALSE,Hedera,helix,helix,Magnoliopsida,Apiales,Araliaceae,7224343,Hedera helix,ERASE,
Hedera helix rhizomatifera,Hedera helix rhizomatifera McAllister,TRUE,Hedera,helix,rhizomatifera,Magnoliopsida,Apiales,Araliaceae,3036081,Hedera rhizomatifera,ERASE,
Hedera helix,Hedera helix L.,FALSE,Hedera,helix,NA,Magnoliopsida,Apiales,Araliaceae,8351737,Hedera helix,ADD,
Hedera maderensis iberica,Hedera maderensis iberica McAllister,TRUE,Hedera,maderensis,iberica,Magnoliopsida,Apiales,Araliaceae,3036183,Hedera iberica,ERASE,
Hedera iberica,Hedera iberica (Mc All.) Ackerf. & J.Wen,TRUE,Hedera,iberica,NA,Magnoliopsida,Apiales,Araliaceae,3036182,Hedera iberica,ADD,
Hypericum robertii,Hypericum robertii Coss. ex Batt.,FALSE,Hypericum,robertii,NA,Magnoliopsida,Malpighiales,Hypericaceae,7387828,Hypericum roberti,ERASE,
