"Taxon","UTM10x10","UTM1x1","Ref"
"Atropa baetica","30TWK99","---","García Cardo et al., 2020"
"Atropa baetica","30TWK98","---","García Cardo et al., 2020"
"Atropa baetica","30TWK88","---","García Cardo et al., 2020"
"Atropa baetica","30TWK87","---","García Cardo et al., 2020"
"Atropa baetica","30TWK78","---","García Cardo et al., 2020"
"Atropa baetica","30TWK66","---","García Cardo et al., 2020"
"Limonium soboliferum","30SWK21","---","García Cardo et al., 2020"
"Limonium soboliferum","30SWJ36","---","García Cardo et al., 2020"
"Sparganium natans","30TXK14","---","García Cardo et al., 2020"
"Achillea pyrenaica","30TXK07","---","García Cardo et al., 2020"
"Aconitum vulparia neapolitanum","30TXK16","---","García Cardo et al., 2020"
"Aconitum vulparia neapolitanum","30TXK15","---","García Cardo et al., 2020"
"Aconitum vulparia neapolitanum","30TXK07","---","García Cardo et al., 2020"
"Aconitum vulparia neapolitanum","30TXK06","---","García Cardo et al., 2020"
"Aconitum vulparia neapolitanum","30TXK05","---","García Cardo et al., 2020"
"Aconitum vulparia neapolitanum","30TXK04","---","García Cardo et al., 2020"
"Aconitum vulparia neapolitanum","30TWK99","---","García Cardo et al., 2020"
"Aconitum vulparia neapolitanum","30TWK98","---","García Cardo et al., 2020"
"Aconitum vulparia neapolitanum","30TWK97","---","García Cardo et al., 2020"
"Aconitum vulparia neapolitanum","30TWK96","---","García Cardo et al., 2020"
"Aconitum vulparia neapolitanum","30TWK88","---","García Cardo et al., 2020"
"Aconitum vulparia neapolitanum","30TWK87","---","García Cardo et al., 2020"
"Actaea spicata","30TWK98","---","García Cardo et al., 2020"
"Actaea spicata","30TWK97","---","García Cardo et al., 2020"
"Actaea spicata","30TWK96","---","García Cardo et al., 2020"
"Actaea spicata","30TWK88","---","García Cardo et al., 2020"
"Actaea spicata","30TWK86","---","García Cardo et al., 2020"
"Actaea spicata","30TWK85","---","García Cardo et al., 2020"
"Antirrhinum microphyllum","30TWK27","---","García Cardo et al., 2020"
"Antirrhinum microphyllum","30TWK17","---","García Cardo et al., 2020"
"Antirrhinum microphyllum","30TWK16","---","García Cardo et al., 2020"
"Antirrhinum microphyllum","30TWK15","---","García Cardo et al., 2020"
"Antirrhinum microphyllum","30TWK13","---","García Cardo et al., 2020"
"Antirrhinum microphyllum","30TWK85","---","García Cardo et al., 2020"
"Asplenium scolopendrium","30TWL70","---","García Cardo et al., 2020"
"Asplenium scolopendrium","30TWK95","---","García Cardo et al., 2020"
"Asplenium scolopendrium","30TWK86","---","García Cardo et al., 2020"
"Asplenium scolopendrium","30TWK85","---","García Cardo et al., 2020"
"Asplenium scolopendrium","30TWK84","---","García Cardo et al., 2020"
"Asplenium scolopendrium","30TWK78","---","García Cardo et al., 2020"
"Asplenium scolopendrium","30TWK76","---","García Cardo et al., 2020"
"Astrantia major","30TXK06","---","García Cardo et al., 2020"
"Astrantia major","30TXK05","---","García Cardo et al., 2020"
"Astrantia major","30TWK88","---","García Cardo et al., 2020"
"Astrantia major","30TWK85","---","García Cardo et al., 2020"
"Astrantia major","30TWK84","---","García Cardo et al., 2020"
"Astrantia major","30TWK78","---","García Cardo et al., 2020"
"Astrantia major","30TWK76","---","García Cardo et al., 2020"
"Betula pendula fontqueri","30TXK05","---","García Cardo et al., 2020"
"Betula pendula fontqueri","30TXK04","---","García Cardo et al., 2020"
"Betula pendula fontqueri","30TWL70","---","García Cardo et al., 2020"
"Betula pendula fontqueri","30TWK98","---","García Cardo et al., 2020"
"Betula pendula fontqueri","30TWK97","---","García Cardo et al., 2020"
"Betula pendula fontqueri","30TWK89","---","García Cardo et al., 2020"
"Betula pendula fontqueri","30TWK78","---","García Cardo et al., 2020"
"Betula pendula fontqueri","30TWK69","---","García Cardo et al., 2020"
"Betula pendula fontqueri","30TWK68","---","García Cardo et al., 2020"
"Betula pendula fontqueri","30TWK58","---","García Cardo et al., 2020"
"Bupleurum ranunculoides","30TXK16","---","García Cardo et al., 2020"
"Calamagrostis epigejos","30TXK05","---","García Cardo et al., 2020"
"Calamagrostis epigejos","30TWK95","---","García Cardo et al., 2020"
"Calamagrostis epigejos","30TWK87","---","García Cardo et al., 2020"
"Calamagrostis epigejos","30TWK85","---","García Cardo et al., 2020"
"Calamagrostis epigejos","30TWK77","---","García Cardo et al., 2020"
"Calamagrostis epigejos","30TWK68","---","García Cardo et al., 2020"
"Calamagrostis epigejos","30SXK41","---","García Cardo et al., 2020"
"Carex remota","30TXK05","---","García Cardo et al., 2020"
