Taxon,UTM10x10,UTM1x1,References
Hedera hibernica,31TDG81,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,31TEG07,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,31TEG03,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,31TDG97,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,31TDG84,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,31TDF28,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,30TYK37,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,30TXM71,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,30TXN71,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,30TXN62,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,30TXN41,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,30TXN42,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,30TXL44,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,30TXM22,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,30TXL23,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,30TXL24,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,30TXM13,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,30TXL18,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,30TXN16,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,30TXN16,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,30TXN08,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,30TXN08,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,30TXN09,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,30TXN09,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera hibernica,30TWP90,NA,https://doi.org/10.1038/s41598-024-54735-0
