Taxon,UTM10x10,UTM1x1,References
Hedera helix,31SED16,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TEG14,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TDG81,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TDG71,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TDG45,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TDF28,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TDF28,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TDG00,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TCG96,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TCF46,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TCF34,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TCG15,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TBE66,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TBF60,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31SBC59,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31SBC59,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31SBD40,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TBH61,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TBH61,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TBF51,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TBF51,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TBH51,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TBF40,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,31TBG57,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYK42,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TYK47,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYH59,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TYK46,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TYN31,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYJ41,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TYN32,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYH47,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYH48,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TYM28,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TYM28,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYH38,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TYK37,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TYN20,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYJ32,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TYM27,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYK31,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TYL27,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYH38,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYK21,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TYK28,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYK22,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYJ29,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYJ23,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYH28,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYJ19,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYJ20,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYH27,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYJ19,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYK10,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYJ10,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYK10,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TYN03,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYH18,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYH18,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TYN00,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TYM08,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYK02,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYK01,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TYL00,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TYK03,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXN93,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TYK03,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SYH08,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TYK03,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXN91,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXN91,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXN90,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXN90,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXN82,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXN80,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXM88,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXN83,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXN83,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXM89,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXN72,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXN72,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SXJ76,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXN54,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXK53,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXN53,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXN42,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXN45,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXN41,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXN40,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXK43,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXK44,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXK43,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXK24,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SXG29,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30SXG29,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXL14,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXN16,NA,https://doi.org/10.1038/s41598-024-54735-0
Hedera helix,30TXK18,NA,https://doi.org/10.1038/s41598-024-54735-0
