Taxon,UTM10x10,UTM1x1,References
Nepeta hispanica,30TXL11,30TXL1210,"Pavón-García, J., García-Muñoz, J., & Ramírez-Rodríguez, R. (2023). Primera cita de Nepeta hispanica para el sistema ibérico y la provincia de Guadalajara. Flora Montibérica 85 (3-8)"
Nepeta hispanica,30TXL10,30TXL1209,"Pavón-García, J., García-Muñoz, J., & Ramírez-Rodríguez, R. (2023). Primera cita de Nepeta hispanica para el sistema ibérico y la provincia de Guadalajara. Flora Montibérica 85 (3-8)"
Nepeta hispanica,30TXL10,30TXL1309,"Pavón-García, J., García-Muñoz, J., & Ramírez-Rodríguez, R. (2023). Primera cita de Nepeta hispanica para el sistema ibérico y la provincia de Guadalajara. Flora Montibérica 85 (3-8)"
Nepeta hispanica,30TXL01,30TXL0715,"Pavón-García, J., García-Muñoz, J., & Ramírez-Rodríguez, R. (2023). Primera cita de Nepeta hispanica para el sistema ibérico y la provincia de Guadalajara. Flora Montibérica 85 (3-8)"
Nepeta hispanica,30TXL01,30TXL0615,"Pavón-García, J., García-Muñoz, J., & Ramírez-Rodríguez, R. (2023). Primera cita de Nepeta hispanica para el sistema ibérico y la provincia de Guadalajara. Flora Montibérica 85 (3-8)"
Achillea millefolium,30SYH29,30SYH2297,"Mateo-Sanz, G., & Peris-Figuerola, J.I. (2023) De flora valentina, XXIV. Flora montibérica 85, 9-13."
Achillea millefolium,30SYH29,30SYH2596,"Mateo-Sanz, G., & Peris-Figuerola, J.I. (2023) De flora valentina, XXIV. Flora montibérica 85, 9-13."
Asplenium majoricum,30SYH19,30SYH1698,"Mateo-Sanz, G., & Peris-Figuerola, J.I. (2023) De flora valentina, XXIV. Flora montibérica 85, 9-13."
Asplenium majoricum,30SYH19,30SYH1699,"Mateo-Sanz, G., & Peris-Figuerola, J.I. (2023) De flora valentina, XXIV. Flora montibérica 85, 9-13."
Blackstonia grandiflora,30SXJ96,30SXJ9161,"Mateo-Sanz, G., & Peris-Figuerola, J.I. (2023) De flora valentina, XXIV. Flora montibérica 85, 9-13."
Briza minor,30SYH19,30SYH1296,"Mateo-Sanz, G., & Peris-Figuerola, J.I. (2023) De flora valentina, XXIV. Flora montibérica 85, 9-13."
Chenopodium rubrum,30SYJ35,30SYJ3054,"Mateo-Sanz, G., & Peris-Figuerola, J.I. (2023) De flora valentina, XXIV. Flora montibérica 85, 9-13."
Conium maculatum,30SYH29,30SYH2097,"Mateo-Sanz, G., & Peris-Figuerola, J.I. (2023) De flora valentina, XXIV. Flora montibérica 85, 9-13."
Filago fuscescens,30SYJ11,30SYJ1618,"Mateo-Sanz, G., & Peris-Figuerola, J.I. (2023) De flora valentina, XXIV. Flora montibérica 85, 9-13."
Hippocrepis squamata,30SXJ95,30SXJ9252,"Mateo-Sanz, G., & Peris-Figuerola, J.I. (2023) De flora valentina, XXIV. Flora montibérica 85, 9-13."
Launaea nudicaulis,30SXG89,30SXG8699,"Mateo-Sanz, G., & Peris-Figuerola, J.I. (2023) De flora valentina, XXIV. Flora montibérica 85, 9-13."
