Taxon,UTM10x10,UTM1x1,References
Cichorium pumilum,30TBE59,30TBE5893,"Mateo-Sanz, G., & Peris-Figuerola, J. I. (2023) De flora valentina, XXV. Flora Montibérica 86, 3-10"
Cirsium x csepeliense,30SYH29,30SYH2297,"Mateo-Sanz, G., & Peris-Figuerola, J. I. (2023) De flora valentina, XXV. Flora Montibérica 86, 3-11"
Coronilla emerus,30SYH19,30SYH1996,"Mateo-Sanz, G., & Peris-Figuerola, J. I. (2023) De flora valentina, XXV. Flora Montibérica 86, 3-13"
Cycas revoluta,30SYJ32,30SYJ3627,"Mateo-Sanz, G., & Peris-Figuerola, J. I. (2023) De flora valentina, XXV. Flora Montibérica 86, 3-14"
Datura wrightii,30SYJ30,30SYJ3203,"Mateo-Sanz, G., & Peris-Figuerola, J. I. (2023) De flora valentina, XXV. Flora Montibérica 86, 3-15"
Eleusine tristachya,30TBE58,30TBE5789,"Mateo-Sanz, G., & Peris-Figuerola, J. I. (2023) De flora valentina, XXV. Flora Montibérica 86, 3-16"
Festuca paniculata paui,30TBE59,30TBE5395,"Mateo-Sanz, G., & Peris-Figuerola, J. I. (2023) De flora valentina, XXV. Flora Montibérica 86, 3-17"
Galium verticillatum,20SXJ71,20SXJ7913,"Mateo-Sanz, G., & Peris-Figuerola, J. I. (2023) De flora valentina, XXV. Flora Montibérica 86, 3-21"
Helianthemum rotundifolium supracanum,30SXJ62,30SXJ6228,"Mateo-Sanz, G., & Peris-Figuerola, J. I. (2023) De flora valentina, XXV. Flora Montibérica 86, 3-22"
Helianthemum x coronadoi,30SXJ91,30SXJ9312,"Mateo-Sanz, G., & Peris-Figuerola, J. I. (2023) De flora valentina, XXV. Flora Montibérica 86, 3-23"
Helianthemum x lagunae,30SYH19,30SYH1593,"Mateo-Sanz, G., & Peris-Figuerola, J. I. (2023) De flora valentina, XXV. Flora Montibérica 86, 3-24"
Medicago scutellata,30TBE58,30TBE5989,"Mateo-Sanz, G., & Peris-Figuerola, J. I. (2023) De flora valentina, XXV. Flora Montibérica 86, 3-30"
Orobanche clausonis,20SXK92,20SXK9122,"Mateo-Sanz, G., & Peris-Figuerola, J. I. (2023) De flora valentina, XXV. Flora Montibérica 86, 3-36"
Rhaponticum repens,30SXH87,30SXH8570,"Mateo-Sanz, G., & Peris-Figuerola, J. I. (2023) De flora valentina, XXV. Flora Montibérica 86, 3-37"
Sonchus tererrimus,30SXJ90,30SXJ9906,"Mateo-Sanz, G., & Peris-Figuerola, J. I. (2023) De flora valentina, XXV. Flora Montibérica 86, 3-42"
Sonchus tererrimus,30SYJ00,30SYJ0006,"Mateo-Sanz, G., & Peris-Figuerola, J. I. (2023) De flora valentina, XXV. Flora Montibérica 86, 3-43"
Teucrium x conquense,30SXJ53,30SXJ5332,"Mateo-Sanz, G., & Peris-Figuerola, J. I. (2023) De flora valentina, XXV. Flora Montibérica 86, 3-45"
Verbascum giganteum giganteum,30TXK92,30TXK9123,"Mateo-Sanz, G., & Peris-Figuerola, J. I. (2023) De flora valentina, XXV. Flora Montibérica 86, 3-48"
Ziziphus jujuba,30TBE58,30TBE5989,"Mateo-Sanz, G., & Peris-Figuerola, J. I. (2023) De flora valentina, XXV. Flora Montibérica 86, 3-49"
Achillea x bronchalensis,30TYK16,30TYK1860,"Senar-Lluch, R., Cardero-Aguilera, S., Martínez-Entonado, R., Mesa-Romeu, D., & Gumbau-Vizcarro, P. (2023). Aportaciones a la flora turolense, IV. Flora Montibérica 86, 18-21."
Asparagus officinalis,30TYL16,30TYL1164,"Senar-Lluch, R., Cardero-Aguilera, S., Martínez-Entonado, R., Mesa-Romeu, D., & Gumbau-Vizcarro, P. (2023). Aportaciones a la flora turolense, IV. Flora Montibérica 86, 18-21."
Asparagus officinalis,30TYL29,30TYL2099,"Senar-Lluch, R., Cardero-Aguilera, S., Martínez-Entonado, R., Mesa-Romeu, D., & Gumbau-Vizcarro, P. (2023). Aportaciones a la flora turolense, IV. Flora Montibérica 86, 18-21."
Clematis orientalis,30TYL06,30TYL0769,"Senar-Lluch, R., Cardero-Aguilera, S., Martínez-Entonado, R., Mesa-Romeu, D., & Gumbau-Vizcarro, P. (2023). Aportaciones a la flora turolense, IV. Flora Montibérica 86, 18-21."
Equisetum x moorei,30TYK16,30TYK1861,"Senar-Lluch, R., Cardero-Aguilera, S., Martínez-Entonado, R., Mesa-Romeu, D., & Gumbau-Vizcarro, P. (2023). Aportaciones a la flora turolense, IV. Flora Montibérica 86, 18-21."
Rubia tinctorum,30TXL92,30TXL9821,"Senar-Lluch, R., Cardero-Aguilera, S., Martínez-Entonado, R., Mesa-Romeu, D., & Gumbau-Vizcarro, P. (2023). Aportaciones a la flora turolense, IV. Flora Montibérica 86, 18-21."
Rubia tinctorum,30TYL16,30TYL1164,"Senar-Lluch, R., Cardero-Aguilera, S., Martínez-Entonado, R., Mesa-Romeu, D., & Gumbau-Vizcarro, P. (2023). Aportaciones a la flora turolense, IV. Flora Montibérica 86, 18-21."
Anacamptis fragrans,30SYH49,30SYH4698,"Serra-Laliga, L., Fidel, L., García-Belleville, G., Hernández, J. C., Mir-Pegueroles, C., Marín, J., Navarro, A., Oltra, J. E., Ormad, J., & Torregrosa, R. (2023). Adiciones y correcciones a la orquidoflora valenciana, XI. Flora Montibérica, 27-34."
Anacamptis fragrans,31SBC59,31SBC5293,"Serra-Laliga, L., Fidel, L., García-Belleville, G., Hernández, J. C., Mir-Pegueroles, C., Marín, J., Navarro, A., Oltra, J. E., Ormad, J., & Torregrosa, R. (2023). Adiciones y correcciones a la orquidoflora valenciana, XI. Flora Montibérica, 27-34."
Epipactis bugacensis,30TYK38,30TYK3080,"Serra-Laliga, L., Fidel, L., García-Belleville, G., Hernández, J. C., Mir-Pegueroles, C., Marín, J., Navarro, A., Oltra, J. E., Ormad, J., & Torregrosa, R. (2023). Adiciones y correcciones a la orquidoflora valenciana, XI. Flora Montibérica, 27-34."
Himantoglossum robertianum,30SXH86,30SXH8569,"Serra-Laliga, L., Fidel, L., García-Belleville, G., Hernández, J. C., Mir-Pegueroles, C., Marín, J., Navarro, A., Oltra, J. E., Ormad, J., & Torregrosa, R. (2023). Adiciones y correcciones a la orquidoflora valenciana, XI. Flora Montibérica, 27-34."
Himantoglossum robertianum,30SXH88,30SXH8982,"Serra-Laliga, L., Fidel, L., García-Belleville, G., Hernández, J. C., Mir-Pegueroles, C., Marín, J., Navarro, A., Oltra, J. E., Ormad, J., & Torregrosa, R. (2023). Adiciones y correcciones a la orquidoflora valenciana, XI. Flora Montibérica, 27-34."
Himantoglossum robertianum,30SXH97,30SXH9276,"Serra-Laliga, L., Fidel, L., García-Belleville, G., Hernández, J. C., Mir-Pegueroles, C., Marín, J., Navarro, A., Oltra, J. E., Ormad, J., & Torregrosa, R. (2023). Adiciones y correcciones a la orquidoflora valenciana, XI. Flora Montibérica, 27-34."
Himantoglossum robertianum,30SXH97,30SXH9277,"Serra-Laliga, L., Fidel, L., García-Belleville, G., Hernández, J. C., Mir-Pegueroles, C., Marín, J., Navarro, A., Oltra, J. E., Ormad, J., & Torregrosa, R. (2023). Adiciones y correcciones a la orquidoflora valenciana, XI. Flora Montibérica, 27-34."
Himantoglossum robertianum,30SXH96,30SXH9360,"Serra-Laliga, L., Fidel, L., García-Belleville, G., Hernández, J. C., Mir-Pegueroles, C., Marín, J., Navarro, A., Oltra, J. E., Ormad, J., & Torregrosa, R. (2023). Adiciones y correcciones a la orquidoflora valenciana, XI. Flora Montibérica, 27-34."
Himantoglossum robertianum,30SYH37,30SYH3976,"Serra-Laliga, L., Fidel, L., García-Belleville, G., Hernández, J. C., Mir-Pegueroles, C., Marín, J., Navarro, A., Oltra, J. E., Ormad, J., & Torregrosa, R. (2023). Adiciones y correcciones a la orquidoflora valenciana, XI. Flora Montibérica, 27-34."
Himantoglossum robertianum,30SYH58,30SYH5081,"Serra-Laliga, L., Fidel, L., García-Belleville, G., Hernández, J. C., Mir-Pegueroles, C., Marín, J., Navarro, A., Oltra, J. E., Ormad, J., & Torregrosa, R. (2023). Adiciones y correcciones a la orquidoflora valenciana, XI. Flora Montibérica, 27-34."
Himantoglossum robertianum,31SBC59,31SBC5293,"Serra-Laliga, L., Fidel, L., García-Belleville, G., Hernández, J. C., Mir-Pegueroles, C., Marín, J., Navarro, A., Oltra, J. E., Ormad, J., & Torregrosa, R. (2023). Adiciones y correcciones a la orquidoflora valenciana, XI. Flora Montibérica, 27-34."
Himantoglossum robertianum,30SYJ11,30SYJ1910,"Serra-Laliga, L., Fidel, L., García-Belleville, G., Hernández, J. C., Mir-Pegueroles, C., Marín, J., Navarro, A., Oltra, J. E., Ormad, J., & Torregrosa, R. (2023). Adiciones y correcciones a la orquidoflora valenciana, XI. Flora Montibérica, 27-34."
Neotinea ustulata,30TYK27,30TYK2777,"Serra-Laliga, L., Fidel, L., García-Belleville, G., Hernández, J. C., Mir-Pegueroles, C., Marín, J., Navarro, A., Oltra, J. E., Ormad, J., & Torregrosa, R. (2023). Adiciones y correcciones a la orquidoflora valenciana, XI. Flora Montibérica, 27-34."
Neotinea ustulata,30TYK38,30TYK3582,"Serra-Laliga, L., Fidel, L., García-Belleville, G., Hernández, J. C., Mir-Pegueroles, C., Marín, J., Navarro, A., Oltra, J. E., Ormad, J., & Torregrosa, R. (2023). Adiciones y correcciones a la orquidoflora valenciana, XI. Flora Montibérica, 27-34."
Neotinea ustulata,30SYJ31,30SYJ3218,"Serra-Laliga, L., Fidel, L., García-Belleville, G., Hernández, J. C., Mir-Pegueroles, C., Marín, J., Navarro, A., Oltra, J. E., Ormad, J., & Torregrosa, R. (2023). Adiciones y correcciones a la orquidoflora valenciana, XI. Flora Montibérica, 27-34."
Oprhys apifera,30SYJ10,30SYJ1802,"Serra-Laliga, L., Fidel, L., García-Belleville, G., Hernández, J. C., Mir-Pegueroles, C., Marín, J., Navarro, A., Oltra, J. E., Ormad, J., & Torregrosa, R. (2023). Adiciones y correcciones a la orquidoflora valenciana, XI. Flora Montibérica, 27-34."
Oprhys dyris,30SXJ80,30SXJ8609,"Serra-Laliga, L., Fidel, L., García-Belleville, G., Hernández, J. C., Mir-Pegueroles, C., Marín, J., Navarro, A., Oltra, J. E., Ormad, J., & Torregrosa, R. (2023). Adiciones y correcciones a la orquidoflora valenciana, XI. Flora Montibérica, 27-34."
