Taxon,UTM10x10,UTM1x1,References
Arenaria montana intricata,30SWF69,NA,HerbarioUS
Herniaria fontanesii almeriana,30SWF47,NA,HerbarioUS
Herniaria cinerea,30SWG60,NA,HerbarioUS
Minuartia hybrida hybrida,30SWF69,NA,HerbarioUS
Rhodalsine geniculata,30SWF47,NA,HerbarioUS
Velezia rigida,30SWF69,NA,HerbarioUS
Velezia rigida,30SWF69,NA,HerbarioUS
Paronychia argentea,30SWF47,NA,HerbarioUS
Paronychia suffruticosa suffruticosa,30SWF76,NA,HerbarioUS
Petrorhagia nanteuilii,30SWF69,NA,HerbarioUS
Adiantum capillus-veneris,30SWF58,NA,HerbarioUS
Cosentinia vellea,30SWF59,NA,HerbarioUS
Vaccaria hispanica,30SWG60,NA,HerbarioUS
Minuartia montana montana,30SWF69,NA,HerbarioUS
Mesembryanthemum nodiflorum,30SWF47,NA,HerbarioUS
Atriplex glauca,30SWF47,NA,HerbarioUS
Nigella damascena,30SWF47,NA,HerbarioUS
Aristolochia baetica,30SWF59,NA,HerbarioUS
Fumaria parviflora,30SWG60,NA,HerbarioUS
Papaver hybridum,30SWF69,NA,HerbarioUS
Alyssum simplex,30SWF69,NA,HerbarioUS
Sisymbrium runcinatum,30SWF69,NA,HerbarioUS
Lepidium subulatum,30SWG60,NA,HerbarioUS
Matthiola parviflora,30SWF47,NA,HerbarioUS
Withania frutescens,30SWF59,NA,HerbarioUS
Lycium intricatum,30SWF76,NA,HerbarioUS
Reseda lutea lutea,30SWF69,NA,HerbarioUS
Reseda lutea lutea,30SWG60,NA,HerbarioUS
Sedum album,30SWF47,NA,HerbarioUS
Anthyllis terniflora,30SWG60,NA,HerbarioUS
Coronilla scorpioides,30SWF69,NA,HerbarioUS
Medicago littoralis,30SWG60,NA,HerbarioUS
Medicago rigidula,30SWF69,NA,HerbarioUS
Trigonella monspeliaca,30SWF69,NA,HerbarioUS
Trifolium arvense,30SWF69,NA,HerbarioUS
Trifolium campestre,30SWF69,NA,HerbarioUS
Trifolium gemellum,30SWF69,NA,HerbarioUS
Trifolium gemellum,30SWF69,NA,HerbarioUS
Trifolium glomeratum,30SWF69,NA,HerbarioUS
Trifolium scabrum,30SWF69,NA,HerbarioUS
Trifolium stellatum,30SWF69,NA,HerbarioUS
Ulex parviflorus parviflorus,30SWF47,NA,HerbarioUS
Vicia hirsuta,30SWF69,NA,HerbarioUS
Geranium purpureum,30SWF69,NA,HerbarioUS
Fagonia cretica,30SWF76,NA,HerbarioUS
Peganum harmala,30SWG60,NA,HerbarioUS
Zygophyllum fabago,30SWF47,NA,HerbarioUS
Linum strictum strictum,30SWF47,NA,HerbarioUS
Euphorbia segetalis,30SWF76,NA,HerbarioUS
Euphorbia serrata,30SWG60,NA,HerbarioUS
Mercurialis annua,30SWF47,NA,HerbarioUS
Ruta angustifolia,30SWF47,NA,HerbarioUS
Malva sylvestris,30SWF69,NA,HerbarioUS
Thymelaea hirsuta,30SWF47,NA,HerbarioUS
Viola arborescens,30SWF47,NA,HerbarioUS
Cistus albidus,30SWF69,NA,HerbarioUS
Fumana laevipes,30SWF59,NA,HerbarioUS
Helianthemum almeriense,30SWG60,NA,HerbarioUS
Helianthemum apenninum stoechadifolium,30SWF69,NA,HerbarioUS
Helianthemum violaceum,30SWF47,NA,HerbarioUS
Frankenia corymbosa,30SWF47,NA,HerbarioUS
Frankenia thymifolia,30SWG60,NA,HerbarioUS
Caucalis platycarpos,30SWG60,NA,HerbarioUS
Eryngium campestre,30SWF47,NA,HerbarioUS
Eryngium ilicifolium,30SWF76,NA,HerbarioUS
Torilis leptophylla,30SWF69,NA,HerbarioUS
Torilis webbii,30SWF47,NA,HerbarioUS
Limonium echioides,30SWF76,NA,HerbarioUS
Limonium sinuatum,30SWF76,NA,HerbarioUS
Hypericum robertii,30SWF47,NA,HerbarioUS
Linaria arvensis,30SWF69,NA,HerbarioUS
Asperula aristata scabra,30SWF47,NA,HerbarioUS
Crucianella maritima,30SWF76,NA,HerbarioUS
Galium ephedroides,30SWF47,NA,HerbarioUS
Convolvulus althaeoides,30SWF47,NA,HerbarioUS
Convolvulus arvensis,30SWF69,NA,HerbarioUS
Convolvulus lanuginosus,30SWF69,NA,HerbarioUS
Cuscuta epithymum,30SWF47,NA,HerbarioUS
Cuscuta epithymum,30SWF47,NA,HerbarioUS
Heliotropium europaeum,30SWG60,NA,HerbarioUS
Neatostema apulum,30SWF69,NA,HerbarioUS
Ajuga iva,30SWF47,NA,HerbarioUS
Ballota hirsuta,30SWF47,NA,HerbarioUS
Lamium amplexicaule,30SWF69,NA,HerbarioUS
Lavandula multifida,30SWF47,NA,HerbarioUS
Marrubium vulgare,30SWF69,NA,HerbarioUS
Phlomis purpurea,30SWF69,NA,HerbarioUS
Satureja cuneifolia,30SWF47,NA,HerbarioUS
Sideritis romana,30SWF47,NA,HerbarioUS
Teucrium compactum,30SWF69,NA,HerbarioUS
Teucrium intricatum,30SWF47,NA,HerbarioUS
Lafuentea rotundifolia,30SWF47,NA,HerbarioUS
Orobanche cernua,30SWG60,NA,HerbarioUS
Orobanche santolinae,30SWG60,NA,HerbarioUS
Plantago lagopus,30SWF47,NA,HerbarioUS
Plantago albicans,30SWF76,NA,HerbarioUS
Plantago albicans,30SWG60,NA,HerbarioUS
Plantago albicans,30SWF47,NA,HerbarioUS
Plantago coronopus,30SWF47,NA,HerbarioUS
Valerianella discoidea,30SWF69,NA,HerbarioUS
Campanula erinus,30SWF47,NA,HerbarioUS
Campanula fastigiata,30SWG60,NA,HerbarioUS
Lomelosia stellata,30SWG60,NA,HerbarioUS
Lomelosia stellata,30SWF69,NA,HerbarioUS
Andryala ragusina,30SWF47,NA,HerbarioUS
Asteriscus maritimus,30SWF47,NA,HerbarioUS
Atractylis cancellata,30SWF47,NA,HerbarioUS
Centaurea melitensis,30SWF47,NA,HerbarioUS
Filago fuscescens,30SWF47,NA,HerbarioUS
Filago pyramidata,30SWG60,NA,HerbarioUS
Launaea lanifera,30SWF47,NA,HerbarioUS
Launaea fragilis,30SWG60,NA,HerbarioUS
Rhaponticum coniferum,30SWF69,NA,HerbarioUS
Onopordum acaulon,30SWF69,NA,HerbarioUS
Reichardia tingitana,30SWG60,NA,HerbarioUS
Xeranthemum inapertum,30SWF69,NA,HerbarioUS
Androcymbium europaeum,30SWF47,NA,HerbarioUS
Bromus tectorum,30SWF69,NA,HerbarioUS
Catapodium rigidum,30SWF69,NA,HerbarioUS
Conopodium thalictrifolium,30SWG42,NA,HerbarioUS
Bromus rubens,30SWG60,NA,HerbarioUS
Sarcocapnos crassifolia speciosa,30SWF09,NA,HerbarioUS
Silene vulgaris vulgaris,30SWF08,NA,HerbarioUS
Spergularia purpurea,30SWF38,NA,HerbarioUS
Minuartia hybrida hybrida,30SWF19,NA,HerbarioUS
Atractylis humilis,30SWF76,NA,HerbarioUS
Hippocrepis ciliata,30SWG60,NA,HerbarioUS
Linum strictum strictum,30SWG60,NA,HerbarioUS
Bombycilaena erecta,30SWF69,NA,HerbarioUS
Tragopogon porrifolius,30SWF69,NA,HerbarioUS
Silene littorea adscendens,30SWG51,NA,HerbarioUS
Silene littorea littorea,30SWF76,NA,HerbarioUS
Lavandula latifolia,30SWG42,NA,HerbarioUS
Rosmarinus eriocalix,30SWG60,NA,HerbarioUS
Fumaria parviflora,30SWF07,NA,HerbarioUS
Fumaria parviflora,30SWF47,NA,HerbarioUS
Fumaria parviflora,30SWF47,NA,HerbarioUS
Fumaria agraria,30SWF07,NA,HerbarioUS
Fumaria agraria,30SWF47,NA,HerbarioUS
Fumaria densiflora,30SWF07,NA,HerbarioUS
Fumaria densiflora,30SWF08,NA,HerbarioUS
Fumaria densiflora,30SWF47,NA,HerbarioUS
Fumaria agraria,30SWF07,NA,HerbarioUS
Fumaria capreolata,30SWF07,NA,HerbarioUS
Fumaria capreolata,30SVG82,NA,HerbarioUS
Fumaria capreolata,30SVG82,NA,HerbarioUS
Fumaria bastardii,30SWF47,NA,HerbarioUS
Fumaria bastardii,30SVG82,NA,HerbarioUS
Fumaria bastardii,30SWF47,NA,HerbarioUS
Fumaria bastardii,30SWF07,NA,HerbarioUS
Fumaria melillaica,30SWG20,NA,HerbarioUS
Fumaria parviflora,30SWF07,NA,HerbarioUS
Fumaria melillaica,30SWF29,NA,HerbarioUS
Reichardia tingitana,30SWF76,NA,HerbarioUS
Reichardia tingitana,30SWF76,NA,HerbarioUS
Reichardia tingitana,30SWF47,NA,HerbarioUS
Reichardia tingitana,30SWF76,NA,HerbarioUS
Silene littorea adscendens,30SWF06,NA,HerbarioUS
Carduus tenuiflorus,30SWF76,NA,HerbarioUS
Carduus tenuiflorus,30SWF78,NA,HerbarioUS
Carduus pycnocephalus,30SWG43,NA,HerbarioUS
Carduus meonanthus valentinus,30SWF76,NA,HerbarioUS
Plantago afra,30SWF76,NA,HerbarioUS
Scorzonera angustifolia,30SWF19,NA,HerbarioUS
Asteriscus maritimus,30SWF76,NA,HerbarioUS
Asphodelus fistulosus,30SWF78,NA,HerbarioUS
Tripodion tetraphyllum,30SWF78,NA,HerbarioUS
Calendula arvensis,30SWF78,NA,HerbarioUS
Glaucium corniculatum,30SWF78,NA,HerbarioUS
Herniaria cinerea,30SWF78,NA,HerbarioUS
Medicago polymorpha,30SWF78,NA,HerbarioUS
Plantago albicans,30SWF78,NA,HerbarioUS
Scorpiurus sulcatus,30SWF78,NA,HerbarioUS
Sonchus oleraceus,30SWF78,NA,HerbarioUS
Trigonella monspeliaca,30SWF78,NA,HerbarioUS
Fagonia cretica,30SWF76,NA,HerbarioUS
Hedypnois rhagadioloides,30SWF78,NA,HerbarioUS
Reichardia tingitana,30SWF78,NA,HerbarioUS
Reichardia tingitana,30SWG86,NA,HerbarioUS
Reichardia intermedia,30SWG86,NA,HerbarioUS
Chamaerops humilis,30SWF76,NA,HerbarioUS
Plantago albicans,30SWF76,NA,HerbarioUS
Solanum nigrum,30SWF76,NA,HerbarioUS
Carrichtera annua,30SWF78,NA,HerbarioUS
Eruca vesicaria,30SWF78,NA,HerbarioUS
Papaver rhoeas,30SWF78,NA,HerbarioUS
Beta macrocarpa,30SWF78,NA,HerbarioUS
Euphorbia terracina,30SWG60,NA,HerbarioUS
Eryngium maritimum,30SWF78,NA,HerbarioUS
Launaea nudicaulis,30SWF76,NA,HerbarioUS
Herniaria fontanesii almeriana,30SWF59,NA,HerbarioUS
Silene littorea adscendens,30SWG60,NA,HerbarioUS
Fumaria capreolata,30SWF07,NA,HerbarioUS
Allium melananthum,30SWF47,NA,HerbarioUS
Allium sphaerocephalon,30SWG60,NA,HerbarioUS
Filago pyramidata,30SWF69,NA,HerbarioUS
Limonium sinuatum,30SWF76,NA,HerbarioUS
Andryala ragusina,30SWF78,NA,HerbarioUS
Anchusa azurea,30SWF78,NA,HerbarioUS
Ballota hirsuta,30SWF76,NA,HerbarioUS
Lycium intricatum,30SWF76,NA,HerbarioUS
Mesembryanthemum nodiflorum,30SWF76,NA,HerbarioUS
Atriplex glauca,30SWF76,NA,HerbarioUS
Lavandula multifida,30SWF76,NA,HerbarioUS
Aizoon hispanicum,30SWF76,NA,HerbarioUS
Lavandula multifida,30SWF76,NA,HerbarioUS
Linum strictum strictum,30SWF76,NA,HerbarioUS
Bituminaria bituminosa,30SWF76,NA,HerbarioUS
Triplachne nitens,30SWF76,NA,HerbarioUS
Psilurus incurvus,30SWF69,NA,HerbarioUS
Echium sabulicola decipiens,30SWF47,NA,HerbarioUS
Androcymbium europaeum,30SWF47,NA,HerbarioUS
Launaea nudicaulis,30SWF78,NA,HerbarioUS
Helichrysum stoechas,30SWG86,NA,HerbarioUS
Allium roseum,30SWF09,NA,HerbarioUS
Brassica tournefortii,30SWF67,NA,HerbarioUS
Notoceras bicorne,30SWG40,NA,HerbarioUS
Achillea odorata,30SWF69,NA,HerbarioUS
Lycium intricatum,30SWF76,NA,HerbarioUS
Fumaria mirabilis,30SWF76,NA,HerbarioUS
Platycapnos spicata,30SWF08,NA,HerbarioUS
Hyoscyamus albus,30SWF76,NA,HerbarioUS
Paronychia suffruticosa suffruticosa,30SWF76,NA,HerbarioUS
Paronychia argentea,30SWF76,NA,HerbarioUS
Silene secundiflora,30SWF07,NA,HerbarioUS
Spergularia nicaeensis,30SXG13,NA,HerbarioUS
Rhodalsine geniculata,30SWF76,NA,HerbarioUS
Silene vulgaris vulgaris,30SWG77,NA,HerbarioUS
Halocnemum strobilaceum,30SXG13,NA,HerbarioUS
Launaea arborescens,30SXG13,NA,HerbarioUS
Silene littorea adscendens,30SWG60,NA,HerbarioUS
Aizoon hispanicum,30SXG03,NA,HerbarioUS
Rhodalsine geniculata,30SWF76,NA,HerbarioUS
Limonium supinum,30SWG40,NA,HerbarioUS
Lavatera maritima,30SWF76,NA,HerbarioUS
Limonium lobatum,30SWF78,NA,HerbarioUS
Sarcocapnos enneaphylla,30SWF19,NA,HerbarioUS
Asteriscus maritimus,30SWF47,NA,HerbarioUS
Erodium aethiopicum,30SWF76,NA,HerbarioUS
Platycapnos spicata,30SWF08,NA,HerbarioUS
Valantia hispida,30SWF76,NA,HerbarioUS
Galium pruinosum,30SWF19,NA,HerbarioUS
Lonicera splendida,30SWG87,NA,HerbarioUS
Moricandia arvensis,30SWG40,NA,HerbarioUS
Fagonia cretica,30SWG40,NA,HerbarioUS
Sisymbrium austriacum hispanicum,30SWG40,NA,HerbarioUS
Fumaria mirabilis,30SWF76,NA,HerbarioUS
Phlomis lychnitis,30SWF76,NA,HerbarioUS
Linum jimenezii jimenezii,30SWF19,NA,HerbarioUS
Sideritis pusilla,30SWF68,NA,HerbarioUS
Plantago afra,30SWF68,NA,HerbarioUS
Matthiola parviflora,30SWF68,NA,HerbarioUS
Lavandula multifida,30SWF68,NA,HerbarioUS
Fagonia cretica,30SWF68,NA,HerbarioUS
Andryala ragusina,30SWF68,NA,HerbarioUS
Asparagus albus,30SWF68,NA,HerbarioUS
Bromus rubens,30SWF68,NA,HerbarioUS
Carrichtera annua,30SWF68,NA,HerbarioUS
Eryngium ilicifolium,30SWF68,NA,HerbarioUS
Helichrysum stoechas,30SWF68,NA,HerbarioUS
Neatostema apulum,30SWF68,NA,HerbarioUS
Salsola genistoides,30SWF68,NA,HerbarioUS
Scorpiurus sulcatus,30SWF68,NA,HerbarioUS
Tripodion tetraphyllum,30SWF68,NA,HerbarioUS
Bellis microcephala,30SWF68,NA,HerbarioUS
Helianthemum almeriense,30SWF68,NA,HerbarioUS
Artemisia barrelieri,30SWF68,NA,HerbarioUS
Anthyllis terniflora,30SWG86,NA,HerbarioUS
Plantago albicans,30SWG86,NA,HerbarioUS
Lavandula multifida,30SWF76,NA,HerbarioUS
Phlomis lychnitis,30SWG86,NA,HerbarioUS
