Taxon,UTM10x10,UTM1x1,References
Juniperus communis hemisphaerica,NA,NA,HerbarioUS
Juniperus oxycedrus oxycedrus,NA,NA,HerbarioUS
Osyris quadripartita,30SWF47,NA,HerbarioUS
Parietaria diffusa,NA,NA,HerbarioUS
Urtica urens,NA,NA,HerbarioUS
Cerastium brachypetalum tauricum,30SWF69,NA,HerbarioUS
Arenaria armerina,NA,NA,HerbarioUS
Arenaria montana intricata,NA,NA,HerbarioUS
Rhodalsine geniculata,NA,NA,HerbarioUS
Dianthus cintranus charidemi,NA,NA,HerbarioUS
Dianthus cintranus charidemi,30SWF76,NA,HerbarioUS
Dianthus pungens brachyanthus,NA,NA,HerbarioUS
Scleranthus verticillatus,NA,NA,HerbarioUS
Silene vulgaris commutata,NA,NA,HerbarioUS
Silene ramosissima,NA,NA,HerbarioUS
Spergula viscosa,NA,NA,HerbarioUS
Paronychia suffruticosa suffruticosa,NA,NA,HerbarioUS
Paronychia argentea,NA,NA,HerbarioUS
Polycarpon tetraphyllum diphyllum,NA,NA,HerbarioUS
Polycarpon tetraphylum tetraphyllum,NA,NA,HerbarioUS
Rumex intermedius,NA,NA,HerbarioUS
Rumex induratus,NA,NA,HerbarioUS
Paronychia argentea,NA,NA,HerbarioUS
Polygonum maritimum,NA,NA,HerbarioUS
Emex spinosa,NA,NA,HerbarioUS
Urtica dioica,NA,NA,HerbarioUS
Urtica membranacea,NA,NA,HerbarioUS
Parietaria mauritanica,NA,NA,HerbarioUS
Adiantum capillus-veneris,NA,NA,HerbarioUS
Adiantum capillus-veneris,NA,NA,HerbarioUS
Cosentinia vellea,NA,NA,HerbarioUS
Cheilanthes fragans,NA,NA,HerbarioUS
Selaginella denticulata,NA,NA,HerbarioUS
Asplenium trichomanes quadrivalens,NA,NA,HerbarioUS
Ceterach officinarum officinarum,NA,NA,HerbarioUS
Cystopteris fragilis,NA,NA,HerbarioUS
Minuartia montana,30SWF69,NA,HerbarioUS
Bufonia tenuifolia,NA,NA,HerbarioUS
Silene secundiflora,NA,NA,HerbarioUS
Pinus halepensis,NA,NA,HerbarioUS
Quercus rotundifolia,30SWF69,NA,HerbarioUS
Anabasis articulata,NA,NA,HerbarioUS
Anabasis articulata,NA,NA,HerbarioUS
Chenopodium murale,NA,NA,HerbarioUS
Chenopodium murale,NA,NA,HerbarioUS
Atriplex glauca,NA,NA,HerbarioUS
Hammada scoparia,NA,NA,HerbarioUS
Halogeton sativus,NA,NA,HerbarioUS
Salsola verticillata,NA,NA,HerbarioUS
Salsola verticillata,30SWF47,NA,HerbarioUS
Salsola verticillata,NA,NA,HerbarioUS
Salsola kali,NA,NA,HerbarioUS
Salsola genistoides,NA,NA,HerbarioUS
Amaranthus blitoides,NA,NA,HerbarioUS
Amaranthus lividus ascendens,NA,NA,HerbarioUS
Delphinium gracile,NA,NA,HerbarioUS
Helleborus foetidus,NA,NA,HerbarioUS
Nigella damascena,NA,NA,HerbarioUS
Ranunculus bulbosus aleae,NA,NA,HerbarioUS
Ranunculus paludosus paludosus,NA,NA,HerbarioUS
Berberis hispanica,NA,NA,HerbarioUS
Aristolochia baetica,NA,NA,HerbarioUS
Glaucium flavum,NA,NA,HerbarioUS
Aethionema saxatile,NA,NA,HerbarioUS
Alyssum gadorense,NA,NA,HerbarioUS
Sisymbrium erysimoides,NA,NA,HerbarioUS
Sisymbrium irio,NA,NA,HerbarioUS
Succowia balearica,NA,NA,HerbarioUS
Vella spinosa,NA,NA,HerbarioUS
Cakile maritima aegyptia,NA,NA,HerbarioUS
Cardamine hirsuta,NA,NA,HerbarioUS
Carrichtera annua,NA,NA,HerbarioUS
Carrichtera annua,NA,NA,HerbarioUS
Diplotaxis crassifolia,30SWG60,NA,HerbarioUS
Diplotaxis virgata,NA,NA,HerbarioUS
Diplotaxis virgata,NA,NA,HerbarioUS
Erucastrum laevigatum,NA,NA,HerbarioUS
Erucastrum laevigatum,NA,NA,HerbarioUS
Erysimum mediohispanicum rondae,NA,NA,HerbarioUS
Euzomodendron bourgaeanum,NA,NA,HerbarioUS
Iberis carnosa granatensis,NA,NA,HerbarioUS
Lobularia maritima,NA,NA,HerbarioUS
Lobularia maritima,30SWF47,NA,HerbarioUS
Matthiola parviflora,NA,NA,HerbarioUS
Moricandia moricandioides,30SWF59,NA,HerbarioUS
Moricandia arvensis,NA,NA,HerbarioUS
Withania frutescens,NA,NA,HerbarioUS
Nicotiana glauca,NA,NA,HerbarioUS
Nicotiana glauca,NA,NA,HerbarioUS
Hyoscyamus albus,NA,NA,HerbarioUS
Hormathophylla spinosa,NA,NA,HerbarioUS
Rapistrum rugosum rugosum,NA,NA,HerbarioUS
Reseda phyteuma phyteuma,30SWG60,NA,HerbarioUS
Reseda luteola,NA,NA,HerbarioUS
Reseda barrelieri,NA,NA,HerbarioUS
Reseda undata grosii,NA,NA,HerbarioUS
Sesamoides purpurascens,NA,NA,HerbarioUS
Capparis ovata,NA,NA,HerbarioUS
Sedum dasyphyllum glanduliferum,NA,NA,HerbarioUS
Sedum sediforme,NA,NA,HerbarioUS
Umbilicus gaditanus,NA,NA,HerbarioUS
Anthyllis cytisoides,NA,NA,HerbarioUS
Anthyllis cytisoides,NA,NA,HerbarioUS
Anthyllis terniflora,NA,NA,HerbarioUS
Anthyllis vulneraria reuteri,NA,NA,HerbarioUS
Anthyllis vulneraria reuteri,NA,NA,HerbarioUS
Anthyllis vulneraria reuteri,NA,NA,HerbarioUS
Astragalus incanus incurvus,NA,NA,HerbarioUS
Astragalus monspessulanus chlorocyaneus,NA,NA,HerbarioUS
Astragalus bourgaeanus,NA,NA,HerbarioUS
Fumaria officinalis,30SWF69,NA,HerbarioUS
Sarcocapnos enneaphylla,NA,NA,HerbarioUS
Saxifraga granulata granulata,NA,NA,HerbarioUS
Crataegus monogyna,NA,NA,HerbarioUS
Prunus prostrata,NA,NA,HerbarioUS
Prunus ramburii,NA,NA,HerbarioUS
Rosa pouzinii,NA,NA,HerbarioUS
Astragalus incanus nummularioides,NA,NA,HerbarioUS
Biserrula pelecinus,30SWF69,NA,HerbarioUS
Cytisus fontanesii fontanesii,NA,NA,HerbarioUS
Coronilla juncea,NA,NA,HerbarioUS
Dorycnium pentaphyllum,NA,NA,HerbarioUS
Echinospartum boissieri,NA,NA,HerbarioUS
Erinacea anthyllis,NA,NA,HerbarioUS
Genista cinerea,NA,NA,HerbarioUS
Genista spartioides,NA,NA,HerbarioUS
Genista spartioides,NA,NA,HerbarioUS
Genista jimenezii,NA,NA,HerbarioUS
Genista cinerea,NA,NA,HerbarioUS
Lathyrus clymenum,NA,NA,HerbarioUS
Lathyrus saxatilis,NA,NA,HerbarioUS
Medicago marina,NA,NA,HerbarioUS
Medicago polymorpha,NA,NA,HerbarioUS
Medicago polymorpha,NA,NA,HerbarioUS
Medicago sativa sativa,NA,NA,HerbarioUS
Ononis minutissima,NA,NA,HerbarioUS
Ononis natrix ramosissima,NA,NA,HerbarioUS
Ononis natrix natrix,30SWF76,NA,HerbarioUS
Ononis natrix natrix,NA,NA,HerbarioUS
Ononis natrix hispanica,NA,NA,HerbarioUS
Ononis mollis,NA,NA,HerbarioUS
Ononis spinosa australis,NA,NA,HerbarioUS
Ononis speciosa,NA,NA,HerbarioUS
Bituminaria bituminosa,NA,NA,HerbarioUS
Scorpiurus sulcatus,NA,NA,HerbarioUS
Scorpiurus sulcatus,NA,NA,HerbarioUS
Ulex canescens,NA,NA,HerbarioUS
Vicia lutea,NA,NA,HerbarioUS
Vicia lutea,30SWF69,NA,HerbarioUS
Vicia onobrychioides,NA,NA,HerbarioUS
Oxalis pes-caprae,NA,NA,HerbarioUS
Erodium cicutarium cicutarium,30SWF69,NA,HerbarioUS
Erodium chium,NA,NA,HerbarioUS
Geranium molle,NA,NA,HerbarioUS
Fagonia cretica,NA,NA,HerbarioUS
Linum narbonense,NA,NA,HerbarioUS
Linum strictum,NA,NA,HerbarioUS
Linum strictum,30SWG60,NA,HerbarioUS
Linum jimenezii jimenezii,NA,NA,HerbarioUS
Euphorbia pubescens,NA,NA,HerbarioUS
Euphorbia nicaeensis,NA,NA,HerbarioUS
Euphorbia characias,NA,NA,HerbarioUS
Euphorbia dracunculoides,NA,NA,HerbarioUS
Euphorbia hyberna,30SWF69,NA,HerbarioUS
Euphorbia paralias,NA,NA,HerbarioUS
Chamaesyce peplis,NA,NA,HerbarioUS
Euphorbia peplus,NA,NA,HerbarioUS
Euphorbia segetalis,NA,NA,HerbarioUS
Euphorbia segetalis,NA,NA,HerbarioUS
Euphorbia flavicoma flavicoma,NA,NA,HerbarioUS
Euphorbia terracina,NA,NA,HerbarioUS
Ruta montana,NA,NA,HerbarioUS
Polygala boissieri,NA,NA,HerbarioUS
Polygala rupestris,NA,NA,HerbarioUS
Polygala rupestris,NA,NA,HerbarioUS
Schinus molle,NA,NA,HerbarioUS
Maytenus senegalensis,NA,NA,HerbarioUS
Maytenus senegalensis,NA,NA,HerbarioUS
Rhamnus alaternus,NA,NA,HerbarioUS
Rhamnus alaternus,NA,NA,HerbarioUS
Rhamnus alaternus,NA,NA,HerbarioUS
Rhamnus lycioides lycioides,NA,NA,HerbarioUS
Rhamnus lycioides velutinus,30SWF47,NA,HerbarioUS
Ziziphus lotus,NA,NA,HerbarioUS
Ziziphus lotus,NA,NA,HerbarioUS
Lavatera maritima,NA,NA,HerbarioUS
Viola parvula,NA,NA,HerbarioUS
Cistus clusii,30SWF59,NA,HerbarioUS
Cistus clusii,NA,NA,HerbarioUS
Fumana ericoides ericoides,NA,NA,HerbarioUS
Helianthemum alypoides,NA,NA,HerbarioUS
Helianthemum cinereum,30SWF69,NA,HerbarioUS
Helianthemum croceum,NA,NA,HerbarioUS
Helianthemum croceum,NA,NA,HerbarioUS
Helianthemum lavandulifolium,NA,NA,HerbarioUS
Helianthemum lavandulifolium,30SWF47,NA,HerbarioUS
Helianthemum lavandulifolium,30SWG60,NA,HerbarioUS
Helianthemum leptophyllum,30SWF59,NA,HerbarioUS
Helianthemum almeriense,NA,NA,HerbarioUS
Helianthemum almeriense,NA,NA,HerbarioUS
Helianthemum almeriense,NA,NA,HerbarioUS
Frankenia corymbosa,NA,NA,HerbarioUS
Lythrum hyssopifolia,NA,NA,HerbarioUS
Citrullus colocynthis,NA,NA,HerbarioUS
Ammoides pusilla,NA,NA,HerbarioUS
Apium nodiflorum,NA,NA,HerbarioUS
Bupleurum gibraltaricum,NA,NA,HerbarioUS
Bupleurum semicompositum,NA,NA,HerbarioUS
Pseudorlaya pumila,NA,NA,HerbarioUS
Torilis leptophylla,NA,NA,HerbarioUS
Ferula communis catalaunica,NA,NA,HerbarioUS
Hohenackeria exscapa,NA,NA,HerbarioUS
Lysimachia loeflingii,NA,NA,HerbarioUS
Lysimachia arvensis,NA,NA,HerbarioUS
Lysimachia arvensis,NA,NA,HerbarioUS
Lysimachia amoena,NA,NA,HerbarioUS
Coris monspeliensis hispanica,30SWG60,NA,HerbarioUS
Coris monspeliensis hispanica,30SWG60,NA,HerbarioUS
Samolus valerandi,NA,NA,HerbarioUS
Telephium imperati,NA,NA,HerbarioUS
Notoceras bicorne,NA,NA,HerbarioUS
Mesembryanthemum crystallinum,30SWF47,NA,HerbarioUS
Linaria arvensis,NA,NA,HerbarioUS
Linaria arvensis,NA,NA,HerbarioUS
Linaria aeruginea aeruginea,NA,NA,HerbarioUS
Linaria aeruginea,NA,NA,HerbarioUS
Nerium oleander,NA,NA,HerbarioUS
Caralluma europaea,NA,NA,HerbarioUS
Periploca laevigata,NA,NA,HerbarioUS
Crucianella angustifolia,NA,NA,HerbarioUS
Crucianella latifolia,NA,NA,HerbarioUS
Galium verrucosum,NA,NA,HerbarioUS
Galium setaceum,NA,NA,HerbarioUS
Galium verticillatum,NA,NA,HerbarioUS
Galium verticillatum,NA,NA,HerbarioUS
Sherardia arvensis,NA,NA,HerbarioUS
Valantia hispida,NA,NA,HerbarioUS
Valantia hispida,NA,NA,HerbarioUS
Convolvulus lanuginosus,NA,NA,HerbarioUS
Convolvulus lineatus,NA,NA,HerbarioUS
Convolvulus siculus,NA,NA,HerbarioUS
Convolvulus valentinus,NA,NA,HerbarioUS
Borago officinalis,NA,NA,HerbarioUS
Buglossoides incrassata,30SWF69,NA,HerbarioUS
Buglossoides incrassata,30SWG60,NA,HerbarioUS
Echium humile,30SWF47,NA,HerbarioUS
Myosotis minutiflora minutiflora,NA,NA,HerbarioUS
Myosotis decumbens teresiana,NA,NA,HerbarioUS
Acinos alpinus meridionalis,NA,NA,HerbarioUS
Acinos alpinus meridionalis,NA,NA,HerbarioUS
Acinos rotundifolius,NA,NA,HerbarioUS
Ballota hirsuta,NA,NA,HerbarioUS
Lavandula lanata,NA,NA,HerbarioUS
Lavandula multifida,NA,NA,HerbarioUS
Lavandula multifida,NA,NA,HerbarioUS
Lavandula stoechas,30SWF69,NA,HerbarioUS
Marrubium supinum,NA,NA,HerbarioUS
Nepeta nepetella mallophora,NA,NA,HerbarioUS
Nepeta nepetella mallophora,NA,NA,HerbarioUS
Nepeta nepetella mallophora,NA,NA,HerbarioUS
Rosmarinus eriocalix,NA,NA,HerbarioUS
Salvia lavandulifolia,NA,NA,HerbarioUS
Sideritis hirsuta,NA,NA,HerbarioUS
Sideritis osteoxyla,NA,NA,HerbarioUS
Teucrium eriocephalum,30SWF47,NA,HerbarioUS
Teucrium intricatum,NA,NA,HerbarioUS
Teucrium pseudochamaepitys,NA,NA,HerbarioUS
Thymus longiflorus,NA,NA,HerbarioUS
Thymus hyemalis,NA,NA,HerbarioUS
Thymus zygis,30SWF69,NA,HerbarioUS
Thymus hyemalis,NA,NA,HerbarioUS
Antirrhinum barrelieri,NA,NA,HerbarioUS
Antirrhinum charidemi,NA,NA,HerbarioUS
Antirrhinum hispanicum hispanicum,30SWF47,NA,HerbarioUS
Antirrhinum hispanicum mollissimum,30SWF47,NA,HerbarioUS
Bellardia trixago,NA,NA,HerbarioUS
Chaenorhinum origanifolium crassifolium,NA,NA,HerbarioUS
Chaenorhinum grandiflorum,30SWG60,NA,HerbarioUS
Chaenorhinum macropodum,NA,NA,HerbarioUS
Digitalis obscura,30SWF47,NA,HerbarioUS
Lafuentea rotundifolia,NA,NA,HerbarioUS
Scrophularia canina,NA,NA,HerbarioUS
Scrophularia sciophila,NA,NA,HerbarioUS
Veronica praecox,NA,NA,HerbarioUS
Veronica nevadensis,NA,NA,HerbarioUS
Orobanche gracilis,NA,NA,HerbarioUS
Orobanche cernua,NA,NA,HerbarioUS
Orobanche artemisiae-campestris,NA,NA,HerbarioUS
Orobanche amethystea,NA,NA,HerbarioUS
Orobanche ballotae,NA,NA,HerbarioUS
Plantago lagopus,NA,NA,HerbarioUS
Plantago ovata,NA,NA,HerbarioUS
Plantago amplexicaulis,NA,NA,HerbarioUS
Plantago amplexicaulis,30SWF76,NA,HerbarioUS
Centranthus calcitrapae,NA,NA,HerbarioUS
Valeriana tuberosa,NA,NA,HerbarioUS
Legousia scabra,NA,NA,HerbarioUS
Volutaria tubuliflora,NA,NA,HerbarioUS
Volutaria lippii,NA,NA,HerbarioUS
Andryala ragusina,NA,NA,HerbarioUS
Artemisia herba-alba,NA,NA,HerbarioUS
Artemisia barrelieri,NA,NA,HerbarioUS
Asteriscus maritimus,NA,NA,HerbarioUS
Calendula arvensis,NA,NA,HerbarioUS
Carduus tenuiflorus,NA,NA,HerbarioUS
Carduncellus hispanicus,NA,NA,HerbarioUS
Carthamus lanatus baeticus,NA,NA,HerbarioUS
Carthamus arborescens,NA,NA,HerbarioUS
Centaurea melitensis,NA,NA,HerbarioUS
Cichorium intybus,NA,NA,HerbarioUS
Cichorium intybus,NA,NA,HerbarioUS
Crupina crupinastrum,NA,NA,HerbarioUS
Conyza bonariensis,NA,NA,HerbarioUS
Mauranthemum decipiens,NA,NA,HerbarioUS
Ifloga spicata,NA,NA,HerbarioUS
Ifloga spicata,NA,NA,HerbarioUS
Jurinea humilis,NA,NA,HerbarioUS
Launaea arborescens,NA,NA,HerbarioUS
Leysera leyseroides,NA,NA,HerbarioUS
Otanthus maritimus,NA,NA,HerbarioUS
Pallenis spinosa,30SWF47,NA,HerbarioUS
Phagnalon rupestre,30SWF47,NA,HerbarioUS
Phagnalon rupestre,NA,NA,HerbarioUS
Phagnalon saxatile,NA,NA,HerbarioUS
Rhagadiolus edulis,NA,NA,HerbarioUS
Scolymus hispanicus,NA,NA,HerbarioUS
Senecio linifolius,NA,NA,HerbarioUS
Senecio linifolius,30SWF47,NA,HerbarioUS
Sonchus tenerrimus,NA,NA,HerbarioUS
Scorzonera angustifolia,NA,NA,HerbarioUS
Urospermum picroides,NA,NA,HerbarioUS
Urospermum picroides,NA,NA,HerbarioUS
Allium subvillosum,NA,NA,HerbarioUS
Androcymbium europaeum,NA,NA,HerbarioUS
Asparagus albus,NA,NA,HerbarioUS
Asphodelus ramosus,30SWF69,NA,HerbarioUS
Asphodelus tenuifolius,NA,NA,HerbarioUS
Scilla autumnalis,NA,NA,HerbarioUS
Muscari comosum,NA,NA,HerbarioUS
Lapiedra martinezii,NA,NA,HerbarioUS
Iris xiphium,NA,NA,HerbarioUS
Juncus acutus,NA,NA,HerbarioUS
Cynosurus elegans,30SWF69,NA,HerbarioUS
Narduroides salzmanni,30SWF69,NA,HerbarioUS
Stipa capensis,NA,NA,HerbarioUS
Carex distans,NA,NA,HerbarioUS
Carex leporina,NA,NA,HerbarioUS
Carex paniculata paniculata,NA,NA,HerbarioUS
Cyperus rotundus,NA,NA,HerbarioUS
Cyperus capitatus,NA,NA,HerbarioUS
Eleocharis palustris,NA,NA,HerbarioUS
Scirpoides holoschoenus,NA,NA,HerbarioUS
Arisarum vulgare,NA,NA,HerbarioUS
Sanguisorba minor magnolii,NA,NA,HerbarioUS
Sanguisorba minor magnolii,30SWF69,NA,HerbarioUS
Scorpiurus sulcatus,NA,NA,HerbarioUS
Hippocrepis ciliata,NA,NA,HerbarioUS
Hippocrepis ciliata,NA,NA,HerbarioUS
Coronilla scorpioides,NA,NA,HerbarioUS
Scorpiurus sulcatus,NA,NA,HerbarioUS
Scorpiurus sulcatus,NA,NA,HerbarioUS
Linaria oligantha,NA,NA,HerbarioUS
Euzomodendron bourgaeanum,NA,NA,HerbarioUS
Moricandia moricandioides,NA,NA,HerbarioUS
Plantago coronopus,NA,NA,HerbarioUS
Triplachne nitens,NA,NA,HerbarioUS
Chaenorhinum grandiflorum,NA,NA,HerbarioUS
Stipa parviflora,NA,NA,HerbarioUS
Diplotaxis crassifolia,NA,NA,HerbarioUS
Erinus alpinus,NA,NA,HerbarioUS
Pistacia vera,NA,NA,HerbarioUS
Coronopus navasii,NA,NA,HerbarioUS
Sideritis stachydioides,NA,NA,HerbarioUS
Sideritis sagredoi,NA,NA,HerbarioUS
Sideritis sagredoi,NA,NA,HerbarioUS
Astragalus incanus,NA,NA,HerbarioUS
Euphorbia segetalis,NA,NA,HerbarioUS
Cymodocea nodosa,NA,NA,HerbarioUS
Senecio gallicus,NA,NA,HerbarioUS
Lasiopogon muscoides,NA,NA,HerbarioUS
Centaurea castellana,NA,NA,HerbarioUS
Echium sabulicolum decipiens,NA,NA,HerbarioUS
Bituminaria bituminosa,NA,NA,HerbarioUS
Ulex parviflorus parviflorus,NA,NA,HerbarioUS
Echium sabulicolum decipiens,NA,NA,HerbarioUS
Anthyllis terniflora,NA,NA,HerbarioUS
Chaenorhinum grandiflorum,30SWG60,NA,HerbarioUS
Genista ramosissima,NA,NA,HerbarioUS
Helianthemum alypoides,NA,NA,HerbarioUS
Coronilla juncea,NA,NA,HerbarioUS
Senecio flavus,NA,NA,HerbarioUS
Leysera leyseroides,NA,NA,HerbarioUS
Cynomorium coccineum coccineum,NA,NA,HerbarioUS
Limonium estevei,NA,NA,HerbarioUS
Bromus rubens,NA,NA,HerbarioUS
Genista ramosissima,NA,NA,HerbarioUS
Chaenorhinum grandiflorum,NA,NA,HerbarioUS
Antirrhinum caroli-paui,NA,NA,HerbarioUS
Koelpinia linearis,NA,NA,HerbarioUS
Antirrhinum mollissimum,NA,NA,HerbarioUS
Leysera leyseroides,NA,NA,HerbarioUS
Aristolochia baetica,NA,NA,HerbarioUS
Lasiopogon muscoides,NA,NA,HerbarioUS
Chaenorhinum grandiflorum,30SWG60,NA,HerbarioUS
Linaria oligantha oligantha,NA,NA,HerbarioUS
Sphenopus divaricatus,NA,NA,HerbarioUS
Sphenopus divaricatus,NA,NA,HerbarioUS
Hordeum marinum,NA,NA,HerbarioUS
Spergularia maritima,NA,NA,HerbarioUS
Rosmarinus tomentosus,NA,NA,HerbarioUS
Parapholis incurva,NA,NA,HerbarioUS
Moricandia moricandioides,NA,NA,HerbarioUS
Triplachne nitens,NA,NA,HerbarioUS
Stipa parviflora,NA,NA,HerbarioUS
Iberis saxatilis cinerea,NA,NA,HerbarioUS
Euzomodendron bourgaeanum,NA,NA,HerbarioUS
Diplotaxis crassifolia,NA,NA,HerbarioUS
Polypogon maritimus maritimus,NA,NA,HerbarioUS
Sporobolus pungens,NA,NA,HerbarioUS
Catapodium rigidum,NA,NA,HerbarioUS
Lobularia maritima,NA,NA,HerbarioUS
Ononis natrix natrix,NA,NA,HerbarioUS
Lavandula multifida,NA,NA,HerbarioUS
Lycium intricatum,NA,NA,HerbarioUS
Launaea arborescens,NA,NA,HerbarioUS
Anthyllis terniflora,NA,NA,HerbarioUS
Fumana ericoides ericoides,NA,NA,HerbarioUS
Sisymbrium erysimoides,NA,NA,HerbarioUS
Helianthemum alypoides,NA,NA,HerbarioUS
Thymus hyemalis,NA,NA,HerbarioUS
Allium triquetrum,NA,NA,HerbarioUS
Genista spartioides,NA,NA,HerbarioUS
Genista jimenezii,NA,NA,HerbarioUS
Anthyllis terniflora,NA,NA,HerbarioUS
Centaurea macrorrhiza,NA,NA,HerbarioUS
Smilax aspera,NA,NA,HerbarioUS
Emex spinosa,NA,NA,HerbarioUS
Teucrium ordoñezi,30SWF99,NA,HerbarioUS
Guiraoa arvensis almeriensis,NA,NA,HerbarioUS
Teucrium oxylepis,NA,NA,HerbarioUS
Coronopus navasii,NA,NA,HerbarioUS
Cirsium vulgare,NA,NA,HerbarioUS
Cirsium echinatum,NA,NA,HerbarioUS
Cirsium pyrenaicum,NA,NA,HerbarioUS
Helianthemum squamatum,NA,NA,HerbarioUS
Helianthemum squamatum,NA,NA,HerbarioUS
Helichrysum stoechas,NA,NA,HerbarioUS
Hypericum perforatum,NA,NA,HerbarioUS
Limonium estevei,NA,NA,HerbarioUS
Coris monspeliensis hispanica,NA,NA,HerbarioUS
Limonium insigne insigne,NA,NA,HerbarioUS
Helianthemum alypoides,NA,NA,HerbarioUS
Anthyllis terniflora,NA,NA,HerbarioUS
Ononis spinosa australis,NA,NA,HerbarioUS
Ononis ornithopodioides,NA,NA,HerbarioUS
Ononis sicula,NA,NA,HerbarioUS
Silene inaperta,NA,NA,HerbarioUS
Paronychia argentea,NA,NA,HerbarioUS
Paronychia capitata,NA,NA,HerbarioUS
Paronychia capitata,NA,NA,HerbarioUS
