Taxon,UTM10x10,UTM1x1,References
Mesembryanthemum nodiflorum,29SMD62,NA,FloraOn
Mesembryanthemum nodiflorum,29SMD63,NA,FloraOn
Mesembryanthemum nodiflorum,29SMC85,NA,FloraOn
Mesembryanthemum nodiflorum,29SMC95,NA,FloraOn
Mesembryanthemum nodiflorum,29SNA09,NA,FloraOn
Mesembryanthemum nodiflorum,29SNB00,NA,FloraOn
Mesembryanthemum nodiflorum,29SNB01,NA,FloraOn
Mesembryanthemum nodiflorum,29SNC05,NA,FloraOn
Mesembryanthemum nodiflorum,29SNA19,NA,FloraOn
Mesembryanthemum nodiflorum,29SNB10,NA,FloraOn
Mesembryanthemum nodiflorum,29SNB13,NA,FloraOn
Mesembryanthemum nodiflorum,29SNB14,NA,FloraOn
Mesembryanthemum nodiflorum,29SNB18,NA,FloraOn
Mesembryanthemum nodiflorum,29SNB20,NA,FloraOn
Mesembryanthemum nodiflorum,29SNB30,NA,FloraOn
Mesembryanthemum nodiflorum,29SNB31,NA,FloraOn
Mesembryanthemum nodiflorum,29SNB40,NA,FloraOn
Mesembryanthemum nodiflorum,29SNB41,NA,FloraOn
Mesembryanthemum nodiflorum,29SNB50,NA,FloraOn
Mesembryanthemum nodiflorum,29SNB60,NA,FloraOn
Mesembryanthemum nodiflorum,29SNB61,NA,FloraOn
Mesembryanthemum nodiflorum,29SNB70,NA,FloraOn
Mesembryanthemum nodiflorum,29SNA89,NA,FloraOn
Mesembryanthemum nodiflorum,29SNA99,NA,FloraOn
Mesembryanthemum nodiflorum,29SPA09,NA,FloraOn
Mesembryanthemum nodiflorum,29SPB21,NA,FloraOn
Mesembryanthemum nodiflorum,29SPB31,NA,FloraOn
Mesembryanthemum nodiflorum,29SPB32,NA,FloraOn
Alisma lanceolatum,29SMC59,NA,FloraOn
Alisma lanceolatum,29SMD60,NA,FloraOn
Alisma lanceolatum,29SMC79,NA,FloraOn
Alisma lanceolatum,29SMC87,NA,FloraOn
Alisma lanceolatum,29SMD85,NA,FloraOn
Alisma lanceolatum,29SND02,NA,FloraOn
Alisma lanceolatum,29SND03,NA,FloraOn
Alisma lanceolatum,29SNE02,NA,FloraOn
Alisma lanceolatum,29SNB11,NA,FloraOn
Alisma lanceolatum,29SNB12,NA,FloraOn
Alisma lanceolatum,29SNB13,NA,FloraOn
Alisma lanceolatum,29SND12,NA,FloraOn
Alisma lanceolatum,29SND15,NA,FloraOn
Alisma lanceolatum,29SNB21,NA,FloraOn
Alisma lanceolatum,29SNB22,NA,FloraOn
Alisma lanceolatum,29SNB23,NA,FloraOn
Alisma lanceolatum,29SNB24,NA,FloraOn
Alisma lanceolatum,29SNC21,NA,FloraOn
Alisma lanceolatum,29SND27,NA,FloraOn
Alisma lanceolatum,29TNE27,NA,FloraOn
Alisma lanceolatum,29TNF28,NA,FloraOn
Alisma lanceolatum,29SNB31,NA,FloraOn
Alisma lanceolatum,29SNB33,NA,FloraOn
Alisma lanceolatum,29SNB39,NA,FloraOn
Alisma lanceolatum,29SNC33,NA,FloraOn
Alisma lanceolatum,29SND31,NA,FloraOn
Alisma lanceolatum,29TNE37,NA,FloraOn
Alisma lanceolatum,29TNF37,NA,FloraOn
Alisma lanceolatum,29SNB40,NA,FloraOn
Alisma lanceolatum,29SNB45,NA,FloraOn
Alisma lanceolatum,29SNB47,NA,FloraOn
Alisma lanceolatum,29SNB51,NA,FloraOn
Alisma lanceolatum,29SNB52,NA,FloraOn
Alisma lanceolatum,29TNE53,NA,FloraOn
Alisma lanceolatum,29SNB62,NA,FloraOn
Alisma lanceolatum,29SNB63,NA,FloraOn
Alisma lanceolatum,29TNE64,NA,FloraOn
Alisma lanceolatum,29TNG66,NA,FloraOn
Alisma lanceolatum,29SNB73,NA,FloraOn
Alisma lanceolatum,29SNB81,NA,FloraOn
Alisma lanceolatum,29SNB90,NA,FloraOn
Alisma lanceolatum,29SNB91,NA,FloraOn
Alisma lanceolatum,29SNB92,NA,FloraOn
Alisma lanceolatum,29SND99,NA,FloraOn
Alisma lanceolatum,29SPB01,NA,FloraOn
Alisma lanceolatum,29SPB05,NA,FloraOn
Alisma lanceolatum,29TPF05,NA,FloraOn
Alisma lanceolatum,29SPB10,NA,FloraOn
Alisma lanceolatum,29SPB21,NA,FloraOn
Alisma lanceolatum,29SPB22,NA,FloraOn
Alisma lanceolatum,29SPB23,NA,FloraOn
Alisma lanceolatum,29SPB24,NA,FloraOn
Alisma lanceolatum,29TPG21,NA,FloraOn
Alisma lanceolatum,29SPB31,NA,FloraOn
Alisma lanceolatum,29TPE67,NA,FloraOn
Alisma lanceolatum,29TPE68,NA,FloraOn
Alisma lanceolatum,29TPE78,NA,FloraOn
Alisma lanceolatum,29TPE88,NA,FloraOn
Alisma lanceolatum,29TQG10,NA,FloraOn
Alisma lanceolatum,29TQF29,NA,FloraOn
Alisma lanceolatum,29TQG20,NA,FloraOn
Alisma plantago-aquatica,29SMC68,NA,FloraOn
Alisma plantago-aquatica,29SMD74,NA,FloraOn
Alisma plantago-aquatica,29SMC88,NA,FloraOn
Alisma plantago-aquatica,29SND02,NA,FloraOn
Alisma plantago-aquatica,29SNE02,NA,FloraOn
