Taxon,UTM10x10,UTM1x1,References
Acanthus mollis,29SMC68,NA,FloraOn
Acanthus mollis,29SMC78,NA,FloraOn
Acanthus mollis,29SMC79,NA,FloraOn
Acanthus mollis,29SMD70,NA,FloraOn
Acanthus mollis,29SMC87,NA,FloraOn
Acanthus mollis,29SMC88,NA,FloraOn
Acanthus mollis,29SMC89,NA,FloraOn
Acanthus mollis,29SMD80,NA,FloraOn
Acanthus mollis,29SMD83,NA,FloraOn
Acanthus mollis,29SMD84,NA,FloraOn
Acanthus mollis,29SMD85,NA,FloraOn
Acanthus mollis,29SMC95,NA,FloraOn
Acanthus mollis,29SMD92,NA,FloraOn
Acanthus mollis,29SNC05,NA,FloraOn
Acanthus mollis,29SNC06,NA,FloraOn
Acanthus mollis,29SNC15,NA,FloraOn
Acanthus mollis,29SND25,NA,FloraOn
Acanthus mollis,29SND28,NA,FloraOn
Acanthus mollis,29TNG23,NA,FloraOn
Acanthus mollis,29SNB30,NA,FloraOn
Acanthus mollis,29SNB31,NA,FloraOn
Acanthus mollis,29SND37,NA,FloraOn
Acanthus mollis,29TNE33,NA,FloraOn
Acanthus mollis,29SNB41,NA,FloraOn
Acanthus mollis,29TNE43,NA,FloraOn
Acanthus mollis,29TNE44,NA,FloraOn
Acanthus mollis,29TNE45,NA,FloraOn
Acanthus mollis,29TNE54,NA,FloraOn
Acanthus mollis,29TNE55,NA,FloraOn
Acanthus mollis,29TNE56,NA,FloraOn
Acanthus mollis,29SNB62,NA,FloraOn
Acanthus mollis,29TNE64,NA,FloraOn
Acanthus mollis,29SNB71,NA,FloraOn
Acanthus mollis,29SNB72,NA,FloraOn
Acanthus mollis,29SNB81,NA,FloraOn
Acanthus mollis,29SNE81,NA,FloraOn
Acanthus mollis,29SNA99,NA,FloraOn
Acanthus mollis,29SNB90,NA,FloraOn
Acanthus mollis,29SNB91,NA,FloraOn
Acanthus mollis,29SPB00,NA,FloraOn
Acanthus mollis,29TPE07,NA,FloraOn
Acanthus mollis,29SPB10,NA,FloraOn
Acanthus mollis,29SPB11,NA,FloraOn
Acanthus mollis,29SPB18,NA,FloraOn
Acanthus mollis,29SPB21,NA,FloraOn
Acanthus mollis,29SPB32,NA,FloraOn
Acanthus mollis,29SPB34,NA,FloraOn
Carpobrotus edulis,29SMC58,NA,FloraOn
Carpobrotus edulis,29SMC59,NA,FloraOn
Carpobrotus edulis,29SMC69,NA,FloraOn
Carpobrotus edulis,29SMD60,NA,FloraOn
Carpobrotus edulis,29SMD61,NA,FloraOn
Carpobrotus edulis,29SMD63,NA,FloraOn
Carpobrotus edulis,29SMD65,NA,FloraOn
Carpobrotus edulis,29SMC77,NA,FloraOn
Carpobrotus edulis,29SMC78,NA,FloraOn
Carpobrotus edulis,29SMC85,NA,FloraOn
Carpobrotus edulis,29SMC86,NA,FloraOn
Carpobrotus edulis,29SMC87,NA,FloraOn
Carpobrotus edulis,29SMD86,NA,FloraOn
Carpobrotus edulis,29SMC96,NA,FloraOn
Carpobrotus edulis,29SMC97,NA,FloraOn
Carpobrotus edulis,29SMD97,NA,FloraOn
Carpobrotus edulis,29SMD98,NA,FloraOn
Carpobrotus edulis,29SMD99,NA,FloraOn
Carpobrotus edulis,29SNA09,NA,FloraOn
Carpobrotus edulis,29SNB00,NA,FloraOn
Carpobrotus edulis,29SNB01,NA,FloraOn
Carpobrotus edulis,29SNC05,NA,FloraOn
Carpobrotus edulis,29SNC06,NA,FloraOn
Carpobrotus edulis,29SNC09,NA,FloraOn
Carpobrotus edulis,29SND02,NA,FloraOn
Carpobrotus edulis,29TNE02,NA,FloraOn
Carpobrotus edulis,29TNE03,NA,FloraOn
Carpobrotus edulis,29TNE04,NA,FloraOn
Carpobrotus edulis,29TNE05,NA,FloraOn
Carpobrotus edulis,29SNB11,NA,FloraOn
Carpobrotus edulis,29SNB13,NA,FloraOn
Carpobrotus edulis,29SNB14,NA,FloraOn
Carpobrotus edulis,29SNB15,NA,FloraOn
Carpobrotus edulis,29SNB17,NA,FloraOn
Carpobrotus edulis,29SNB18,NA,FloraOn
Carpobrotus edulis,29SNC10,NA,FloraOn
Carpobrotus edulis,29SNC11,NA,FloraOn
Carpobrotus edulis,29SNC12,NA,FloraOn
Carpobrotus edulis,29SNC15,NA,FloraOn
Carpobrotus edulis,29TNE13,NA,FloraOn
Carpobrotus edulis,29TNE14,NA,FloraOn
Carpobrotus edulis,29TNE18,NA,FloraOn
Carpobrotus edulis,29TNE19,NA,FloraOn
Carpobrotus edulis,29TNF19,NA,FloraOn
Carpobrotus edulis,29TNG12,NA,FloraOn
Carpobrotus edulis,29SNB24,NA,FloraOn
Carpobrotus edulis,29SNC28,NA,FloraOn
Carpobrotus edulis,29TNE29,NA,FloraOn
Carpobrotus edulis,29TNF20,NA,FloraOn
Carpobrotus edulis,29TNF21,NA,FloraOn
Carpobrotus edulis,29TNF23,NA,FloraOn
Carpobrotus edulis,29TNF24,NA,FloraOn
Carpobrotus edulis,29TNF25,NA,FloraOn
Carpobrotus edulis,29TNF26,NA,FloraOn
Carpobrotus edulis,29TNF27,NA,FloraOn
Carpobrotus edulis,29SNB30,NA,FloraOn
Carpobrotus edulis,29SNC32,NA,FloraOn
Carpobrotus edulis,29SNB40,NA,FloraOn
Carpobrotus edulis,29SNB50,NA,FloraOn
Carpobrotus edulis,29TNE65,NA,FloraOn
Carpobrotus edulis,29SNB71,NA,FloraOn
Carpobrotus edulis,29SNA89,NA,FloraOn
Carpobrotus edulis,29SNB80,NA,FloraOn
Carpobrotus edulis,29SNA99,NA,FloraOn
Carpobrotus edulis,29SPA09,NA,FloraOn
Carpobrotus edulis,29SPB31,NA,FloraOn
Carpobrotus edulis,29SPB41,NA,FloraOn
Disphyma crassifolium,29SMC59,NA,FloraOn
Disphyma crassifolium,29SNB40,NA,FloraOn
Drosanthemum floribundum,29SMC69,NA,FloraOn
Mesembryanthemum crystallinum,29SMD56,NA,FloraOn
Mesembryanthemum crystallinum,29SNB60,NA,FloraOn
Tetragonia tetragonoides,29SMC77,NA,FloraOn
Tetragonia tetragonoides,29SMC87,NA,FloraOn
Tetragonia tetragonoides,29SMD87,NA,FloraOn
Tetragonia tetragonoides,29SNA09,NA,FloraOn
Tetragonia tetragonoides,29SNC06,NA,FloraOn
Tetragonia tetragonoides,29SNB10,NA,FloraOn
Tetragonia tetragonoides,29SNB11,NA,FloraOn
Tetragonia tetragonoides,29SNB14,NA,FloraOn
Tetragonia tetragonoides,29SNC11,NA,FloraOn
Tetragonia tetragonoides,29TNE18,NA,FloraOn
Tetragonia tetragonoides,29TNE19,NA,FloraOn
Tetragonia tetragonoides,29TNF19,NA,FloraOn
Tetragonia tetragonoides,29TNE28,NA,FloraOn
Tetragonia tetragonoides,29TNE29,NA,FloraOn
Tetragonia tetragonoides,29TNF23,NA,FloraOn
Tetragonia tetragonoides,29TNF24,NA,FloraOn
Tetragonia tetragonoides,29TNF25,NA,FloraOn
Tetragonia tetragonoides,29SNB40,NA,FloraOn
Tetragonia tetragonoides,29SNB50,NA,FloraOn
Tetragonia tetragonoides,29SNA89,NA,FloraOn
Tetragonia tetragonoides,29SPB16,NA,FloraOn
Tetragonia tetragonoides,29SPB31,NA,FloraOn
Baldellia repens,29SMC86,NA,FloraOn
Baldellia repens,29SND02,NA,FloraOn
Baldellia repens,29SNE02,NA,FloraOn
Baldellia repens,29SNB12,NA,FloraOn
Baldellia repens,29SNB13,NA,FloraOn
Baldellia repens,29SNB15,NA,FloraOn
Baldellia repens,29SNC19,NA,FloraOn
