Taxon,UTM10x10
Acanthus mollis,29SMC68
Acanthus mollis,29SMC78
Acanthus mollis,29SMC79
Acanthus mollis,29SMD70
Acanthus mollis,29SMC87
Acanthus mollis,29SMC88
Acanthus mollis,29SMC89
Acanthus mollis,29SMD80
Acanthus mollis,29SMD83
Acanthus mollis,29SMD84
Acanthus mollis,29SMD85
Acanthus mollis,29SMC95
Acanthus mollis,29SMD92
Acanthus mollis,29SNC05
Acanthus mollis,29SNC06
Acanthus mollis,29SNC15
Acanthus mollis,29SND25
Acanthus mollis,29SND28
Acanthus mollis,29TNG23
Acanthus mollis,29SNB30
Acanthus mollis,29SNB31
Acanthus mollis,29SND37
Acanthus mollis,29TNE33
Acanthus mollis,29SNB41
Acanthus mollis,29TNE43
Acanthus mollis,29TNE44
Acanthus mollis,29TNE45
Acanthus mollis,29TNE54
Acanthus mollis,29TNE55
Acanthus mollis,29TNE56
Acanthus mollis,29SNB62
Acanthus mollis,29TNE64
Acanthus mollis,29SNB71
Acanthus mollis,29SNB72
Acanthus mollis,29SNB81
Acanthus mollis,29SNE81
Acanthus mollis,29SNA99
Acanthus mollis,29SNB90
Acanthus mollis,29SNB91
Acanthus mollis,29SPB00
Acanthus mollis,29TPE07
Acanthus mollis,29SPB10
Acanthus mollis,29SPB11
Acanthus mollis,29SPB18
Acanthus mollis,29SPB21
Acanthus mollis,29SPB32
Acanthus mollis,29SPB34
Carpobrotus edulis,29SMC58
Carpobrotus edulis,29SMC59
Carpobrotus edulis,29SMC69
Carpobrotus edulis,29SMD60
Carpobrotus edulis,29SMD61
Carpobrotus edulis,29SMD63
Carpobrotus edulis,29SMD65
Carpobrotus edulis,29SMC77
Carpobrotus edulis,29SMC78
Carpobrotus edulis,29SMC85
Carpobrotus edulis,29SMC86
Carpobrotus edulis,29SMC87
Carpobrotus edulis,29SMD86
Carpobrotus edulis,29SMC96
Carpobrotus edulis,29SMC97
Carpobrotus edulis,29SMD97
Carpobrotus edulis,29SMD98
Carpobrotus edulis,29SMD99
Carpobrotus edulis,29SNA09
Carpobrotus edulis,29SNB00
Carpobrotus edulis,29SNB01
Carpobrotus edulis,29SNC05
Carpobrotus edulis,29SNC06
Carpobrotus edulis,29SNC09
Carpobrotus edulis,29SND02
Carpobrotus edulis,29TNE02
Carpobrotus edulis,29TNE03
Carpobrotus edulis,29TNE04
Carpobrotus edulis,29TNE05
Carpobrotus edulis,29SNB11
Carpobrotus edulis,29SNB13
Carpobrotus edulis,29SNB14
Carpobrotus edulis,29SNB15
Carpobrotus edulis,29SNB17
Carpobrotus edulis,29SNB18
Carpobrotus edulis,29SNC10
Carpobrotus edulis,29SNC11
Carpobrotus edulis,29SNC12
Carpobrotus edulis,29SNC15
Carpobrotus edulis,29TNE13
Carpobrotus edulis,29TNE14
Carpobrotus edulis,29TNE18
Carpobrotus edulis,29TNE19
Carpobrotus edulis,29TNF19
Carpobrotus edulis,29TNG12
Carpobrotus edulis,29SNB24
Carpobrotus edulis,29SNC28
Carpobrotus edulis,29TNE29
Carpobrotus edulis,29TNF20
Carpobrotus edulis,29TNF21
Carpobrotus edulis,29TNF23
Carpobrotus edulis,29TNF24
Carpobrotus edulis,29TNF25
Carpobrotus edulis,29TNF26
Carpobrotus edulis,29TNF27
Carpobrotus edulis,29SNB30
Carpobrotus edulis,29SNC32
Carpobrotus edulis,29SNB40
Carpobrotus edulis,29SNB50
Carpobrotus edulis,29TNE65
Carpobrotus edulis,29SNB71
Carpobrotus edulis,29SNA89
Carpobrotus edulis,29SNB80
Carpobrotus edulis,29SNA99
Carpobrotus edulis,29SPA09
Carpobrotus edulis,29SPB31
Carpobrotus edulis,29SPB41
Disphyma crassifolium,29SMC59
Disphyma crassifolium,29SNB40
Drosanthemum floribundum,29SMC69
Mesembryanthemum crystallinum,29SMD56
Mesembryanthemum crystallinum,29SNB60
Mesembryanthemum nodiflorum,29SMD62
Mesembryanthemum nodiflorum,29SMD63
Mesembryanthemum nodiflorum,29SMC85
Mesembryanthemum nodiflorum,29SMC95
Mesembryanthemum nodiflorum,29SNA09
Mesembryanthemum nodiflorum,29SNB00
Mesembryanthemum nodiflorum,29SNB01
Mesembryanthemum nodiflorum,29SNC05
Mesembryanthemum nodiflorum,29SNA19
Mesembryanthemum nodiflorum,29SNB10
Mesembryanthemum nodiflorum,29SNB13
Mesembryanthemum nodiflorum,29SNB14
Mesembryanthemum nodiflorum,29SNB18
Mesembryanthemum nodiflorum,29SNB20
Mesembryanthemum nodiflorum,29SNB30
Mesembryanthemum nodiflorum,29SNB31
Mesembryanthemum nodiflorum,29SNB40
Mesembryanthemum nodiflorum,29SNB41
Mesembryanthemum nodiflorum,29SNB50
Mesembryanthemum nodiflorum,29SNB60
Mesembryanthemum nodiflorum,29SNB61
Mesembryanthemum nodiflorum,29SNB70
Mesembryanthemum nodiflorum,29SNA89
Mesembryanthemum nodiflorum,29SNA99
Mesembryanthemum nodiflorum,29SPA09
Mesembryanthemum nodiflorum,29SPB21
Mesembryanthemum nodiflorum,29SPB31
Mesembryanthemum nodiflorum,29SPB32
Tetragonia tetragonoides,29SMC77
Tetragonia tetragonoides,29SMC87
Tetragonia tetragonoides,29SMD87
Tetragonia tetragonoides,29SNA09
Tetragonia tetragonoides,29SNC06
Tetragonia tetragonoides,29SNB10
Tetragonia tetragonoides,29SNB11
Tetragonia tetragonoides,29SNB14
Tetragonia tetragonoides,29SNC11
Tetragonia tetragonoides,29TNE18
Tetragonia tetragonoides,29TNE19
Tetragonia tetragonoides,29TNF19
Tetragonia tetragonoides,29TNE28
Tetragonia tetragonoides,29TNE29
Tetragonia tetragonoides,29TNF23
Tetragonia tetragonoides,29TNF24
Tetragonia tetragonoides,29TNF25
Tetragonia tetragonoides,29SNB40
Tetragonia tetragonoides,29SNB50
Tetragonia tetragonoides,29SNA89
Tetragonia tetragonoides,29SPB16
Tetragonia tetragonoides,29SPB31
Alisma lanceolatum,29SMC59
Alisma lanceolatum,29SMD60
Alisma lanceolatum,29SMC79
Alisma lanceolatum,29SMC87
Alisma lanceolatum,29SMD85
Alisma lanceolatum,29SND02
Alisma lanceolatum,29SND03
Alisma lanceolatum,29SNE02
Alisma lanceolatum,29SNB11
Alisma lanceolatum,29SNB12
Alisma lanceolatum,29SNB13
Alisma lanceolatum,29SND12
Alisma lanceolatum,29SND15
Alisma lanceolatum,29SNB21
Alisma lanceolatum,29SNB22
Alisma lanceolatum,29SNB23
Alisma lanceolatum,29SNB24
Alisma lanceolatum,29SNC21
Alisma lanceolatum,29SND27
Alisma lanceolatum,29TNE27
Alisma lanceolatum,29TNF28
Alisma lanceolatum,29SNB31
Alisma lanceolatum,29SNB33
Alisma lanceolatum,29SNB39
Alisma lanceolatum,29SNC33
Alisma lanceolatum,29SND31
Alisma lanceolatum,29TNE37
Alisma lanceolatum,29TNF37
Alisma lanceolatum,29SNB40
Alisma lanceolatum,29SNB45
Alisma lanceolatum,29SNB47
Alisma lanceolatum,29SNB51
Alisma lanceolatum,29SNB52
Alisma lanceolatum,29TNE53
Alisma lanceolatum,29SNB62
Alisma lanceolatum,29SNB63
Alisma lanceolatum,29TNE64
Alisma lanceolatum,29TNG66
Alisma lanceolatum,29SNB73
Alisma lanceolatum,29SNB81
Alisma lanceolatum,29SNB90
Alisma lanceolatum,29SNB91
Alisma lanceolatum,29SNB92
Alisma lanceolatum,29SND99
Alisma lanceolatum,29SPB01
Alisma lanceolatum,29SPB05
Alisma lanceolatum,29TPF05
Alisma lanceolatum,29SPB10
Alisma lanceolatum,29SPB21
Alisma lanceolatum,29SPB22
Alisma lanceolatum,29SPB23
Alisma lanceolatum,29SPB24
Alisma lanceolatum,29TPG21
Alisma lanceolatum,29SPB31
Alisma lanceolatum,29TPE67
Alisma lanceolatum,29TPE68
Alisma lanceolatum,29TPE78
Alisma lanceolatum,29TPE88
Alisma lanceolatum,29TQG10
Alisma lanceolatum,29TQF29
Alisma lanceolatum,29TQG20
Alisma plantago-aquatica,29SMC68
Alisma plantago-aquatica,29SMD74
Alisma plantago-aquatica,29SMC88
Alisma plantago-aquatica,29SND02
Alisma plantago-aquatica,29SNE02
Alisma plantago-aquatica,29SNB12
Alisma plantago-aquatica,29SND12
Alisma plantago-aquatica,29SND18
Alisma plantago-aquatica,29TNE13
Alisma plantago-aquatica,29TNE14
Alisma plantago-aquatica,29TNE15
Alisma plantago-aquatica,29TNE17
Alisma plantago-aquatica,29SNB25
Alisma plantago-aquatica,29SND21
Alisma plantago-aquatica,29SND22
Alisma plantago-aquatica,29TNE23
Alisma plantago-aquatica,29TNE24
Alisma plantago-aquatica,29TNE28
Alisma plantago-aquatica,29TNF29
Alisma plantago-aquatica,29SNB39
Alisma plantago-aquatica,29SND31
Alisma plantago-aquatica,29TNE34
Alisma plantago-aquatica,29TNE39
Alisma plantago-aquatica,29TNF35
Alisma plantago-aquatica,29TNG30
Alisma plantago-aquatica,29TNG35
Alisma plantago-aquatica,29SNB42
Alisma plantago-aquatica,29SNB43
Alisma plantago-aquatica,29SNC43
Alisma plantago-aquatica,29TNF44
Alisma plantago-aquatica,29TNG40
Alisma plantago-aquatica,29SNB54
Alisma plantago-aquatica,29TNG56
Alisma plantago-aquatica,29SND61
Alisma plantago-aquatica,29TNE66
Alisma plantago-aquatica,29SNB70
Alisma plantago-aquatica,29SND73
Alisma plantago-aquatica,29SPC03
Alisma plantago-aquatica,29TPE03
Alisma plantago-aquatica,29TPF05
Alisma plantago-aquatica,29SPB16
Alisma plantago-aquatica,29TPG22
Alisma plantago-aquatica,29SPD36
Alisma plantago-aquatica,29SPB48
Alisma plantago-aquatica,29TPG70
Baldellia alpestris,29TNG12
Baldellia alpestris,29TNF35
Baldellia alpestris,29TNG33
Baldellia alpestris,29TNF43
Baldellia alpestris,29TNG40
Baldellia alpestris,29TNG45
Baldellia alpestris,29TNG52
Baldellia alpestris,29TNF63
Baldellia alpestris,29TNG60
Baldellia alpestris,29TNE79
Baldellia alpestris,29TNG71
Baldellia alpestris,29TNG80
Baldellia alpestris,29TNG81
Baldellia alpestris,29TNG92
Baldellia alpestris,29TPF02
Baldellia alpestris,29TPF19
Baldellia alpestris,29TPE66
Baldellia repens,29SMC86
Baldellia repens,29SND02
Baldellia repens,29SNE02
Baldellia repens,29SNB12
Baldellia repens,29SNB13
Baldellia repens,29SNB15
Baldellia repens,29SNC19
Baldellia repens subsp. cavanillesii,29TNG12
Baldellia repens,29SNB23
Baldellia repens,29TNE25
Baldellia repens,29TNE27
Baldellia repens subsp. cavanillesii,29TNG33
Baldellia repens,29SNB48
Baldellia repens,29SNB52
Baldellia repens,29SND64
Baldellia repens,29SNB73
Baldellia repens,29SNB75
Baldellia repens,29SNB76
Baldellia repens,29SNB83
Baldellia repens,29SNB84
Baldellia repens,29SNB90
Baldellia repens,29SNB91
Baldellia repens,29SNB92
Baldellia repens,29SNB93
Baldellia repens,29SNB94
Baldellia repens,29SNB96
Baldellia repens,29SPB03
Baldellia repens,29SPB04
Baldellia repens,29SPB05
Baldellia repens,29SPB07
Baldellia repens,29SPD07
Baldellia repens,29SPB13
Baldellia repens,29SPB14
Baldellia repens,29SPB15
Baldellia repens,29SPB16
Baldellia repens,29SPB17
Baldellia repens,29SPB23
Baldellia repens,29SPB24
Baldellia repens,29SPB25
Baldellia repens,29SPB26
Baldellia repens,29SPB32
Baldellia repens,29TPE66
Baldellia repens,29SPE71
Baldellia repens,29SPE72
Baldellia repens,29TPE77
Baldellia repens subsp. cavanillesii,29TPE78
Baldellia repens,29TPE78
Baldellia repens subsp. cavanillesii,29TPE88
Baldellia repens subsp. cavanillesii,29TQF29
Baldellia repens subsp. cavanillesii,29TQG20
Baldellia repens subsp. cavanillesii,29TQG30
Damasonium bourgaei,29SND36
Damasonium bourgaei,29SNB40
Damasonium bourgaei,29SPB31
Amaranthus albus,29SNB83
Amaranthus albus,29SPB03
Amaranthus albus,29SPB21
Amaranthus albus,29SPB23
Amaranthus albus,29SPB25
Amaranthus blitoides,29SMC77
Amaranthus blitoides,29SMC85
Amaranthus blitoides,29SMC86
Amaranthus blitoides,29SMC87
Amaranthus blitoides,29SMC88
Amaranthus blitoides,29SMC95
Amaranthus blitoides,29SND04
Amaranthus blitoides,29SND17
Amaranthus blitoides,29SND22
Amaranthus blitoides,29TNE34
Amaranthus blitoides,29SNB41
Amaranthus blitoides,29SNB63
Amaranthus blitoides,29SNB72
Amaranthus blitoides,29SNB80
Amaranthus blitoides,29SNB81
Amaranthus blitoides,29SNA99
Amaranthus blitoides,29SNB90
Amaranthus blitoides,29SNB91
Amaranthus blitoides,29SNB93
Amaranthus blitoides,29SPD09
Amaranthus blitoides,29SPB11
Amaranthus blitoides,29SPB12
Amaranthus blitoides,29SPB16
Amaranthus blitoides,29SPB21
Amaranthus blitoides,29SPB22
Amaranthus blitoides,29SPB23
Amaranthus blitum,29SMC87
