"Resultados de pesquisa Flora-On";"3503 taxa"
"Data de consulta:";"18/02/2025"
"Território:";"Portugal Continental"
"Citação:";". 2025. Todas as espécies existentes em Portugal Continental - elenco florístico. Flora-On: Flora de Portugal interactiva. Sociedade Portuguesa de Botânica.";"Recurso em http://www.flora-on.pt/#1todas.";"Acedido em 18/02/2025"
"Por favor cite o Flora-On sempre que usar os dados"
"Link para esta pesquisa:";"https://flora-on.pt/#1todas"

"Pesquisa realizada:";"Todas as espécies existentes em Portugal Continental"
"Colaboradores que forneceram dados:";""

"Taxa correspondentes à pesquisa"
"Família";"Taxon";"Grau de endemismo";"Naturalidade";"Anexos DL 49/2005";"Categoria IUCN de risco de extinção";"Tipo biológico";"Nº de quadrículas";"Observadores na área"
"Acanthaceae";"Acanthus mollis";"Introduzida";"Exótica";"";"";"Hemicriptófito";70;""
"Aizoaceae";"Aizoon hispanicum";"Autóctone";"";"";"CR";"Terófito";2;""
"Aizoaceae";"Aptenia cordifolia";"Introduzida";"Exótica";"";"";"Caméfito";0;""
"Aizoaceae";"Carpobrotus edulis";"Introduzida";"Exótica";"";"";"Caméfito";111;""
"Aizoaceae";"Disphyma crassifolium";"Introduzida";"Exótica";"";"";"Caméfito";9;""
"Aizoaceae";"Drosanthemum floribundum";"Introduzida";"Exótica";"";"";"Caméfito";2;""
"Aizoaceae";"Mesembryanthemum crystallinum";"Introduzida";"Exótica";"";"";"Terófito";2;""
"Aizoaceae";"Mesembryanthemum nodiflorum";"Autóctone";"";"";"";"Terófito";38;""
"Aizoaceae";"Tetragonia tetragonoides";"Introduzida";"Exótica";"";"";"Caméfito";32;""
"Alismataceae";"Alisma lanceolatum";"Autóctone";"";"";"";"Hidrófito,Helófito";150;""
"Alismataceae";"Alisma plantago-aquatica";"Autóctone";"";"";"";"Hidrófito,Helófito";127;""
"Alismataceae";"Baldellia alpestris";"Autóctone";"Endémica da Península Ibérica";"";"";"Hidrófito,Helófito";43;""
"Alismataceae";"Baldellia repens subsp. baetica";"Autóctone";"";"";"";"Helófito";5;""
"Alismataceae";"Baldellia repens subsp. repens";"Autóctone";"";"";"";"Helófito,Hidrófito";5;""
"Alismataceae";"Baldellia repens";"";"";"";"";"Helófito";136;""
"Alismataceae";"Baldellia repens subsp. cavanillesii";"Autóctone";"";"";"";"Helófito,Geófito,Hidrófito";27;""
"Alismataceae";"Damasonium alisma";"Autóctone";"";"";"RE";"Hidrófito";0;""
"Alismataceae";"Damasonium bourgaei";"Autóctone";"";"";"EN";"Hidrófito";3;""
"Alismataceae";"Damasonium polyspermum";"Autóctone";"";"";"RE";"Hidrófito";0;""
"Alismataceae";"Sagittaria sagittifolia";"Autóctone";"";"";"CR";"Helófito";0;""
"Amaranthaceae";"Amaranthus albus";"Introduzida";"Exótica";"";"";"Terófito";21;""
"Amaranthaceae";"Amaranthus blitoides";"Introduzida";"Exótica";"";"";"Terófito,Geófito";33;""
"Amaranthaceae";"Amaranthus blitum subsp. blitum";"Autóctone";"";"";"";"Terófito";10;""
"Amaranthaceae";"Amaranthus blitum subsp. emarginatus";"Introduzida";"Exótica";"";"";"";15;""
"Amaranthaceae";"Amaranthus blitum";"Inexistente";"";"";"";"Terófito";32;""
"Amaranthaceae";"Amaranthus caudatus";"Introduzida";"Exótica";"";"";"Terófito";0;""
"Amaranthaceae";"Amaranthus deflexus";"Introduzida";"Exótica";"";"";"Hemicriptófito";102;""
"Amaranthaceae";"Amaranthus graecizans subsp. silvestris";"Autóctone";"";"";"";"Terófito";3;""
"Amaranthaceae";"Amaranthus hybridus";"Introduzida";"Exótica";"";"";"Terófito";46;""
"Amaranthaceae";"Amaranthus hypochondriacus";"Introduzida";"Exótica";"";"";"";2;""
"Amaranthaceae";"Amaranthus muricatus";"Introduzida";"Exótica";"";"";"Hemicriptófito";0;""
"Amaranthaceae";"Amaranthus powellii";"Introduzida";"Exótica";"";"";"";33;""
"Amaranthaceae";"Amaranthus retroflexus";"Introduzida";"Exótica";"";"";"Terófito";35;""
"Amaranthaceae";"Amaranthus viridis";"Introduzida";"Exótica";"";"";"Terófito";8;""
"Amaranthaceae";"Arthrocnemum macrostachyum";"Autóctone";"";"";"";"Caméfito";32;""
"Amaranthaceae";"Atriplex glauca";"Autóctone";"";"";"CR";"Caméfito";0;""
"Amaranthaceae";"Atriplex halimus";"Autóctone";"";"";"";"Caméfito,Fanerófito";60;""
"Amaranthaceae";"Atriplex patula";"Autóctone";"";"";"";"Terófito";9;""
"Amaranthaceae";"Atriplex prostrata";"Autóctone";"";"";"";"Terófito";87;""
"Amaranthaceae";"Atriplex rosea";"Autóctone";"";"";"";"Terófito";0;""
"Amaranthaceae";"Bassia scoparia subsp. scoparia";"Autóctone";"";"";"";"Terófito";1;""
"Amaranthaceae";"Beta macrocarpa";"Autóctone";"";"";"VU";"Terófito";12;""
"Amaranthaceae";"Beta maritima";"Autóctone";"";"";"";"Hemicriptófito,Terófito";118;""
"Amaranthaceae";"Chenopodium album var. album";"Autóctone";"";"";"";"Terófito";21;""
"Amaranthaceae";"Chenopodium album var. reticulatum";"Autóctone";"";"";"";"Terófito";0;""
"Amaranthaceae";"Chenopodium album";"Inexistente";"";"";"";"Terófito";199;""
"Amaranthaceae";"Chenopodium ambrosioides";"Introduzida";"";"";"";"Terófito";90;""
"Amaranthaceae";"Chenopodium bonus-henricus";"Autóctone";"";"";"";"Hemicriptófito";0;""
"Amaranthaceae";"Chenopodium botrys";"Autóctone";"";"";"";"Terófito";14;""
"Amaranthaceae";"Chenopodium chenopodioides";"Autóctone";"";"";"";"Terófito";6;""
"Amaranthaceae";"Chenopodium exsuccum";"Autóctone";"";"";"";"Terófito";0;""
"Amaranthaceae";"Chenopodium ficifolium";"Autóctone";"";"";"";"Terófito";0;""
"Amaranthaceae";"Chenopodium glaucum";"Autóctone";"";"";"";"Terófito";1;""
"Amaranthaceae";"Chenopodium multifidum";"Introduzida";"Exótica";"";"";"";3;""
"Amaranthaceae";"Chenopodium murale";"Autóctone";"";"";"";"Terófito";45;""
"Amaranthaceae";"Chenopodium opulifolium";"Autóctone";"";"";"";"Terófito";8;""
"Amaranthaceae";"Chenopodium polyspermum";"Autóctone";"";"";"";"Terófito";8;""
"Amaranthaceae";"Chenopodium pumilio";"Introduzida";"Exótica";"";"";"Hemicriptófito,Terófito";26;""
"Amaranthaceae";"Chenopodium urbicum";"Autóctone";"";"";"";"Terófito";0;""
"Amaranthaceae";"Chenopodium vulvaria";"Autóctone";"";"";"";"Terófito";29;""
"Amaranthaceae";"Halimione portulacoides";"Autóctone";"";"";"";"Caméfito,Fanerófito";59;""
"Amaranthaceae";"Halopeplis amplexicaulis";"Autóctone";"";"";"CR";"Terófito";2;""
"Amaranthaceae";"Patellifolia patellaris";"Autóctone";"";"";"EN";"Hemicriptófito,Terófito";3;""
"Amaranthaceae";"Polycnemum arvense";"Autóctone";"";"";"";"Terófito";2;""
"Amaranthaceae";"Salicornia ramosissima";"Autóctone";"";"";"";"Terófito";23;""
"Amaranthaceae";"Salsola kali";"Autóctone";"";"";"";"Terófito";49;""
"Amaranthaceae";"Salsola soda";"Autóctone";"";"";"";"Terófito";15;""
"Amaranthaceae";"Salsola vermiculata";"Autóctone";"";"";"";"Caméfito";37;""
"Amaranthaceae";"Sarcocornia fruticosa";"Autóctone";"";"";"";"Caméfito,Fanerófito";13;""
"Amaranthaceae";"Sarcocornia perennis subsp. alpini";"Autóctone";"";"";"";"Caméfito";8;""
"Amaranthaceae";"Sarcocornia perennis subsp. perennis";"Autóctone";"";"";"";"Caméfito,Fanerófito";23;""
"Amaranthaceae";"Sarcocornia perennis";"";"";"";"";"Caméfito";56;""
"Amaranthaceae";"Suaeda albescens";"Autóctone";"";"";"";"Terófito";27;""
"Amaranthaceae";"Suaeda spicata";"Autóctone";"";"";"";"Terófito";0;""
"Amaranthaceae";"Suaeda splendens";"Autóctone";"";"";"";"Terófito";2;""
"Amaranthaceae";"Suaeda vera";"Autóctone";"";"";"";"Fanerófito,Caméfito";46;""
"Amaryllidaceae";"Allium ampeloprasum";"Autóctone";"";"";"";"Geófito";156;""
"Amaryllidaceae";"Allium baeticum";"Autóctone";"";"";"";"Geófito";5;""
"Amaryllidaceae";"Allium chamaemoly";"Autóctone";"";"";"VU";"Geófito";6;""
"Amaryllidaceae";"Allium ericetorum";"Autóctone";"";"";"VU";"Geófito";8;""
"Amaryllidaceae";"Allium guttatum subsp. sardoum";"Autóctone";"";"";"";"Geófito";54;""
"Amaryllidaceae";"Allium massaessylum";"Autóctone";"";"";"";"Geófito";59;""
"Amaryllidaceae";"Allium neapolitanum";"Autóctone";"";"";"";"Geófito";75;""
"Amaryllidaceae";"Allium nigrum";"Autóctone";"";"";"EN";"Geófito";21;""
"Amaryllidaceae";"Allium oleraceum";"Autóctone";"";"";"";"Geófito";15;""
"Amaryllidaceae";"Allium paniculatum";"Autóctone";"";"";"";"Geófito";143;""
"Amaryllidaceae";"Allium pruinatum";"Autóctone";"Endémica da Península Ibérica";"";"";"Geófito";30;""
"Amaryllidaceae";"Allium roseum";"Autóctone";"";"";"";"Geófito";156;""
"Amaryllidaceae";"Allium schmitzii";"Autóctone";"Endémica da Península Ibérica";"";"VU";"Geófito";13;""
"Amaryllidaceae";"Allium schoenoprasum";"Autóctone";"";"";"";"Geófito";5;""
"Amaryllidaceae";"Allium scorzonerifolium";"Autóctone";"";"";"";"Geófito";24;""
"Amaryllidaceae";"Allium sphaerocephalon";"Autóctone";"";"";"";"Geófito";152;""
"Amaryllidaceae";"Allium stearnii";"Autóctone";"Endémica da Península Ibérica";"";"";"Geófito";0;""
"Amaryllidaceae";"Allium subvillosum";"Autóctone";"";"";"";"Geófito";13;""
"Amaryllidaceae";"Allium triquetrum";"Autóctone";"";"";"";"Geófito";87;""
"Amaryllidaceae";"Allium ursinum subsp. ursinum";"Autóctone";"";"";"EN";"Geófito";2;""
"Amaryllidaceae";"Allium victorialis";"Autóctone";"";"";"NT";"Geófito";6;""
"Amaryllidaceae";"Allium vineale";"Autóctone";"";"";"";"Geófito";70;""
"Amaryllidaceae";"Leucojum autumnale";"Autóctone";"";"";"LC";"Geófito";271;""
"Amaryllidaceae";"Leucojum trichophyllum";"Autóctone";"";"";"";"Geófito";76;""
"Amaryllidaceae";"Narcissus asturiensis";"Autóctone";"Endémica da Península Ibérica";"Anexo II,Anexo IV";"NT";"Geófito";17;""
"Amaryllidaceae";"Narcissus bulbocodium subsp. obesus";"Autóctone";"Endémica da Península Ibérica";"Anexo V";"";"Geófito";81;""
"Amaryllidaceae";"Narcissus bulbocodium subsp. bulbocodium";"Autóctone";"";"Anexo V";"";"Geófito";248;""
"Amaryllidaceae";"Narcissus bulbocodium";"";"";"Anexo V";"LC";"Geófito";510;""
"Amaryllidaceae";"Narcissus calcicola";"Endémica";"Endémica de Portugal continental";"Anexo II,Anexo IV";"LC";"Geófito";34;""
"Amaryllidaceae";"Narcissus cavanillesii";"Autóctone";"Endémica da Península Ibérica";"Anexo II,Anexo IV";"CR";"Geófito";2;""
"Amaryllidaceae";"Narcissus cyclamineus";"Autóctone";"Endémica da Península Ibérica";"Anexo II,Anexo IV";"VU";"Geófito";19;""
"Amaryllidaceae";"Narcissus fernandesii";"Autóctone";"Endémica da Península Ibérica";"Anexo II,Anexo IV";"EN";"Geófito";6;""
"Amaryllidaceae";"Narcissus gaditanus";"Autóctone";"Endémica da Península Ibérica";"";"VU";"Geófito";17;""
"Amaryllidaceae";"Narcissus jonquilla";"Autóctone";"Endémica da Península Ibérica";"";"NT";"Geófito";37;""
"Amaryllidaceae";"Narcissus papyraceus subsp. papyraceus";"Autóctone";"";"";"";"Geófito";3;""
"Amaryllidaceae";"Narcissus papyraceus subsp. panizzianus";"Autóctone";"";"";"";"Geófito";8;""
"Amaryllidaceae";"Narcissus papyraceus";"";"";"";"";"Geófito";91;""
"Amaryllidaceae";"Narcissus pseudonarcissus subsp. confusus";"Endémica";"Endémica de Portugal continental";"";"";"Geófito";3;""
"Amaryllidaceae";"Narcissus pseudonarcissus subsp. nobilis";"Autóctone";"Endémica da Península Ibérica";"Anexo II,Anexo IV";"LC";"Geófito";20;""
"Amaryllidaceae";"Narcissus pseudonarcissus";"";"";"";"";"Geófito";53;""
"Amaryllidaceae";"Narcissus pseudonarcissus subsp. portensis";"Autóctone";"Endémica da Península Ibérica";"";"";"Geófito";6;""
"Amaryllidaceae";"Narcissus pseudonarcissus subsp. major";"Autóctone";"";"";"";"Geófito";6;""
"Amaryllidaceae";"Narcissus rupicola";"Autóctone";"Endémica da Península Ibérica";"";"";"Geófito";21;""
"Amaryllidaceae";"Narcissus scaberulus";"Endémica";"Endémica de Portugal continental";"Anexo II,Anexo IV";"LC";"Geófito";13;""
"Amaryllidaceae";"Narcissus serotinus";"Autóctone";"";"";"NT";"Geófito";62;""
"Amaryllidaceae";"Narcissus tazetta subsp. tazetta";"Autóctone";"";"";"";"Geófito";18;""
"Amaryllidaceae";"Narcissus triandrus subsp. pallidulus";"Autóctone";"Endémica da Península Ibérica";"Anexo IV";"";"Geófito";89;""
"Amaryllidaceae";"Narcissus triandrus subsp. triandrus";"Autóctone";"Endémica da Península Ibérica";"Anexo IV";"";"Geófito";127;""
"Amaryllidaceae";"Narcissus triandrus";"Autóctone";"";"Anexo IV";"LC";"Geófito";361;""
"Amaryllidaceae";"Narcissus triandrus subsp. lusitanicus";"Autóctone";"Endémica da Península Ibérica";"";"";"Geófito";21;""
"Amaryllidaceae";"Narcissus willkommii";"Endémica";"Endémica de Portugal continental";"";"EN";"Geófito";3;""
"Amaryllidaceae";"Nothoscordum gracile";"Introduzida";"Exótica";"";"";"Geófito";65;""
"Amaryllidaceae";"Pancratium maritimum";"Autóctone";"";"";"";"Geófito";87;""
"Amaryllidaceae";"Sternbergia lutea";"Introduzida";"Exótica";"";"";"";3;""
"Anacardiaceae";"Pistacia lentiscus";"Autóctone";"";"";"";"Fanerófito";346;""
"Anacardiaceae";"Pistacia terebinthus";"Autóctone";"";"";"";"Fanerófito";139;""
"Anacardiaceae";"Rhus coriaria";"Introduzida";"Exótica";"";"";"Fanerófito";54;""
"Anacardiaceae";"Rhus typhina";"Introduzida";"Exótica";"";"";"";0;""
"Apiaceae";"Ammi majus";"Autóctone";"";"";"";"Terófito";120;""
"Apiaceae";"Ammi visnaga";"Autóctone";"";"";"";"Terófito";32;""
"Apiaceae";"Ammoides pusilla";"Autóctone";"";"";"";"Terófito";27;""
"Apiaceae";"Angelica major";"Autóctone";"Endémica da Península Ibérica";"";"";"Hemicriptófito";16;""
"Apiaceae";"Angelica pachycarpa";"Autóctone";"Endémica da Península Ibérica";"";"EN";"Hemicriptófito";2;""
"Apiaceae";"Angelica sylvestris";"Autóctone";"";"";"";"Hemicriptófito";140;""
"Apiaceae";"Anthriscus caucalis";"Autóctone";"";"";"";"Terófito";105;""
"Apiaceae";"Anthriscus sylvestris";"Autóctone";"";"";"";"Hemicriptófito";43;""
"Apiaceae";"Apium graveolens";"Autóctone";"";"";"";"Hemicriptófito";30;""
"Apiaceae";"Apium inundatum";"Autóctone";"";"";"";"Hidrófito";7;""
"Apiaceae";"Apium nodiflorum";"Autóctone";"";"";"";"Helófito";418;""
"Apiaceae";"Apium repens";"Autóctone";"";"Anexo IV,Anexo II";"EN";"Helófito";2;""
"Apiaceae";"Berula erecta";"Autóctone";"";"";"CR";"Helófito";0;""
"Apiaceae";"Bifora testiculata";"Autóctone";"";"";"VU";"Terófito";6;""
"Apiaceae";"Bunium bulbocastanum";"Autóctone";"";"";"DD";"Hemicriptófito";7;""
"Apiaceae";"Bunium macuca subsp. macuca";"Autóctone";"Endémica da Península Ibérica";"";"DD";"Hemicriptófito";0;""
"Apiaceae";"Bunium pachypodum";"Autóctone";"";"";"";"Geófito";2;""
"Apiaceae";"Bupleurum acutifolium";"Autóctone";"Endémica da Península Ibérica";"";"VU";"Hemicriptófito";5;""
"Apiaceae";"Bupleurum fruticosum";"Autóctone";"";"";"";"Fanerófito";47;""
"Apiaceae";"Bupleurum gerardi";"Autóctone";"";"";"";"Terófito";39;""
"Apiaceae";"Bupleurum lancifolium";"Autóctone";"";"";"NT";"Terófito";47;""
"Apiaceae";"Bupleurum rigidum subsp. paniculatum";"Autóctone";"";"";"";"Hemicriptófito";90;""
"Apiaceae";"Bupleurum rigidum subsp. rigidum";"Autóctone";"";"";"";"Hemicriptófito";5;""
"Apiaceae";"Bupleurum rigidum";"";"";"";"";"Hemicriptófito";121;""
"Apiaceae";"Bupleurum rotundifolium";"Autóctone";"";"";"RE";"Terófito";0;""
"Apiaceae";"Bupleurum semicompositum";"Autóctone";"";"";"NT";"Terófito";9;""
"Apiaceae";"Bupleurum tenuissimum";"Autóctone";"";"";"";"Terófito";10;""
"Apiaceae";"Cachrys libanotis";"Autóctone";"";"";"";"Hemicriptófito";10;""
"Apiaceae";"Cachrys sicula";"Autóctone";"";"";"";"Hemicriptófito";53;""
"Apiaceae";"Caropsis verticillato-inundata";"Autóctone";"";"Anexo II,Anexo IV";"VU";"Hemicriptófito";12;""
"Apiaceae";"Carum verticillatum";"Autóctone";"";"";"";"Hemicriptófito";176;""
"Apiaceae";"Caucalis platycarpos";"Autóctone";"";"";"";"Terófito";0;""
"Apiaceae";"Chaerophyllum temulum";"Autóctone";"";"";"";"Hemicriptófito";165;""
"Apiaceae";"Conium maculatum";"Autóctone";"";"";"";"Terófito,Hemicriptófito";139;""
"Apiaceae";"Conopodium majus subsp. marizianum";"Autóctone";"Endémica da Península Ibérica";"";"";"Geófito";178;""
