Taxon,UTM10x10,UTM1x1,References
Anthoxanthum odoratum,30TVN35,30TVN3355,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Acer campestre,30TVN35,30TVN3858,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Acer pseudoplatanus,30TVN35,30TVN3659,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Ilex aquifolium,30TVN35,30TVN3254,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Hedera helix helix,30TVN35,30TVN3857,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Hedera helix helix,30TVN35,30TVN3957,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Vincetoxicum hirundinaria,30TVN35,30TVN3655,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Vincetoxicum hirundinaria,30TVN45,30TVN4053,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Vincetoxicum hirundinaria,30TVN35,30TVN3754,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Vincetoxicum nigrum,30TVN45,30TVN4053,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Polystichum setiferum,30TVN35,30TVN3857,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Asplenium ruta-muraria ruta-muraria,30TVN35,30TVN3554,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Corylus avellana,30TVN35,30TVN3353,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Glandora diffusa,30TVN35,30TVN3655,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Glandora diffusa,30TVN35,30TVN3554,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Myosotis arvensis arvensis,30TVN35,30TVN3858,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Pulmonaria longifolia,30TVN35,30TVN3059,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Symphytum tuberosum tuberosum,30TVN35,30TVN3656,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Symphytum tuberosum tuberosum,30TVN36,30TVN3560,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Campanula rapunculus,30TVN35,30TVN3659,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Phyteuma orbiculare,30TVN35,30TVN3754,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Phyteuma orbiculare,30TVN35,30TVN3951,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
