Taxon,UTM10x10,UTM1x1,References
Blechnum spicant spicant,30TVN35,30TVN3155,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Jasione montana,30TVN35,30TVN3551,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Dianthus pungens brachyantus,30TVN45,30TVN4053,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Dianthus pungens brachyantus,30TVN35,30TVN3754,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Bellis sylvestris,30TVN35,30TVN3652,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Helichrysum stoechas stoechas,30TVN45,30TVN4053,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Helichrysum stoechas stoechas,30TVN35,30TVN3653,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Helichrysum stoechas stoechas,30TVN35,30TVN3653,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Lactuca perennis,30TVN35,30TVN3655,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Lactuca perennis,30TVN45,30TVN4053,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Lactuca perennis,30TVN35,30TVN3653,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Leucanthemum vulgare eliasii,30TVN45,30TVN4053,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Juniperus oxycedrus,30TVN35,30TVN3754,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Juniperus oxycedrus,30TVN35,30TVN3951,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Juniperus phoenicea subps. phoenicea,30TVN35,30TVN3951,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Carex hallerana,30TVN35,30TVN3554,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Carex sylvatica sylvatica,30TVN35,30TVN3357,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Carex sylvatica sylvatica,30TVN35,30TVN3857,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Aira caryophyllea,30TVN35,30TVN3058,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Arrhenatherum elatius,30TVN35,30TVN3058,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Arrhenatherum elatius,30TVN35,30TVN3259,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Avenula pratensis iberica,30TVN35,30TVN3554,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Avenula sulcata sulcata,30TVN35,30TVN3754,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Avenula sulcata sulcata,30TVN35,30TVN3653,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Avenula sulcata sulcata,30TVN35,30TVN3551,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Briza media media,30TVN35,30TVN3554,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Briza media media,30TVN35,30TVN3754,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Briza media media,30TVN35,30TVN3652,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Bromus erectus erectus,30TVN45,30TVN4053,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Bromus erectus erectus,30TVN45,30TVN4053,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Bromus erectus erectus,30TVN35,30TVN3652,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Dactylis glomerata glomerata,30TVN35,30TVN3058,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Dactylis glomerata glomerata,30TVN35,30TVN3655,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Dactylis glomerata glomerata,30TVN45,30TVN4053,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Dactylis glomerata glomerata,30TVN35,30TVN3551,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Deschampsia flexuosa,30TVN35,30TVN3353,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Deschampsia flexuosa,30TVN35,30TVN3059,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Festuca paniculata,30TVN35,30TVN3653,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Festuca paniculata,30TVN35,30TVN3653,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Festuca paniculata,30TVN35,30TVN3951,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Festuca,30TVN35,30TVN3651,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Poa trivialis,30TVN35,30TVN3058,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Poa trivialis,30TVN36,30TVN3560,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Poa trivialis,30TVN35,30TVN3059,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Pseudoarrhenatherum longifolium,30TVN35,30TVN3651,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Nepeta nepetella,30TVN35,30TVN3651,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Dorycnium pentaphyllum,30TVN35,30TVN3951,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Linum narbonense,30TVN35,30TVN3754,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
Linum narbonense,30TVN35,30TVN3951,"Galán Díaz, J. & García Antón, M. 2018. Introducción a la flora de los bosques del valle de Valdebezana (Burgos). Flora Montiberica 71: 61-84 (VII-2018)"
