Taxon,UTM10x10,UTM1x1,References
Agrostis barceloi,31SDE80,NA,https://doi.org/10.3390/plants12142640
Aira minoricensis,31TEE73,NA,https://doi.org/10.3390/plants12142640
Aira minoricensis,31TEE83,NA,https://doi.org/10.3390/plants12142640
Aira minoricensis,31SEE72,NA,https://doi.org/10.3390/plants12142640
Aira minoricensis,31SEE72,NA,https://doi.org/10.3390/plants12142640
Aira minoricensis,31SEE82,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SDD48,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SDD48,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SDD48,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SDD93,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SDD93,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SDD93,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SDD93,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SDD93,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SDD93,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SDD93,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SDD93,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SDD93,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SDD93,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SDD93,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SDD93,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SDD93,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SDD93,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SDD93,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SEE01,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SEE12,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SEE12,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SEE12,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SEE12,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SEE12,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SEE12,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SEE12,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SED29,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SED28,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SED28,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SED28,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SEE20,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SEE20,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SEE20,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SEE20,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SED38,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SED39,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SED38,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SED38,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SED39,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SED38,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SED38,NA,https://doi.org/10.3390/plants12142640
Allium antonii-bolosii antonii-bolosii,31SED39,NA,https://doi.org/10.3390/plants12142640
