Taxon,UTM10x10,UTM1x1,References
Geum montanum,30TYN29,30TYN2893,https://www.doi.org/10.15470/akznrb
Viola saxatilis,30TYN29,30TYN2893,https://www.doi.org/10.15470/akznrb
Androsace villosa,30TYN29,30TYN2893,https://www.doi.org/10.15470/akznrb
Salix pyrenaica,31TBM70,31TBM7008,https://www.doi.org/10.15470/akznrb
Bupleurum angulosum,31TBM70,31TBM7206,https://www.doi.org/10.15470/akznrb
Meconopsis cambrica,31TBM70,31TBM7206,https://www.doi.org/10.15470/akznrb
Meconopsis cambrica,30TYN28,30TYN2783,https://www.doi.org/10.15470/akznrb
Filago mareotica,30SYHo2,30SYHo727,https://www.doi.org/10.15470/akznrb
Launaea lanifera,30SWF85,30SWF8557,https://www.doi.org/10.15470/akznrb
Diplotaxis harra lagascana,30SWF80,NA,https://www.doi.org/10.15470/akznrb
Asplenium trichomanes quadrivalens,30TVKl9,30TVKl990,https://www.doi.org/10.15470/akznrb
Melica minuta,30SXF08,30SXF0983,https://www.doi.org/10.15470/akznrb
Euphorbia flavicoma flavicoma,30SVFo8,30SVFo983,https://www.doi.org/10.15470/akznrb
Saxifraga gemmulosa,30SVF04,30SVF0440,https://www.doi.org/10.15470/akznrb
Genista triacanthos,30SVF04,30SVF0440,https://www.doi.org/10.15470/akznrb
Dittrichia viscosa viscosa,30SUF94,30SUF9446,https://www.doi.org/10.15470/akznrb
Euphorbia lagascae,30SXGo7,NA,https://www.doi.org/10.15470/akznrb
Armeria cantabrica,30TXN86,30TXN8360,https://www.doi.org/10.15470/akznrb
Scabiosa cinerea,30TXN86,30TXN8360,https://www.doi.org/10.15470/akznrb
Helianthemum nummularium,30TXN86,30TXN8360,https://www.doi.org/10.15470/akznrb
Aquilegia pyrenaica pyrenaica,30TXN86,30TXN8360,https://www.doi.org/10.15470/akznrb
Hypericum nummularium,30TXN86,30TXN8360,https://www.doi.org/10.15470/akznrb
Potentilla alchimilloides,30TXN86,30TXN8360,https://www.doi.org/10.15470/akznrb
Horminum pyrenaicum,30TXN86,30TXN8360,https://www.doi.org/10.15470/akznrb
Teucrium chamaedrys,30TXN86,30TXN8360,https://www.doi.org/10.15470/akznrb
Stachys alopecuros,30TXN86,30TXN8360,https://www.doi.org/10.15470/akznrb
Astrantia major,30TXN86,30TXN8360,https://www.doi.org/10.15470/akznrb
Geranium sylvaticum,30TXN86,30TXN8360,https://www.doi.org/10.15470/akznrb
Succisa pratensis,30TXN86,30TXN8360,https://www.doi.org/10.15470/akznrb
Rosa pendulina,30TXN86,30TXN8360,https://www.doi.org/10.15470/akznrb
Carum verticillatum,30TXNL6,30TXNL266,https://www.doi.org/10.15470/akznrb
Struthiopteris spicant,43º6N 4,43º6N 443,https://www.doi.org/10.15470/akznrb
Pulicaria dysenterica,29TQJ26,29TQJ2762,https://www.doi.org/10.15470/akznrb
Sonchus oleraceus,30VWM91,30VWM9619,https://www.doi.org/10.15470/akznrb
Mercurialis annua,30SUJH3,30SUJH436,https://www.doi.org/10.15470/akznrb
Centaurea melitensis,30sVJ26,30sVJ2969,https://www.doi.org/10.15470/akznrb
Allium roseum,20SNE43,NA,https://www.doi.org/10.15470/akznrb
