Taxon,UTM10x10,UTM1x1,Ref
Hippocrepis comosa,31TBH52,31TBH5523,https://www.doi.org/10.15470/akznrb
Genista florida,29TPH54,29TPH5542,https://www.doi.org/10.15470/akznrb
Saxifraga spathularis,29TPH74,29TPH7447,https://www.doi.org/10.15470/akznrb
Theligonum cynocrambe,30STF96,30STF9867,https://www.doi.org/10.15470/akznrb
Viola suavis,30SWG13,30SWG1336,https://www.doi.org/10.15470/akznrb
Arrhenatherum album album,30SWH16,30SWH1965,https://www.doi.org/10.15470/akznrb
Cynosurus cristatus,30SWH27,30SWH2372,https://www.doi.org/10.15470/akznrb
Brachypodium retusum,30SWH70,30SWH7908,https://www.doi.org/10.15470/akznrb
Potamogeton trichoides,30TUL62,30TUL6929,https://www.doi.org/10.15470/akznrb
Aphyllanthes monspeliensis,30TUN14,30TUN1842,https://www.doi.org/10.15470/akznrb
Bromus benekenii,30TVN22,30TVN2025,https://www.doi.org/10.15470/akznrb
Viola saxatilis,30TYN14,30TYN1942,https://www.doi.org/10.15470/akznrb
Saxifraga stellaris,31TCH91,31TCH9311,https://www.doi.org/10.15470/akznrb
Trifolium badium,30TYN14,30TYN1742,https://www.doi.org/10.15470/akznrb
Allium schoenoprasum,31TBH52,31TBH5627,https://www.doi.org/10.15470/akznrb
Phyteuma orbiculare,31TBH52,31TBH5522,https://www.doi.org/10.15470/akznrb
Primula hirsuta,30TYN14,30TYN1142,https://www.doi.org/10.15470/akznrb
Narcissus rupicola,30SVH95,---,https://www.doi.org/10.15470/akznrb
Cynara humilis,30SWH22,30SWH2629,https://www.doi.org/10.15470/akznrb
Mercurialis tomentosa,30SWH12,30SWH1828,https://www.doi.org/10.15470/akznrb
Dryopteris carthusiana,30TWN22,30TWN2320,https://www.doi.org/10.15470/akznrb
Veronica ponae,30TYN14,30TYN1942,https://www.doi.org/10.15470/akznrb
Onobrychis pyrenaica,31TBH52,31TBH5522,https://www.doi.org/10.15470/akznrb
Helianthemum nummularium,31TBH52,31TBH5522,https://www.doi.org/10.15470/akznrb
Phyteuma hemisphaericum,31TBH52,31TBH5424,https://www.doi.org/10.15470/akznrb
Jasione laevis,30TYN22,30TYN2728,https://www.doi.org/10.15470/akznrb
Silene acaulis,30TYN22,30TYN2829,https://www.doi.org/10.15470/akznrb
Geum montanum,30TYN29,30TYN2893,https://www.doi.org/10.15470/akznrb
Viola saxatilis,30TYN29,30TYN2893,https://www.doi.org/10.15470/akznrb
Androsace villosa,30TYN29,30TYN2893,https://www.doi.org/10.15470/akznrb
Plantago alpina,30TYN23,30TYN2833,https://www.doi.org/10.15470/akznrb
Salix pyrenaica,31TBM70,31TBM7008,https://www.doi.org/10.15470/akznrb
Bupleurum angulosum,31TBM70,31TBM7206,https://www.doi.org/10.15470/akznrb
Meconopsis cambrica,31TBM70,31TBM7206,https://www.doi.org/10.15470/akznrb
Meconopsis cambrica,30TYN28,30TYN2783,https://www.doi.org/10.15470/akznrb
Scleranthus perennis,30TYN22,30TYN2728,https://www.doi.org/10.15470/akznrb
Silene rupestris,30TYN22,30TYN2728,https://www.doi.org/10.15470/akznrb
Doronicum grandiflorum,30TYN23,30TYN2733,https://www.doi.org/10.15470/akznrb
Cerastium arvense,30TYN23,30TYN2833,https://www.doi.org/10.15470/akznrb
Salix cantabrica,30TUN17,30TUN1470,https://www.doi.org/10.15470/akznrb
Polypodium interjectum,29TNH35,---,https://www.doi.org/10.15470/akznrb
Lithodora fruticosa,30SWH23,30SWH2932,https://www.doi.org/10.15470/akznrb
