Taxon,UTM10x10,UTM1x1,References
Adonis annua,30TYK13,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Astragalus hamosus,30TYK23,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Cytinus ruber,30TYK23,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Cytinus ruber,30TYK13,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Cytinus ruber,30TYK13,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Erodium neuradifolium,30TYK03,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Jasione mansanetiana,30TYK23,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Jasione mansanetiana,30TYK13,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Lathyrus saxatilis,30TYK23,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Lathyrus saxatilis,30TYK24,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Lathyrus saxatilis,30TYK23,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Lathyrus saxatilis,30TYK23,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Linaria depauperata ilergabona,30TYK24,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Linaria depauperata ilergabona,30TYK23,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Linaria oblongifolia aragonensis,30TYK24,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Linaria oblongifolia aragonensis,30TYK23,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Narcissus dubius,30TYK23,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Ononis reclinata mollis,30TYK23,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Ononis reclinata mollis,30TYK14,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Ononis reclinata mollis,30TYK13,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Schismus barbatus,30TYK03,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Silene sclerocarpa,30TYK23,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Silene tridentata,30TYK23,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Silene tridentata,30TYK23,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Tragopogon crocifolius,30TYK23,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
