Taxon,UTM10x10,UTM1x1,References
Arenaria modesta,30TYK13,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Bufonia perennis tuberculata,30TYK03,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Lathyrus saxatilis,30SYK23,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Narcissus dubius,30SYK23,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Neotinia maculata,30TYK14,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Ononis reclinata mollis,30SYK23,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Papaver lecoquii,30TYK13,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Sedum dasyphyllum glanduliferum,30TYK14,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Vicia ervilia,30TYK13,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Vulpia muralis,30TYK13,NA,"Pérez Dacosta, J.M. 2021. Aportaciones a la flora de la comarca del Alto Mijares (Castellón). Flora Montiberica 79:68-70. http://www.floramontiberica.org/FM/n79.htm"
Narcissus assoanus,30STF96,NA,"Gómez-Murillo, P., Arellano-Martín, I. 2021. Transversal pattern of the leaves of eighteen species in the genus Narcissus L. (Asparagales: Amaryllidaceae) in Spain. Flora Montiberica 79: 28-31. http://www.floramontiberica.org/FM/n79.htm"
Narcissus assoanus,30SUF76,NA,"Gómez-Murillo, P., Arellano-Martín, I. 2021. Transversal pattern of the leaves of eighteen species in the genus Narcissus L. (Asparagales: Amaryllidaceae) in Spain. Flora Montiberica 79: 28-31. http://www.floramontiberica.org/FM/n79.htm"
Narcissus assoanus baeticus,30SUG85,NA,"Gómez-Murillo, P., Arellano-Martín, I. 2021. Transversal pattern of the leaves of eighteen species in the genus Narcissus L. (Asparagales: Amaryllidaceae) in Spain. Flora Montiberica 79: 28-31. http://www.floramontiberica.org/FM/n79.htm"
