Taxon,UTM10x10,UTM1x1,References
Silene latifolia,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Stellaria media,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Helianthemum nummularium,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Andryala integrifolia,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Bellis perennis,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Carduus pycnocephalus,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Coleostephus myconis,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Crepis capillaris,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Hypochaeris glabra,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Lactuca virosa,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Lapsana communis,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Senecio lividus,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Senecio vulgaris,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Sonchus asper,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Sonchus oleraceus,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Tolpis barbata,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Calystegia sepium,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Umbilicus rupestris,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Carex flacca,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Carex pendula,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Carex remota,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Daboecia cantabrica,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Erica arborea,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Erica cinerea,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Erica umbellata,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Euphorbia peplus,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Mercurialis ambigua,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Mercurialis annua,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Quercus pyrenaica,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
