Taxon,UTM10x10,UTM1x1,References
Sambucus nigra,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Anthemis arvensis,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Bellis sylvestris,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Crepis setosa,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Hypochaeris radicata,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Laphangium uteoalbum,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Leontodon hispidus,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Picris hieracioides longifolia,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Sonchus arvensis,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Taraxacum officinale,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Castanea saliva,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
Avena barbata,29TNG35,NA,"Cazás Fraga, N. (2024) Análise da flora vascular da Senda da Pedra Santa (Tui, NO Ibérico) ao seu paso polos ríos Louro e Lagartón. Recursos Naturaes 20: 5-20.. https://doi.org/10.15304/rr.id10046"
