Taxon,UTM10x10,UTM1x1,References
Ornithogalum reverchonii,30STF76,30STF7764,"FAME (2011), Aparicio & Silvestre (1987), Martínez Azorín et al. (2007)"
Ornithogalum reverchonii,30STF77,NA,Aparicio & Silvestre (1987)
Ornithogalum reverchonii,30STF77,30STF7077,FAME (2022)
Ornithogalum reverchonii,30STF85,30STF8259,FAME (2016)
Ornithogalum reverchonii,30STF86,NA,SEV 79639
Ornithogalum reverchonii,30STF86,30STF8263,FAME (2010)
Ornithogalum reverchonii,30STF86,30STF8265,FAME (2010)
Ornithogalum reverchonii,30STF86,30STF8362,FAME (2007)
Ornithogalum reverchonii,30STF86,30STF8563,FAME (2015)
Ornithogalum reverchonii,30STF86,30STF8564,FAME (2012)
Ornithogalum reverchonii,30STF86,30STF8763,Tercero-Araque et al. (2023)
Ornithogalum reverchonii,30STF86,30STF8765,"Aparicio & Silvestre (1987), Martínez Azorín et al. (2007)"
Ornithogalum reverchonii,30STF86,30STF8961,FAME (2004)
Ornithogalum reverchonii,30STF86,30STF8969,FAME (2011)
Ornithogalum reverchonii,30STF87,NA,GDA 23473 (1986)
Ornithogalum reverchonii,30STF87,NA,MA 258896 (1981)
Ornithogalum reverchonii,30STF87,NA,P00549874 (1890)
Ornithogalum reverchonii,30STF87,NA,"MA 395440 (1986), SALA 102960 (1990), SALA 41781 (1986), VAL 5578 (1984), Moreno & Soriano (1989), Martínez Azorín et al. (2007)"
Ornithogalum reverchonii,30STF87,30STF8571,FAME (2010)
Ornithogalum reverchonii,30STF87,30STF8770,MA 395440
Ornithogalum reverchonii,30STF87,30STF8773,FAME (2002)
Ornithogalum reverchonii,30STF87,30STF8870,"Tercero-Araque et al. (2023), ABH 74138"
Ornithogalum reverchonii,30STF87,30STF8871,FAME (2002)
Ornithogalum reverchonii,30STF87,30STF8874,MAF 94095
Ornithogalum reverchonii,30STF87,30STF8971,FAME (2009)
Ornithogalum reverchonii,30STF88,30STF8680,FAME (2010)
Ornithogalum reverchonii,30STF94,NA,MAF 94095 (1974)
Ornithogalum reverchonii,30STF95,30STF9959,FAME (2005)
Ornithogalum reverchonii,30STF96,NA,MA 469122 (1984)
Ornithogalum reverchonii,30STF96,30STF9563,"MGC 51999, Becerra & Robles (2007)"
Ornithogalum reverchonii,30STF96,30STF9665,FAME (2006)
Ornithogalum reverchonii,30STF96,30STF9765,FAME (2006)
Ornithogalum reverchonii,30STF96,30STF9767,"Aparicio & Silvestre (1987), FAME (2006), Martínez Azorín et al. (2007)"
Ornithogalum reverchonii,30STF96,30STF9867,FAME (2006)
Ornithogalum reverchonii,30STF96,30STF9965,FAME (2010)
Ornithogalum reverchonii,30STF96,30STF9966,FAME (2010)
Ornithogalum reverchonii,30STF97,NA,Aparicio & Silvestre (1987)
Ornithogalum reverchonii,30STF97,30STF9474,FAME (2013)
Ornithogalum reverchonii,30STF98,30STF9180,FAME (2011)
Ornithogalum reverchonii,30STF98,30STF9280,Martínez Azorín et al. (2007)
Ornithogalum reverchonii,30SUF06,NA,"Tercero-Araque et al. (2023); GDA 21234 (1982), MA 258897 (1982), MAF 113134 (1982)"
Ornithogalum reverchonii,30SUF06,NA,"Moreno & Soriano (1989), Becerra & Robles (2007), SEV 82487 (1964)"
Ornithogalum reverchonii,30SUF06,NA,SEV 55030 (1980)
Ornithogalum reverchonii,30SUF06,30SUF0066,FAME (2015)
Ornithogalum reverchonii,30SUF06,30SUF0069,Martínez Azorín et al. (2007)
Ornithogalum reverchonii,30SUF06,30SUF0069,Tercero-Araque et al. (2023)
Ornithogalum reverchonii,30SUF06,30SUF0069,FAME (2013)
Ornithogalum reverchonii,30SUF06,30SUF0668,FAME (2021)
Ornithogalum reverchonii,30SUF06,30SUF0669,Moreno & Soriano (1989)
Ornithogalum reverchonii,30SUF06,30SUF0761,"MA 21892 (1932), FAME (2021)"
Ornithogalum reverchonii,30SUF07,NA,SEV90412 (1980)
Ornithogalum reverchonii,30SUF07,30SUF0070,FAME (2006)
Ornithogalum reverchonii,30SUF07,30SUF0070,FAME (2006)
Ornithogalum reverchonii,30SUF16,NA,Díez & Pastor (1985)
Ornithogalum reverchonii,30SUF26,30SUF2167,Casimiro-Soriguer Solanas et al. (2019)
Ornithogalum reverchonii,30SUF26,30SUF2464,GBIF.es
