Taxon,UTM10x10,UTM1x1,References
Rosmarinus officinalis,30SUF76,30SUF7269,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Valerianella dentata,30TXN42,30TXN4526,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Valerianella dentata,30TXN42,30TXN4924,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Valerianella dentata,30TXN52,30TXN5224,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Fragaria vesca vesca,30TWN62,30TWN6128,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Potentilla anserina anserina,30TXN03,30TXN0039,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Sanguisorba minor minor,30TWN85,30TWN8552,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Sanguisorba minor minor,30TWM95,30TWM9056,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Spiraea hypericifolia obovata,30TWN40,30TWN4905,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Spiraea hypericifolia obovata,30TWN95,30TWN9255,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Spiraea hypericifolia obovata,30TWN62,30TWN6225,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Lathyrus pannonicus longestipulatus,30TXN22,30TXN2124,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Lathyrus pannonicus longestipulatus,30TXN40,30TXN4006,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Dianthus pungens hispanicus,30TWN95,30TWN9057,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Dianthus pungens hispanicus,30TXM39,30TXM3094,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Dianthus pungens hispanicus,30TXN42,30TXN4823,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Dianthus pungens brachyanthus,30TWN41,30TWN4417,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Dianthus hyssopifolius hyssopifolius,30TXN46,30TXN4367,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Fragaria vesca vesca,30TXN09,30TXN0790,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Argyrolobium zanonii zanonii,30TWN72,30TWN7828,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Ulex europaeus europaeus,30TWN41,30TWN4617,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Genista hispanica hispanica,30TXN32,30TXN3024,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Genista hispanica occidentalis,30TXN25,30TXN2756,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Prunus lusitanica lusitanica,30TXN07,30TXN0174,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Ononis spinosa maritima,30TXN74,30TXN7649,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Ononis spinosa maritima,30TXN45,30TXN4558,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Ononis pusilla pusilla,30TXM35,30TXM3659,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Onobrychis argentea hispanica,30TXN75,30TXN7058,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Onobrychis argentea hispanica,30TWN84,30TWN8248,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Onobrychis argentea hispanica,30TWN52,30TWN5320,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Hedysarum boveanum europaeum,30TXM28,30TXM2782,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Coronilla minima lotoides,30TXM35,30TXM3757,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Coronilla minima minima,30TWN72,30TWN7828,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Lavatera triloba triloba,30TXM24,30TXM2144,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Tulipa sylvestris australis,30TWN62,30TWN6129,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Aira caryophyllea caryophyllea,30TXN52,30TXN5027,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Aira caryophyllea multiculmis,30TWN42,30TWN4520,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Arrhenatherum elatius elatius,30TWN74,30TWN7543,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Arrhenatherum elatius elatius,30TWN51,30TWN5219,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Helictotrichon sedenense gervaisii,30TXN75,30TXN7058,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Helictotrichon sedenense gervaisii,30TXN74,30TXN7647,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Avena sterilis ludoviciana,30TXM24,30TXM2144,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Avena barbata barbata,30TWM95,30TWM9056,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Elymus repens repens,30TXN64,30TXN6740,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Elymus repens repens,30TWN40,30TWN4903,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Dactylis glomerata hispanica,30TXM27,30TXM2376,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Argyrolobium zanonii zanonii,30TXM27,30TXM2371,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Astragalus monspessulanus gypsophilus,30TXM35,30TXM3757,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Bupleurum rigidum rigidum,30TXM35,30TXM3757,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Centaurea aspera stenophylla,30TXM27,30TXM2477,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Centaurium erythraea erythraea,30TXM27,30TXM2179,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Hedysarum boveanum europaeum,30TXM35,30TXM3757,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Juniperus oxycedrus oxycedrus,30TXM35,30TXM3757,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Ophrys speculum speculum,30TXM27,30TXM2371,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Ophrys fusca fusca,30TXM36,30TXM3360,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Rapistrum rugosum rugosum,30TXM36,30TXM3262,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Reseda lutea lutea,30TXM35,30TXM3258,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Reseda lutea lutea,30TXM35,30TXM3757,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Rhamnus lycioides lycioides,30TXM36,30TXM3262,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Rhamnus lycioides lycioides,30TXM27,30TXM2179,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Rhamnus lycioides lycioides,30TXM36,30TXM3360,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
Silene vulgaris vulgaris,30TXM36,30TXM3360,"Peralta de Andrés J. 2024. Herbario de la Universidad Pública de Navarra, Pamplona: UPNA-H. Departamento de Ciencias, Universidad Pública de Navarra"
