Taxon,UTM10x10,UTM1x1,References
Adiantum capillus-veneris,30TXL24,30TXL2442,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium adiantum-nigrum,30TXL24,30TXL2741,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium adiantum-nigrum,30TXL24,30TXL2742,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium adiantum-nigrum,30TXL24,30TXL2543,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium adiantum-nigrum,30TXL23,30TXL2839,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium adiantum-nigrum,30TXL33,30TXL3333,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium adiantum-nigrum,30TXL33,30TXL3233,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium adiantum-nigrum,30TXL24,30TXL2542,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium adiantum-nigrum,30TXL25,30TXL2151,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium billotii,30TXL24,30TXL2543,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium billotii,30TXL24,30TXL2741,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium billotii,30TXL11,30TXL1818,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium billotii,30TXL23,30TXL2739,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium foreziense,30TXL24,30TXL2741,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium onopteris,30TXL23,30TXL2839,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium onopteris,30TXL24,30TXL2741,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium onopteris,30TXL25,30TXL2151,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium ruta-muraria ruta-muraria,30TXL23,30TXL2338,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium ruta-muraria ruta-muraria,30TXL23,30TXL2438,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium ruta-muraria ruta-muraria,30TXL13,30TXL1935,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium ruta-muraria ruta-muraria,30TXL23,30TXL2338,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium ruta-muraria ruta-muraria,30TXL14,30TXL1941,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium septentrionale septentrionale,30TXL24,30TXL2543,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium septentrionale septentrionale,30TXL24,30TXL2741,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium septentrionale septentrionale,30TXL24,30TXL2344,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium septentrionale septentrionale,30TXL24,30TXL2543,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium septentrionale septentrionale,30TXL24,30TXL2348,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium septentrionale septentrionale,30TXL24,30TXL2443,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium septentrionale septentrionale,30TXL25,30TXL2151,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium septentrionale septentrionale,30TXL33,30TXL3432,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium ceterach,30TXL24,30TXL2543,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium ceterach,30TXL23,30TXL2939,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium ceterach,30TXL23,30TXL2438,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium ceterach,30TXL24,30TXL2344,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium ceterach,30TXL23,30TXL2132,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium ceterach,30TXL24,30TXL2543,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium ceterach,30TXL13,30TXL1935,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium ceterach,30TXL33,30TXL3233,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium ceterach,30TXL23,30TXL2938,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Asplenium ceterach,30TXL24,30TXL2443,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Cystopteris dickieana,30TXL11,30TXL1818,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Cystopteris fragilis,30TXL24,30TXL2741,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Cystopteris fragilis,30TXL24,30TXL2642,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Cystopteris fragilis,30TXL11,30TXL1818,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Cystopteris fragilis,30TXL21,30TXL2014,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Cystopteris fragilis,30TXL33,30TXL3333,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Equisetum ramosissimum,30TXL33,30TXL3034,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Equisetum ramosissimum,30TXL23,30TXL2034,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Marsilea strigosa,30TXL12,30TXL1626,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Marsilea strigosa,30TXL12,30TXL1626,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Marsilea strigosa,30TXL12,30TXL1726,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Marsilea strigosa,30TXL12,30TXL1922,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Polypodium cambricum,30TXL23,30TXL2939,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Polypodium cambricum,30TXL24,30TXL2348,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Polypodium cambricum,30TXL24,30TXL2543,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Polypodium vulgare,30TXL24,30TXL2543,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Polypodium vulgare,30TXL24,30TXL2741,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Polypodium vulgare,30TXL23,30TXL2835,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Juniperus phoenicea phoenicea,30TXL13,30TXL1935,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Juniperus thurifera,30TXL32,30TXL3024,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Juniperus thurifera,30TXL12,NA,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Pinus pinaster,30TXL33,30TXL3633,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Pinus pinaster,30TXL23,30TXL2532,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Pinus sylvestris,30TXL33,30TXL3633,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Pinus sylvestris,30TXL23,30TXL2532,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Acer monspessulanum monspessulanum,30TXL24,30TXL2742,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Anthriscus caucalis,30TXL33,30TXL3235,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Anthriscus sylvestris,30TXL24,30TXL2742,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Apium nodiflorum,30TXL23,30TXL2439,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Apium nodiflorum,30TXL23,30TXL2336,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Apium nodiflorum,30TXL23,30TXL2335,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Apium nodiflorum,30TXL23,30TXL2837,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
Apium nodiflorum,30TXL24,NA,"Picornell-Segura, Eulàlia. (2022). Catálogo de flora de la cuenca endorreica de la laguna de gallocanta. Colección de monografías de Botánica Ibérica, 24."
