Taxon,UTM10x10,UTM1x1,References
Ferula loscosii,30TYL28,30TYL2788,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL29,30TYL2491,http://floragon.ipe.csic.es/listaplantaslocalidades.php?genero=Ferula&especie=loscosii&subespecie=&variedad=
Ferula loscosii,30TYL29,30TYL2492,http://floragon.ipe.csic.es/listaplantaslocalidades.php?genero=Ferula&especie=loscosii&subespecie=&variedad=
Ferula loscosii,30TYL29,30TYL2591,http://floragon.ipe.csic.es/listaplantaslocalidades.php?genero=Ferula&especie=loscosii&subespecie=&variedad=
Ferula loscosii,30TYL29,30TYL2791,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL36,30TYL3065,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL36,30TYL3165,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL36,30TYL3465,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL37,30TYL3477,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL37,30TYL3570,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL37,30TYL3576,http://floragon.ipe.csic.es/listaplantaslocalidades.php?genero=Ferula&especie=loscosii&subespecie=&variedad=
Ferula loscosii,30TYL37,30TYL3676,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL38,30TYL3984,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL38,30TYL3985,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL39,30TYL3093,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL39,30TYL3194,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL48,30TYL4484,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL48,30TYL4584,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL48,30TYL4682,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL48,30TYL4684,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL48,30TYL4685,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL48,30TYL4782,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL48,30TYL4783,http://floragon.ipe.csic.es/listaplantaslocalidades.php?genero=Ferula&especie=loscosii&subespecie=&variedad=
Ferula loscosii,30TYL48,30TYL4784,http://floragon.ipe.csic.es/listaplantaslocalidades.php?genero=Ferula&especie=loscosii&subespecie=&variedad=
Ferula loscosii,30TYL48,30TYL4882,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL48,30TYL4883,http://floragon.ipe.csic.es/listaplantaslocalidades.php?genero=Ferula&especie=loscosii&subespecie=&variedad=
Ferula loscosii,30TYL48,30TYL4884,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL48,30TYL4888,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL48,30TYL4984,http://floragon.ipe.csic.es/listaplantaslocalidades.php?genero=Ferula&especie=loscosii&subespecie=&variedad=
Ferula loscosii,30TYL58,30TYL5080,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYL58,30TYL5083,http://floragon.ipe.csic.es/listaplantaslocalidades.php?genero=Ferula&especie=loscosii&subespecie=&variedad=
Ferula loscosii,30TYL59,30TYL5095,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYM20,30TYM2306,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYM21,30TYM2211,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,30TYM40,30TYM4904,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF45,31TBF4855,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF48,31TBF4981,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF48,31TBF4983,http://floragon.ipe.csic.es/listaplantaslocalidades.php?genero=Ferula&especie=loscosii&subespecie=&variedad=
Ferula loscosii,31TBF48,31TBF4984,http://floragon.ipe.csic.es/listaplantaslocalidades.php?genero=Ferula&especie=loscosii&subespecie=&variedad=
Ferula loscosii,31TBF57,31TBF5071,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF57,31TBF5171,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF57,31TBF5476,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF57,31TBF5579,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF57,31TBF5674,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF57,31TBF5675,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF57,31TBF5679,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF57,31TBF5772,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF57,31TBF5773,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF57,31TBF5777,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF57,31TBF5778,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF57,31TBF5873,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF57,31TBF5879,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF58,31TBF5082,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF58,31TBF5084,http://floragon.ipe.csic.es/listaplantaslocalidades.php?genero=Ferula&especie=loscosii&subespecie=&variedad=
Ferula loscosii,31TBF58,31TBF5085,http://floragon.ipe.csic.es/listaplantaslocalidades.php?genero=Ferula&especie=loscosii&subespecie=&variedad=
Ferula loscosii,31TBF58,31TBF5088,http://floragon.ipe.csic.es/listaplantaslocalidades.php?genero=Ferula&especie=loscosii&subespecie=&variedad=
Ferula loscosii,31TBF58,31TBF5089,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF58,31TBF5189,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF58,31TBF5281,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF58,31TBF5289,http://floragon.ipe.csic.es/listaplantaslocalidades.php?genero=Ferula&especie=loscosii&subespecie=&variedad=
Ferula loscosii,31TBF58,31TBF5380,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF58,31TBF5381,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF58,31TBF5388,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF58,31TBF5389,http://floragon.ipe.csic.es/listaplantaslocalidades.php?genero=Ferula&especie=loscosii&subespecie=&variedad=
Ferula loscosii,31TBF58,31TBF5481,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF58,31TBF5489,http://floragon.ipe.csic.es/listaplantaslocalidades.php?genero=Ferula&especie=loscosii&subespecie=&variedad=
Ferula loscosii,31TBF58,31TBF5582,"Puente, J. (2017). La férula de Loscos en Aragón. Naturaleza Aragonesa 34: 20-23."
Ferula loscosii,31TBF58,31TBF5588,http://floragon.ipe.csic.es/listaplantaslocalidades.php?genero=Ferula&especie=loscosii&subespecie=&variedad=
