Taxon,UTM10x10,UTM1x1,References
Acer opalus granatense,30SWF18,30SWF1289,https://doi.org/10.15468/pyzji3
Acer opalus granatense,30SVG71,30SVG7715,https://doi.org/10.15468/pyzji3
Achillea ageratum,30SVF89,30SVF8992,https://doi.org/10.15468/pyzji3
Achillea odorata,30TXK96,30TXK9365,https://doi.org/10.15468/pyzji3
Achillea santolinoides,30SXJ61,30SXJ6511,https://doi.org/10.15468/pyzji3
Achillea tomentosa,30TVM65,30TVM6159,https://doi.org/10.15468/pyzji3
Achnatherum bromoides,29SPC94,29SPC9448,https://doi.org/10.15468/pyzji3
Achyrophorus stuessyi,30SVF89,30SVF8494,https://doi.org/10.15468/pyzji3
Acinos alpinus,30TXK64,30TXK6540,https://doi.org/10.15468/pyzji3
Acinos alpinus,31TDG49,31TDG4094,https://doi.org/10.15468/pyzji3
Acinos alpinus,30SVF59,30SVF5790,https://doi.org/10.15468/pyzji3
Acinos alpinus,30SWG10,30SWG1803,https://doi.org/10.15468/pyzji3
Acinos alpinus,30SWG10,30SWG1005,https://doi.org/10.15468/pyzji3
Acinos alpinus,30SVG80,30SVG8707,https://doi.org/10.15468/pyzji3
Acinos alpinus,30SWG10,30SWG1008,https://doi.org/10.15468/pyzji3
Acinos alpinus,30SVG71,30SVG7612,https://doi.org/10.15468/pyzji3
Acinos arvensis,30TXK96,30TXK9365,https://doi.org/10.15468/pyzji3
Aconitum vulparia neapolitanum,30SVG80,30SVG8707,https://doi.org/10.15468/pyzji3
Adenocarpus aureus,30TUK96,30TUK9864,https://doi.org/10.15468/pyzji3
Adenocarpus complicatus,30TVL55,30TVL5153,https://doi.org/10.15468/pyzji3
Adenocarpus decorticans,30SVF89,30SVF8494,https://doi.org/10.15468/pyzji3
Adenocarpus decorticans,30SVG50,30SVG5804,https://doi.org/10.15468/pyzji3
Adenocarpus decorticans,30SWG10,30SWG1008,https://doi.org/10.15468/pyzji3
Adenocarpus decorticans,30SVG81,30SVG8811,https://doi.org/10.15468/pyzji3
Adenocarpus decorticans,30SVG71,30SVG7614,https://doi.org/10.15468/pyzji3
Adenocarpus decorticans,30SVG71,30SVG7717,https://doi.org/10.15468/pyzji3
Adenocarpus gibbsianus,30TUK96,30TUK9864,https://doi.org/10.15468/pyzji3
Adenocarpus hispanicus,30TVL55,30TVL5152,https://doi.org/10.15468/pyzji3
Adenocarpus hispanicus,30TVL55,30TVL5153,https://doi.org/10.15468/pyzji3
Adenocarpus lainzii,29SNB33,29SNB3830,https://doi.org/10.15468/pyzji3
Adenocarpus telonensis,30SUH85,30SUH8754,https://doi.org/10.15468/pyzji3
Adonis aestivalis squarrosa,30SVG50,30SVG5804,https://doi.org/10.15468/pyzji3
Adonis annua,30SVG23,30SVG2935,https://doi.org/10.15468/pyzji3
Adonis annua,30STF39,30STF3899,https://doi.org/10.15468/pyzji3
Adonis microcarpa,30SVG96,30SVG9261,https://doi.org/10.15468/pyzji3
Adonis vernalis,30SWH93,30SWH9035,https://doi.org/10.15468/pyzji3
Aegilops geniculata,30SVF58,30SVF5789,https://doi.org/10.15468/pyzji3
Aegilops geniculata,30SVF89,30SVF8494,https://doi.org/10.15468/pyzji3
Aegilops geniculata,30SVF89,30SVF8497,https://doi.org/10.15468/pyzji3
Aegilops geniculata,30SVG50,30SVG5804,https://doi.org/10.15468/pyzji3
Aegilops triuncialis,30TVK28,30TVK2081,https://doi.org/10.15468/pyzji3
Aegilops triuncialis,30STH50,30STH5503,https://doi.org/10.15468/pyzji3
Aegilops ventricosa,30SVG50,30SVG5804,https://doi.org/10.15468/pyzji3
Aegopodium podagraria,31TDG48,31TDG4781,https://doi.org/10.15468/pyzji3
Aethionema marginatum,30SVG50,30SVG5804,https://doi.org/10.15468/pyzji3
