Taxon,UTM10x10,UTM1x1,References
Acacia retinodes,29SMC97,29SMC9572,https://doi.org/10.15468/pyzji3
Acer granatense,30SVG50,30SVG5804,https://doi.org/10.15468/pyzji3
Acer granatense,30SWG10,30SWG1005,https://doi.org/10.15468/pyzji3
Acer monspessulanum monspessulanum,31SDB98,31SDB9787,https://doi.org/10.15468/pyzji3
Acer opalus granatense,31SDC64,31SDC6241,https://doi.org/10.15468/pyzji3
Acer opalus granatense,31SDB98,31SDB9787,https://doi.org/10.15468/pyzji3
Achillea filipendulina,30SVG81,30SVG8914,https://doi.org/10.15468/pyzji3
Achillea filipendulina,31TEE98,31TEE9788,https://doi.org/10.15468/pyzji3
Achillea millefolium,31TEE99,31TEE9792,https://doi.org/10.15468/pyzji3
Achillea odorata,31SDB89,31SDB8199,https://doi.org/10.15468/pyzji3
Achillea odorata,31SDC64,31SDC6241,https://doi.org/10.15468/pyzji3
Acinos alpinus meridionalis,31SDB89,31SDB8199,https://doi.org/10.15468/pyzji3
Acinos alpinus meridionalis,31SDB98,31SDB9685,https://doi.org/10.15468/pyzji3
Acinos alpinus meridionalis,31SDB98,31SDB9787,https://doi.org/10.15468/pyzji3
Acinos alpinus meridionalis,30SVG50,30SVG5804,https://doi.org/10.15468/pyzji3
Acinos arvensis,31SDB99,31SDB9297,https://doi.org/10.15468/pyzji3
Aegilops neglecta,31SDB99,31SDB9297,https://doi.org/10.15468/pyzji3
Ageratina adenophora,31SEA47,31SEA4871,https://doi.org/10.15468/pyzji3
Agrimonia eupatoria,31TDG48,31TDG4685,https://doi.org/10.15468/pyzji3
Agropyron cristatum pectinatum,30TXK55,30TXK5856,https://doi.org/10.15468/pyzji3
Agrostemma githago,30SVG50,30SVG5804,https://doi.org/10.15468/pyzji3
Agrostis pourretii,29SNB99,29SNB9093,https://doi.org/10.15468/pyzji3
Agrostis stolonifera,29TMH24,29TMH2947,https://doi.org/10.15468/pyzji3
Agrostis x fouilladei,30TVM75,30TVM7150,https://doi.org/10.15468/pyzji3
Agrostis x fouilladei,29TPJ11,29TPJ1217,https://doi.org/10.15468/pyzji3
Ajuga pyramidalis,31TDG39,31TDG3996,https://doi.org/10.15468/pyzji3
Alisma lanceolatum,31TEE98,31TEE9788,https://doi.org/10.15468/pyzji3
Alliaria petiolata,31TEE99,31TEE9792,https://doi.org/10.15468/pyzji3
Allium pallens,30SWH22,30SWH2929,https://doi.org/10.15468/pyzji3
Allium pallens pallens,30SVG50,30SVG5804,https://doi.org/10.15468/pyzji3
Allium roseum,31SDC64,31SDC6241,https://doi.org/10.15468/pyzji3
Allium sphaerocephalon,31TEE98,31TEE9787,https://doi.org/10.15468/pyzji3
Allium sphaerocephalon sphaerocephalon,30SVG50,30SVG5804,https://doi.org/10.15468/pyzji3
Alternanthera philoxeroides,31TDG40,31TDG4304,https://doi.org/10.15468/pyzji3
Alyssum minimum,30SWG10,30SWG1603,https://doi.org/10.15468/pyzji3
Alyssum montanum,30TXK64,30TXK6841,https://doi.org/10.15468/pyzji3
Alyssum montanum montanum,31SDB89,31SDB8199,https://doi.org/10.15468/pyzji3
Alyssum montanum montanum,31SDC64,31SDC6241,https://doi.org/10.15468/pyzji3
Alyssum serpyllifolium serpyllifolium,31SDC64,31SDC6241,https://doi.org/10.15468/pyzji3
Amaranthus albus,30SVF88,30SVF8185,https://doi.org/10.15468/pyzji3
Amaranthus hybridus,30SVF88,30SVF8185,https://doi.org/10.15468/pyzji3
Amaranthus powellii,30SWG28,30SWG2085,https://doi.org/10.15468/pyzji3
Ambrosia psilostachya,31TCF01,31TCF0617,https://doi.org/10.15468/pyzji3
Ambrosia tenuifolia,30SVG93,30SVG9435,https://doi.org/10.15468/pyzji3
Amelanchier ovalis,31SDB98,31SDB9685,https://doi.org/10.15468/pyzji3
Amelanchier rotundifolia,30SVG50,30SVG5804,https://doi.org/10.15468/pyzji3
Ammannia coccinea coccinea,29SQD00,29SQD0203,https://doi.org/10.15468/pyzji3
Amygdalus dulcis,30SVF88,30SVF8082,https://doi.org/10.15468/pyzji3
Anacyclus radiatus,29SQA60,29SQA6608,https://doi.org/10.15468/pyzji3
Anarrhinum laxiflorum,31SDC64,31SDC6241,https://doi.org/10.15468/pyzji3
Anarrhinum laxiflorum,31SDB98,31SDB9685,https://doi.org/10.15468/pyzji3
Anchusa calcarea losadae,30NTN51,30NTN5216,https://doi.org/10.15468/pyzji3
Anchusa undulata,31SDC64,31SDC6241,https://doi.org/10.15468/pyzji3
Anchusa undulata undulata,29NPA74,29NPA7245,https://doi.org/10.15468/pyzji3
Andryala arenaria,31TFE09,31TFE0691,https://doi.org/10.15468/pyzji3
Andryala ragusina,31SDB89,31SDB8199,https://doi.org/10.15468/pyzji3
Anethum graveolens,30SUG60,30SUG6005,https://doi.org/10.15468/pyzji3
Anthemis arvensis,30SWF19,30SWF1396,https://doi.org/10.15468/pyzji3
Anthemis arvensis,30SVG50,30SVG5804,https://doi.org/10.15468/pyzji3
Anthemis pedunculata,30SUF89,30SUF8293,https://doi.org/10.15468/pyzji3
Anthemis pedunculata,30SVG71,30SVG7612,https://doi.org/10.15468/pyzji3
Anthyllis tejedensis,30SVG50,30SVG5804,https://doi.org/10.15468/pyzji3
Anthyllis vulneraria,29NPA74,29NPA7345,https://doi.org/10.15468/pyzji3
Anthyllis vulneraria,30SVF89,30SVF8591,https://doi.org/10.15468/pyzji3
Anthyllis vulneraria,30SVG81,30SVG8812,https://doi.org/10.15468/pyzji3
Anthyllis vulneraria argyrophylla,30SVG50,30SVG5804,https://doi.org/10.15468/pyzji3
Anthyllis vulneraria reuteri,31SDC64,31SDC6241,https://doi.org/10.15468/pyzji3
Antinoria agrostidea,30TUK06,30TUK0961,https://doi.org/10.15468/pyzji3
Antinoria agrostidea,30TUL67,30TUL6373,https://doi.org/10.15468/pyzji3
Antirrhinum boissieri,31SEB67,31SEB6771,https://doi.org/10.15468/pyzji3
Antirrhinum bolosii,30SVF57,30SVF5476,https://doi.org/10.15468/pyzji3
Antirrhinum graniticum,31TFE09,31TFE0691,https://doi.org/10.15468/pyzji3
Antirrhinum majus majus,30SUG93,30SUG9731,https://doi.org/10.15468/pyzji3
Antirrhinum mollisimum,30SWF38,30SWF3481,https://doi.org/10.15468/pyzji3
Aphyllanthes monspeliensis,31SDB89,31SDB8597,https://doi.org/10.15468/pyzji3
Apium inundatum,31TEE98,31TEE9788,https://doi.org/10.15468/pyzji3
Aquilegia hispanica,30SWG29,30SWG2095,https://doi.org/10.15468/pyzji3
Aquilegia hispanica,30SWH31,30SWH3810,https://doi.org/10.15468/pyzji3
Aquilegia vulgaris,30TYK07,30TYK0074,https://doi.org/10.15468/pyzji3
Aquilegia vulgaris,31TDG49,31TDG4094,https://doi.org/10.15468/pyzji3
Arabis auriculata,31SDB89,31SDB8199,https://doi.org/10.15468/pyzji3
Arabis auriculata,31SDB98,31SDB9685,https://doi.org/10.15468/pyzji3
Arabis auriculata,31SDB98,31SDB9787,https://doi.org/10.15468/pyzji3
Arceuthobium oxycedri,31TFE09,31TFE0691,https://doi.org/10.15468/pyzji3
Arctium lappa,31TEE99,31TEE9792,https://doi.org/10.15468/pyzji3
Arenaria armerina,30SWG19,30SWG1793,https://doi.org/10.15468/pyzji3
Arenaria armerina,30SWF18,30SWF1083,https://doi.org/10.15468/pyzji3
Arenaria armerina,30SWG10,30SWG1803,https://doi.org/10.15468/pyzji3
Arenaria conimbricensis,29NPA74,29NPA7344,https://doi.org/10.15468/pyzji3
Arenaria grandiflora,29NQE10,29NQE1708,https://doi.org/10.15468/pyzji3
Arenaria modesta tenuis,31SDB89,31SDB8597,https://doi.org/10.15468/pyzji3
Arenaria montana,29SNB33,29SNB3830,https://doi.org/10.15468/pyzji3
