Taxon,UTM10x10,UTM1x1,References
Dryopteris aemula,29TNH35,29TNH3257,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TMH95,29TMH9556,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TMH95,29TMH9455,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TMH95,29TMH9354,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TMH95,29TMH9353,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TNH15,29TNH1053,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TNH25,29TNH2051,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TNH05,29TNH0550,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TNH05,29TNH0650,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TMH94,29TMH9849,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TNH04,29TNH0649,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TMH94,29TMH9348,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TMH94,29TMH9448,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TMH94,29TMH9447,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TMH94,29TMH9947,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TMH94,29TMH9446,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TNH14,29TNH1443,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TMH94,29TMH9641,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TMH94,29TMH9540,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TNH03,29TNH0532,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TNH02,29TNH0227,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris aemula,29TNH02,29TNH0727,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
Dryopteris guanchica,29TNH25,29TNH2759,"González-Martínez, X. I., & Boullón-Agrelo,  C. (2020). Pteridoflora paleotropical amenazada en el SW de la provincia de A Coruña (España). Nova Acta Científica Compostelana, 27, 1-27.. NA"
