Taxon,UTM10x10,UTM1x1,References
Dactylorhiza elata,30TWM22,30TWM2720,https://doi.org/10.15470/wiadvo
Carex hirta,30TXN36,30TXN3461,https://doi.org/10.15470/wiadvo
Salvia pratensis,30TYM47,30TYM4270,https://doi.org/10.15470/wiadvo
Asphodelus ramosus distalis,30SVG18,30SVG1287,https://doi.org/10.15470/wiadvo
Anthriscus caucalis,30SUH51,30SUH5715,https://doi.org/10.15470/wiadvo
Aira cupaniana,30SUH51,30SUH5715,https://doi.org/10.15470/wiadvo
Anagallis foemina,30SUH51,30SUH5715,https://doi.org/10.15470/wiadvo
Andryala arenaria,30SUH61,30SUH6310,https://doi.org/10.15470/wiadvo
Allium scorzonerifolium,30SVH45,30SVH4550,https://doi.org/10.15470/wiadvo
Anthericum baeticum,30SVH45,30SVH4550,https://doi.org/10.15470/wiadvo
Armeria pauana,30SVH45,30SVH4550,https://doi.org/10.15470/wiadvo
Arum cylindraceum,30SWH10,30SWH1602,https://doi.org/10.15470/wiadvo
Anthyllis vulneraria reuteri,30SWH10,30SWH1602,https://doi.org/10.15470/wiadvo
Anarrhinum laxiflorum,30SWH10,30SWH1602,https://doi.org/10.15470/wiadvo
Anthyllis vulneraria gandogeri,30SVG06,30SVG0861,https://doi.org/10.15470/wiadvo
Jurinea humilis,30TXN93,30TXN9932,https://doi.org/10.15470/wiadvo
Ranunculus amplexicaulis,30TXN93,30TXN9935,https://doi.org/10.15470/wiadvo
Scleranthus uncinatus,30TXN93,30TXN9831,https://doi.org/10.15470/wiadvo
Ranunculus pyrenaeus,30TYN03,30TYN0138,https://doi.org/10.15470/wiadvo
Mentha longifolia,30TXN92,30TXN9221,https://doi.org/10.15470/wiadvo
Antirrhinum graniticum,30SWH02,30SWH0525,https://doi.org/10.15470/wiadvo
Andryala integrifolia,30SWH02,30SWH0525,https://doi.org/10.15470/wiadvo
Andryala ragusina,30SVG58,30SVG5984,https://doi.org/10.15470/wiadvo
Anchusa azurea,30SVG58,30SVG5984,https://doi.org/10.15470/wiadvo
Anthyllis ramburii,30SVG99,30SVG9995,https://doi.org/10.15470/wiadvo
Anarrhinum laxiflorum,30SVG25,30SVG2255,https://doi.org/10.15470/wiadvo
Arabis auriculata,30SVG25,30SVG2255,https://doi.org/10.15470/wiadvo
Astragalus glaux,30SVG25,30SVG2356,https://doi.org/10.15470/wiadvo
Avena barbata barbata,30SVG14,30SVG1849,https://doi.org/10.15470/wiadvo
Astragalus sesameus,30SVG14,30SVG1849,https://doi.org/10.15470/wiadvo
Alopecurus arundinaceus,30SVG25,30SVG2255,https://doi.org/10.15470/wiadvo
Lythrum acutangulum,30SVG14,30SVG1546,https://doi.org/10.15470/wiadvo
Cephalaria leucantha,30SVG14,30SVG1546,https://doi.org/10.15470/wiadvo
Polygonum rurivagum,30SVG14,30SVG1546,https://doi.org/10.15470/wiadvo
Anthemis cotula,30SVG14,30SVG1546,https://doi.org/10.15470/wiadvo
Kickxia lanigera,30SVG14,30SVG1546,https://doi.org/10.15470/wiadvo
Daucus carota carota,30SVG14,30SVG1546,https://doi.org/10.15470/wiadvo
Cyperus longus,30SVG14,30SVG1546,https://doi.org/10.15470/wiadvo
Scirpoides holoschoenus,30SVG14,30SVG1546,https://doi.org/10.15470/wiadvo
Salix purpurea,30SVG14,30SVG1546,https://doi.org/10.15470/wiadvo
Lathyrus cicera,30SVG14,30SVG1846,https://doi.org/10.15470/wiadvo
Helianthemum ledifolium,30SVG14,30SVG1846,https://doi.org/10.15470/wiadvo
Linaria hirta,30SVG14,30SVG1846,https://doi.org/10.15470/wiadvo
Biscutella auriculata,30SVG14,30SVG1846,https://doi.org/10.15470/wiadvo
Rapistrum rugosum rugosum,30SVG14,30SVG1846,https://doi.org/10.15470/wiadvo
Erodium cicutarium,30SVG14,30SVG1846,https://doi.org/10.15470/wiadvo
Anthyllis vulneraria reuteri,30SVG14,30SVG1846,https://doi.org/10.15470/wiadvo
Linaria aeruginea aeruginea,30SVG14,30SVG1846,https://doi.org/10.15470/wiadvo
Trifolium campestre,30SVG14,30SVG1846,https://doi.org/10.15470/wiadvo
Ranunculus paludosus,30SVG14,30SVG1846,https://doi.org/10.15470/wiadvo
Geranium molle,30SVG14,30SVG1846,https://doi.org/10.15470/wiadvo
Convolvulus althaeoides,30SVG14,30SVG1846,https://doi.org/10.15470/wiadvo
Silene colorata,30SVG14,30SVG1846,https://doi.org/10.15470/wiadvo
Plantago lagopus,30SVG14,30SVG1846,https://doi.org/10.15470/wiadvo
Reseda phyteuma,30SVG14,30SVG1846,https://doi.org/10.15470/wiadvo
Allium roseum,30SVG14,30SVG1947,https://doi.org/10.15470/wiadvo
Alyssum simplex,30SVG14,30SVG1947,https://doi.org/10.15470/wiadvo
Anagallis arvensis,30SVG15,30SVG1550,https://doi.org/10.15470/wiadvo
Alyssum simplex,30SVG14,30SVG1945,https://doi.org/10.15470/wiadvo
Achnatherum bromoides,30SVG24,30SVG2440,https://doi.org/10.15470/wiadvo
Andryala ragusina,30SVG24,30SVG2440,https://doi.org/10.15470/wiadvo
Asparagus acutifolius,30SVG24,30SVG2440,https://doi.org/10.15470/wiadvo
Anthyllis vulneraria maura,30SVG15,30SVG1752,https://doi.org/10.15470/wiadvo
Alyssum alyssoides,30SVG15,30SVG1752,https://doi.org/10.15470/wiadvo
Allium roseum,30SWH27,30SWH2171,https://doi.org/10.15470/wiadvo
Rumex bucephalophorus gallicus,30SUG96,30SUG9966,https://doi.org/10.15470/wiadvo
Scandix pecten-veneris,30SUG96,30SUG9966,https://doi.org/10.15470/wiadvo
Juncus articulatus articulatus,30SUG96,30SUG9966,https://doi.org/10.15470/wiadvo
