Taxon,UTM10x10,UTM1x1,References
Baldellia ranunculoides repens,30SVH03,30SVH0435,https://doi.org/10.15470/wiadvo
Ballota hirsuta hirsuta,30SVG28,30SVG2982,https://doi.org/10.15470/wiadvo
Ballota hirsuta hirsuta,30SVH75,30SVH7857,https://doi.org/10.15470/wiadvo
Ballota hirsuta hirsuta,30SUH91,30SUH9212,https://doi.org/10.15470/wiadvo
Ballota hirsuta hirsuta,30SVG27,30SVG2070,https://doi.org/10.15470/wiadvo
Ballota hirsuta hirsuta,30SVH50,30SVH5608,https://doi.org/10.15470/wiadvo
Ballota hirsuta hirsuta,30SVG49,30SVG4991,https://doi.org/10.15470/wiadvo
Ballota hirsuta hirsuta,30SWH85,30SWH8355,https://doi.org/10.15470/wiadvo
Ballota hirsuta hirsuta,30SVG37,30SVG3178,https://doi.org/10.15470/wiadvo
Ballota hirsuta hirsuta,30SVG97,30SVG9375,https://doi.org/10.15470/wiadvo
Ballota hirsuta hirsuta,30SVG19,30SVG1897,https://doi.org/10.15470/wiadvo
Ballota hirsuta hirsuta,30SVG19,30SVG1692,https://doi.org/10.15470/wiadvo
Ballota hirsuta hirsuta,30SVG37,30SVG3074,https://doi.org/10.15470/wiadvo
Bassia scoparia,30SWG35,30SWG3659,https://doi.org/10.15470/wiadvo
Bassia scoparia,30SVH53,30SVH5430,https://doi.org/10.15470/wiadvo
Bassia scoparia,30SVH43,30SVH4939,https://doi.org/10.15470/wiadvo
Bassia scoparia,30SVH43,30SVH4939,https://doi.org/10.15470/wiadvo
Begonia hydrocotylifolia,30SVG38,30SVG3081,https://doi.org/10.15470/wiadvo
Begonia semperflorens,30SVH11,30SVH1311,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG39,30SVG3193,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG53,30SVG5236,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH36,30SVH3369,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH10,30SVH1907,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SUH81,30SUH8016,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH65,30SVH6051,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH55,30SVH5851,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH86,30SVH8561,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH75,30SVH7559,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG38,30SVG3683,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH42,30SVH4920,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG27,30SVG2178,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH30,30SVH3004,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG27,30SVG2779,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH92,30SVH9926,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SWH14,30SWH1340,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SWH04,30SWH0942,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG37,30SVG3074,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG47,30SVG4376,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH65,30SVH6651,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH21,30SVH2616,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH94,30SVH9540,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SUH91,30SUH9515,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SUH90,30SUH9209,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SUH92,30SUH9121,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG38,30SVG3183,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH04,30SVH0240,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH53,30SVH5830,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH52,30SVH5427,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH46,30SVH4161,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG38,30SVG3482,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG38,30SVG3683,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG38,30SVG3582,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG14,30SVG1948,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH46,30SVH4064,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH35,30SVH3959,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG29,30SVG2090,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG29,30SVG2090,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG15,30SVG1755,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG48,30SVG4288,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG37,30SVG3772,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH22,30SVH2424,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG49,30SVG4390,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG39,30SVG3890,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG19,30SVG1790,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG49,30SVG4392,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG59,30SVG5091,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG04,30SVG0748,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG48,30SVG4587,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH42,30SVH4129,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG68,30SVG6287,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG58,30SVG5586,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG19,30SVG1992,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG16,30SVG1264,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG16,30SVG1065,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG15,30SVG1757,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG16,30SVG1963,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG04,30SVG0748,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH52,30SVH5227,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH62,30SVH6926,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG48,30SVG4584,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG14,30SVG1847,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG05,30SVG0656,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG14,30SVG1849,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG88,30SVG8884,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH62,30SVH6028,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG59,30SVG5890,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SWH00,30SWH0206,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG05,30SVG0855,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG49,30SVG4690,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG69,30SVG6897,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG58,30SVG5386,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG78,30SVG7885,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG10,30SVG1705,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH20,30SVH2707,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVH20,30SVH2904,https://doi.org/10.15470/wiadvo
Bellardia trixago,30SVG37,30SVG3071,https://doi.org/10.15470/wiadvo
Bellis annua microcephala,30SWG47,30SWG4473,https://doi.org/10.15470/wiadvo
Bellis annua microcephala,30SWG15,30SWG1757,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVH10,30SVH1506,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SUH60,30SUH6705,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVG55,30SVG5458,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVG64,30SVG6645,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVH11,30SVH1513,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVG26,30SVG2464,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SWH01,30SWH0014,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVG58,30SVG5288,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SWG08,30SWG0780,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVH04,30SVH0349,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVH83,30SVH8030,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVG37,30SVG3779,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVG38,30SVG3182,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVG28,30SVG2085,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVH31,30SVH3717,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVG99,30SVG9895,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVG99,30SVG9595,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVG46,30SVG4569,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVG16,30SVG1165,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVG25,30SVG2251,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SWH00,30SWH0005,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVG58,30SVG5988,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SWH00,30SWH0305,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVH53,30SVH5731,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVH53,30SVH5531,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SWH22,30SWH2222,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVG18,30SVG1589,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SWH34,30SWH3340,https://doi.org/10.15470/wiadvo
Bellis sylvestris,30SVG35,30SVG3656,https://doi.org/10.15470/wiadvo
Beta cicla,30SVG26,30SVG2760,https://doi.org/10.15470/wiadvo
Beta maritima,30SVG28,30SVG2784,https://doi.org/10.15470/wiadvo
Beta maritima,30SVG49,30SVG4092,https://doi.org/10.15470/wiadvo
Beta maritima,30SVG38,30SVG3685,https://doi.org/10.15470/wiadvo
Beta maritima,30SVG17,30SVG1179,https://doi.org/10.15470/wiadvo
Beta maritima,30SVG06,30SVG0168,https://doi.org/10.15470/wiadvo
Beta maritima,30SUG88,30SUG8982,https://doi.org/10.15470/wiadvo
Beta maritima,30SUG30,30SUG3800,https://doi.org/10.15470/wiadvo
Beta maritima,30SUG23,30SUG2034,https://doi.org/10.15470/wiadvo
Beta maritima,30SVG53,30SVG5236,https://doi.org/10.15470/wiadvo
Beta maritima,30SWG25,30SWG2152,https://doi.org/10.15470/wiadvo
Beta maritima,30SWG37,30SWG3974,https://doi.org/10.15470/wiadvo
Beta maritima,30SVH67,30SVH6271,https://doi.org/10.15470/wiadvo
Beta maritima,30SVH96,30SVH9268,https://doi.org/10.15470/wiadvo
Beta maritima,30SWG59,30SWG5296,https://doi.org/10.15470/wiadvo
Beta maritima,30SVG44,30SVG4749,https://doi.org/10.15470/wiadvo
Beta maritima,30SVG47,30SVG4079,https://doi.org/10.15470/wiadvo
Beta maritima,30SVG48,30SVG4081,https://doi.org/10.15470/wiadvo
Beta maritima,30SVG29,30SVG2990,https://doi.org/10.15470/wiadvo
Beta maritima,30SVH52,30SVH5529,https://doi.org/10.15470/wiadvo
Beta maritima,30SVH32,30SVH3926,https://doi.org/10.15470/wiadvo
Beta maritima,30SVG59,30SVG5094,https://doi.org/10.15470/wiadvo
Beta maritima,30SVH52,30SVH5529,https://doi.org/10.15470/wiadvo
Beta maritima,30SVH52,30SVH5426,https://doi.org/10.15470/wiadvo
Beta maritima,30SVG49,30SVG4094,https://doi.org/10.15470/wiadvo
Beta maritima,30SVG98,30SVG9285,https://doi.org/10.15470/wiadvo
Beta maritima,30SVG49,30SVG4390,https://doi.org/10.15470/wiadvo
Beta maritima,30SVH30,30SVH3000,https://doi.org/10.15470/wiadvo
Beta maritima,30SVG59,30SVG5098,https://doi.org/10.15470/wiadvo
Beta maritima,30SVG09,30SVG0892,https://doi.org/10.15470/wiadvo
Beta maritima,30SVG29,30SVG2491,https://doi.org/10.15470/wiadvo
Beta maritima,30SUG96,30SUG9760,https://doi.org/10.15470/wiadvo
Beta vulgaris,30SVH60,30SVH6009,https://doi.org/10.15470/wiadvo
Beta vulgaris vulgaris,30SVH96,30SVH9268,https://doi.org/10.15470/wiadvo
Beta vulgaris vulgaris,30SVG65,30SVG6350,https://doi.org/10.15470/wiadvo
Beta vulgaris vulgaris,30SVG19,30SVG1995,https://doi.org/10.15470/wiadvo
Beta vulgaris vulgaris,30SUG97,30SUG9177,https://doi.org/10.15470/wiadvo
Beta vulgaris maritima,30SVG38,30SVG3182,https://doi.org/10.15470/wiadvo
Bidens aurea,30SVG38,30SVG3183,https://doi.org/10.15470/wiadvo
Bidens aurea,30SVH21,30SVH2017,https://doi.org/10.15470/wiadvo
Bidens aurea,30SVG06,30SVG0560,https://doi.org/10.15470/wiadvo
Bidens aurea,30SVG37,30SVG3079,https://doi.org/10.15470/wiadvo
Biscutella megacarpea variegata,30SVG15,30SVG1853,https://doi.org/10.15470/wiadvo
Biscutella megacarpea variegata,30SVG47,30SVG4070,https://doi.org/10.15470/wiadvo
Biscutella megacarpea variegata,30SVG57,30SVG5776,https://doi.org/10.15470/wiadvo
Biscutella megacarpea variegata,30SVH90,30SVH9903,https://doi.org/10.15470/wiadvo
Biscutella sempervirens,30SVG57,30SVG5872,https://doi.org/10.15470/wiadvo
Biscutella sempervirens,30SVG27,30SVG2078,https://doi.org/10.15470/wiadvo
Biscutella sempervirens,30SWH10,30SWH1500,https://doi.org/10.15470/wiadvo
Biscutella sempervirens,30SVG36,30SVG3167,https://doi.org/10.15470/wiadvo
Biscutella sempervirens,30SVG35,30SVG3955,https://doi.org/10.15470/wiadvo
Biscutella stenophylla,30SWH11,30SWH1313,https://doi.org/10.15470/wiadvo
Biscutella valentina,30SVH46,30SVH4063,https://doi.org/10.15470/wiadvo
Biscutella variegata,30SWH31,30SWH3719,https://doi.org/10.15470/wiadvo
Biscutella variegata,30SWH01,30SWH0411,https://doi.org/10.15470/wiadvo
Biscutella variegata,30SVG27,30SVG2779,https://doi.org/10.15470/wiadvo
Biscutella variegata,30SVG27,30SVG2078,https://doi.org/10.15470/wiadvo
Biscutella variegata,30SWH14,30SWH1340,https://doi.org/10.15470/wiadvo
Biscutella variegata,30SVG06,30SVG0963,https://doi.org/10.15470/wiadvo
Biscutella variegata,30SWH10,30SWH1603,https://doi.org/10.15470/wiadvo
Biscutella variegata,30SWG19,30SWG1697,https://doi.org/10.15470/wiadvo
Biscutella variegata,30SVG27,30SVG2677,https://doi.org/10.15470/wiadvo
Biscutella variegata,30SWG19,30SWG1998,https://doi.org/10.15470/wiadvo
Biscutella variegata,30SWH21,30SWH2711,https://doi.org/10.15470/wiadvo
Biscutella variegata,30SUH94,30SUH9649,https://doi.org/10.15470/wiadvo
Biscutella variegata,30SVG27,30SVG2876,https://doi.org/10.15470/wiadvo
Biscutella variegata,30SVG05,30SVG0950,https://doi.org/10.15470/wiadvo
Biscutella variegata,30SVG05,30SVG0950,https://doi.org/10.15470/wiadvo
Biscutella variegata,30SVG15,30SVG1952,https://doi.org/10.15470/wiadvo
Biscutella variegata,30SVG26,30SVG2362,https://doi.org/10.15470/wiadvo
Blackstonia serotina,30SUG41,30SUG4411,https://doi.org/10.15470/wiadvo
Blackstonia serotina,30SVH37,30SVH3471,https://doi.org/10.15470/wiadvo
Blackstonia serotina,30SVH20,30SVH2901,https://doi.org/10.15470/wiadvo
Blackstonia serotina,30SVH52,30SVH5726,https://doi.org/10.15470/wiadvo
Bougainvillea spectabilis,30SVG41,NA,https://doi.org/10.15470/wiadvo
