Taxon,UTM10x10,References
Carex sylvatica,30SWH34,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SUG89,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SUH09,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SUH80,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SUH91,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVF36,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVG09,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVG29,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVG37,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVG38,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVG39,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVG48,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVG59,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVG69,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVH20,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVH30,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVH41,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVH52,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVH76,"Carlos Salazar-Martín, com.pers."
Lonicera xylosteum,30SWG13,"Carlos Salazar-Martín, com.pers."
Phyla nodiflora,30SVG32,"Carlos Salazar-Martín, com.pers."
Sempervivum tectorum,30SVG60,"Carlos Salazar-Martín, com.pers."
Sempervivum tectorum,30SVG71,"Carlos Salazar-Martín, com.pers."
Anthyllis terniflora,30SWG47,"Carlos Salazar-Martín, com.pers."
Artemisia herba-alba herba-alba,30STF77,"Carlos Salazar-Martín, com.pers."
Artemisia herba-alba herba-alba,30SUG96,"Carlos Salazar-Martín, com.pers."
Artemisia herba-alba herba-alba,30SVG16,"Carlos Salazar-Martín, com.pers."
Artemisia herba-alba herba-alba,30SVG37,"Carlos Salazar-Martín, com.pers."
Artemisia herba-alba herba-alba,30SVG46,"Carlos Salazar-Martín, com.pers."
Artemisia herba-alba herba-alba,30SVG47,"Carlos Salazar-Martín, com.pers."
Artemisia herba-alba herba-alba,30SVG48,"Carlos Salazar-Martín, com.pers."
Artemisia herba-alba herba-alba,30SVG88,"Carlos Salazar-Martín, com.pers."
Artemisia herba-alba herba-alba,30SVG97,"Carlos Salazar-Martín, com.pers."
Artemisia herba-alba herba-alba,30SWG47,"Carlos Salazar-Martín, com.pers."
Artemisia herba-alba valentina,30SVG87,"Carlos Salazar-Martín, com.pers."
Artemisia herba-alba valentina,30SVG88,"Carlos Salazar-Martín, com.pers."
Carex leersii,30SWG19,"Carlos Salazar-Martín, com.pers."
Carex riparia,30SUF65,"Carlos Salazar-Martín, com.pers."
Carex sylvatica,30SWH34,"Carlos Salazar-Martín, com.pers."
Carex sylvatica,30SWH57,"Carlos Salazar-Martín, com.pers."
Centaurea cordubensis,30SUH93,"Carlos Salazar-Martín, com.pers."
Cheirolophus sempervirens,30SWG35,"Carlos Salazar-Martín, com.pers."
Cheirolophus sempervirens,30SWG36,"Carlos Salazar-Martín, com.pers."
Cochlearia megalosperma,30SVF89,"Carlos Salazar-Martín, com.pers."
Cochlearia megalosperma,30SVG41,"Carlos Salazar-Martín, com.pers."
Cochlearia megalosperma,30SVG50,"Carlos Salazar-Martín, com.pers."
Cochlearia megalosperma,30SVG57,"Carlos Salazar-Martín, com.pers."
Cochlearia megalosperma,30SVG60,"Carlos Salazar-Martín, com.pers."
Cochlearia megalosperma,30SVG61,"Carlos Salazar-Martín, com.pers."
Cochlearia megalosperma,30SVG70,"Carlos Salazar-Martín, com.pers."
Cochlearia megalosperma,30SWH23,"Carlos Salazar-Martín, com.pers."
Cochlearia megalosperma,30SWH32,"Carlos Salazar-Martín, com.pers."
Cressa cretica,30SUG98,"Carlos Salazar-Martín, com.pers."
Crypsis schoenoides,30SWH21,"Carlos Salazar-Martín, com.pers."
Deschampsia cespitosa,30SWG08,"Carlos Salazar-Martín, com.pers."
Deschampsia cespitosa,30SWG09,"Carlos Salazar-Martín, com.pers."
Deschampsia cespitosa,30SWG19,"Carlos Salazar-Martín, com.pers."
Deschampsia cespitosa,30SWH01,"Carlos Salazar-Martín, com.pers."
Deschampsia cespitosa,30SWH33,"Carlos Salazar-Martín, com.pers."
Deschampsia cespitosa,30SWH34,"Carlos Salazar-Martín, com.pers."
Eleocharis uniglumis,30SWG19,"Carlos Salazar-Martín, com.pers."
Eleocharis uniglumis,30SWH00,"Carlos Salazar-Martín, com.pers."
Eleocharis uniglumis,30SWH23,"Carlos Salazar-Martín, com.pers."
Epilobium lanceolatum,30STF87,"Carlos Salazar-Martín, com.pers."
Epilobium lanceolatum,30SUF03,"Carlos Salazar-Martín, com.pers."
Erysimum fitzii,30SVG46,"Carlos Salazar-Martín, com.pers."
Euphrasia salisburgensis,30SVF08,"Carlos Salazar-Martín, com.pers."
Ferula loscosii,30SVG38,"Carlos Salazar-Martín, com.pers."
Fimbristylis bisumbellata,30SUH91,"Carlos Salazar-Martín, com.pers."
Fimbristylis bisumbellata,30SVH21,"Carlos Salazar-Martín, com.pers."
Fuirena pubescens,30SVH24,"Carlos Salazar-Martín, com.pers."
Fumana fontanesii,30STF89,"Carlos Salazar-Martín, com.pers."
Fumana fontanesii,30STF99,"Carlos Salazar-Martín, com.pers."
Galium estebanii,30SVG60,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SUG89,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SUH09,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SUH80,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SUH91,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVF36,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVG09,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVG29,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVG37,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVG38,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVG39,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVG48,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVG59,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVG69,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVH20,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVH30,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVH41,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVH52,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVH76,"Carlos Salazar-Martín, com.pers."
Groenlandia densa,30SUF88,"Carlos Salazar-Martín, com.pers."
Groenlandia densa,30SUG54,"Carlos Salazar-Martín, com.pers."
Groenlandia densa,30SVG10,"Carlos Salazar-Martín, com.pers."
Halocnemum strobilaceum,30SWF87,"Carlos Salazar-Martín, com.pers."
Hohenackeria exscapa,30SWG19,"Carlos Salazar-Martín, com.pers."
Humulus lupulus,30SWH33,"Carlos Salazar-Martín, com.pers."
Inula conyzae,30SWH42,"Carlos Salazar-Martín, com.pers."
Inula helvetica,30SWH00,"Carlos Salazar-Martín, com.pers."
Inula salicina,30SVF28,"Carlos Salazar-Martín, com.pers."
Lactuca viminea viminea,30SVG36,"Carlos Salazar-Martín, com.pers."
Lupinus mariae-josephi,30SUF55,"Carlos Salazar-Martín, com.pers."
Phleum phleoides,30SVH45,"Carlos Salazar-Martín, com.pers."
Phyla nodiflora,30SUF56,"Carlos Salazar-Martín, com.pers."
Phyla nodiflora,30SVF96,"Carlos Salazar-Martín, com.pers."
Phyla nodiflora,30SWF57,"Carlos Salazar-Martín, com.pers."
Plantago maritima serpentina,30SWG26,"Carlos Salazar-Martín, com.pers."
Polycnemum arvense,30SWG12,"Carlos Salazar-Martín, com.pers."
