Taxon,UTM10x10,References
Campanula lusitanica,30SUH93,"Carlos Salazar-Martín, com.pers."
Carex camposii tejedensis,30SVF18,"Carlos Salazar-Martín, com.pers."
Castrila latens,30SWG19,"Carlos Salazar-Martín, com.pers."
Castrila latens,30SWG29,"Carlos Salazar-Martín, com.pers."
Castrila latens,30SWH01,"Carlos Salazar-Martín, com.pers."
Castrila latens,30SWH20,"Carlos Salazar-Martín, com.pers."
Euphorbia guadalhorcensis,30SUF46,"Carlos Salazar-Martín, com.pers."
Euphorbia guadalhorcensis,30SUF47,"Carlos Salazar-Martín, com.pers."
Festuca arundinacea,30SUG96,"Carlos Salazar-Martín, com.pers."
Festuca arundinacea,30SVG17,"Carlos Salazar-Martín, com.pers."
Galatella malacitana,30SUF35,"Carlos Salazar-Martín, com.pers."
Genista hirsuta silicicola,30SUF02,"Carlos Salazar-Martín, com.pers."
Genista hirsuta silicicola,30SUF03,"Carlos Salazar-Martín, com.pers."
Genista hirsuta silicicola,30SUF24,"Carlos Salazar-Martín, com.pers."
Genista hirsuta silicicola,30SUF44,"Carlos Salazar-Martín, com.pers."
Genista hirsuta silicicola,30SUF55,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SVF08,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SVF49,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SVF57,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SVF58,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SVF59,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SVF68,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SVF77,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SVF78,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SVG20,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SVG40,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SVG51,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SVG52,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SVG62,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SVG73,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SVG91,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SVG93,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SWG02,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SWG03,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SWG12,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SWG13,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SWG22,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SWG23,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SWG25,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SWG54,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SWG71,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SWG72,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SWG73,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SWG74,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SWG81,"Carlos Salazar-Martín, com.pers."
Genista pumila,30SWG83,"Carlos Salazar-Martín, com.pers."
Gentiana lutea,30SVG90,"Carlos Salazar-Martín, com.pers."
Inula salicina,30SVF62,"Carlos Salazar-Martín, com.pers."
Isoetes lacustris,30SVG70,"Carlos Salazar-Martín, com.pers."
Linaria amethystea aedoi,30SWJ10,"Carlos Salazar-Martín, com.pers."
Linaria amethystea aedoi,30SWJ11,"Carlos Salazar-Martín, com.pers."
Linaria amethystea aedoi,30SWJ12,"Carlos Salazar-Martín, com.pers."
Linaria pseudamethystea,29SPB03,"Carlos Salazar-Martín, com.pers."
Linaria pseudamethystea,29SPB04,"Carlos Salazar-Martín, com.pers."
Linaria pseudamethystea,29SPB96,"Carlos Salazar-Martín, com.pers."
