Taxon,UTM10x10,UTM1x1,References
Adiantum capillus-veneris,30SXH96,30SXH9663,"Serra Laliga, L. 2019. La flora del Paisaje Protegido de las sierras del Maigmó y del Sit"
Adiantum capillus-veneris,30SYH06,30SYH0262,"Serra Laliga, L. 2019. La flora del Paisaje Protegido de las sierras del Maigmó y del Sit"
Adiantum capillus-veneris,30SYH06,30SYH0062,"Serra Laliga, L. 2019. La flora del Paisaje Protegido de las sierras del Maigmó y del Sit"
Adiantum capillus-veneris,30SYH06,30SYH0061,"Serra Laliga, L. 2019. La flora del Paisaje Protegido de las sierras del Maigmó y del Sit"
Adiantum capillus-veneris,30SXH96,30SXH9965,"Serra Laliga, L. 2019. La flora del Paisaje Protegido de las sierras del Maigmó y del Sit"
Adiantum capillus-veneris,30SXH96,30SXH9962,"Serra Laliga, L. 2019. La flora del Paisaje Protegido de las sierras del Maigmó y del Sit"
Adiantum capillus-veneris,30SXH96,30SXH9860,"Serra Laliga, L. 2019. La flora del Paisaje Protegido de las sierras del Maigmó y del Sit"
Adiantum capillus-veneris,30SXH96,30SXH9764,"Serra Laliga, L. 2019. La flora del Paisaje Protegido de las sierras del Maigmó y del Sit"
Adiantum capillus-veneris,30SXH96,30SXH9760,"Serra Laliga, L. 2019. La flora del Paisaje Protegido de las sierras del Maigmó y del Sit"
Adiantum capillus-veneris,30SXH96,30SXH9668,"Serra Laliga, L. 2019. La flora del Paisaje Protegido de las sierras del Maigmó y del Sit"
Antirrhinum controversum,30SXH95,30SXH9759,"Serra Laliga, L. 2019. La flora del Paisaje Protegido de las sierras del Maigmó y del Sit"
Antirrhinum controversum,30SYH06,30SYH0462,"Serra Laliga, L. 2019. La flora del Paisaje Protegido de las sierras del Maigmó y del Sit"
Antirrhinum controversum,30SYH07,30SYH0272,"Serra Laliga, L. 2019. La flora del Paisaje Protegido de las sierras del Maigmó y del Sit"
Antirrhinum controversum,30SYH07,30SYH0271,"Serra Laliga, L. 2019. La flora del Paisaje Protegido de las sierras del Maigmó y del Sit"
Antirrhinum controversum,30SYH07,30SYH0270,"Serra Laliga, L. 2019. La flora del Paisaje Protegido de las sierras del Maigmó y del Sit"
