Taxon,UTM10x10,References
Narcissus ramirezii,30SUF79,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
Narcissus ramirezii,30TTK56,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
Narcissus ramirezii,30SUG75,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
Narcissus ramirezii,30STJ96,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
Narcissus ramirezii,30STF97,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
Narcissus ramirezii,30SUF16,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
Narcissus ramirezii,30SUJ73,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
Narcissus ramirezii,29SPD85,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
Narcissus ramirezii,29SPE90,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
Narcissus ramirezii,29SQC59,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
