Taxon,UTM10x10,UTM1x1,References
Abutilon theophrasti,30TVP90,30TVP9701,"Rodrigo, A. L., Aguirre, J. C., & Prieto, E. F. (2009). Aportaciones a la flora vascular de Vizcaya, Guipúzcoa y Cantabria. Munibe Ciencias Naturales. Natur zientziak, (57), 47-65.. https://www.aranzadi.eus/fileadmin/docs/Munibe/2009047065CN.pdf"
Abutilon theophrasti,30TXM15,NA,"Aizpuru, I., Aseginolaza, C., Catalán, P., Uribe-Echebarría, P. M., & Urrutia, P. (1990). Algunas plantas navarras de interés corológico (I). Est. Mus. Cienc. Nat. Álava, 5, 83-90.. https://www.aranzadi.eus/fileadmin/docs/Munibe/1989-1990117122CN.pdf"
Abutilon theophrasti,30TXN17,30TXN1076,"Balda, A. (2002). Contribuciones al conocimiento de la flora navarra. Munibe, 53, 157-174.. https://www.aranzadi.eus/fileadmin/docs/Munibe/2002157173CN.pdf"
Abutilon theophrasti,30TXN17,30TXN1176,"Balda, A. (2002). Contribuciones al conocimiento de la flora navarra. Munibe, 53, 157-174.. https://www.aranzadi.eus/fileadmin/docs/Munibe/2002157173CN.pdf"
Abutilon theophrasti,30TXN17,30TXN1777,"Balda, A. (2002). Contribuciones al conocimiento de la flora navarra. Munibe, 53, 157-174.. https://www.aranzadi.eus/fileadmin/docs/Munibe/2002157173CN.pdf"
Abutilon theophrasti,30TXN28,30TXN2383,"Balda, A. (2002). Contribuciones al conocimiento de la flora navarra. Munibe, 53, 157-174.. https://www.aranzadi.eus/fileadmin/docs/Munibe/2002157173CN.pdf"
Acacia baileyana,29SPB52,NA,"Sánchez-Gullón, E. & Peña Ramos, J. F.(2021) Aportación al conocimiento de especies de acacias naturalizadas en la provincia de Huelva (SW España). Folia Botanica Extremadurensis,  15, 95-105. http://cicytex.juntaex.es/es/descargas/publicaciones-periodicas/83/folia-botanica-extremadurensis"
Acacia baileyana,29SPB91,29SPB9311,"Sánchez-Gullón, E. & Peña Ramos, J. F.(2021) Aportación al conocimiento de especies de acacias naturalizadas en la provincia de Huelva (SW España). Folia Botanica Extremadurensis,  15, 95-105. http://cicytex.juntaex.es/es/descargas/publicaciones-periodicas/83/folia-botanica-extremadurensis"
Acacia cyclops,29SPB72,NA,"Sánchez-Gullón, E. & Peña Ramos, J. F.(2021) Aportación al conocimiento de especies de acacias naturalizadas en la provincia de Huelva (SW España). Folia Botanica Extremadurensis,  15, 95-105. http://cicytex.juntaex.es/es/descargas/publicaciones-periodicas/83/folia-botanica-extremadurensis"
Acacia cyclops,31TBE77,31TBE7978,"Lluch, R. S., & Aguilera, S. C. (2022). Nuevos datos para la xenoflora catalana y valenciana. Flora Montiberica, (84), 73-91.. http://www.floramontiberica.org/FM/Flora_Montiberica84.pdf"
Acacia cyclops,31TBE89,31TBE8292,"Lluch, R. S., & Aguilera, S. C. (2022). Nuevos datos para la xenoflora catalana y valenciana. Flora Montiberica, (84), 73-91.. http://www.floramontiberica.org/FM/Flora_Montiberica84.pdf"
Acacia dealbata,29SPB66,29SPB6563,"Sánchez-Gullón, E. & Peña Ramos, J. F.(2021) Aportación al conocimiento de especies de acacias naturalizadas en la provincia de Huelva (SW España). Folia Botanica Extremadurensis,  15, 95-105. http://cicytex.juntaex.es/es/descargas/publicaciones-periodicas/83/folia-botanica-extremadurensis"
Acacia dealbata,29TPJ41,29TPJ4712,"Pino Pérez, R., Pino Pérez, J. J. , Silvia Pando, F. J. , & Camaño Portela, J. L.(2021). Asientos Corológicos FBIGA, 2019-2020. Boletín BIGA, (19), 5-77.. https://biga.org/Boletin_BIGA/Boletin_BIGA19/Pino_Asientos_Corologicos_FBIGA_2019-2020_BB19_p5-77.pdf"
Acacia dealbata,30TUK25,30TUK2052,"Enríquez-de-Salamanca Álvaro, Cabezas F., Lafuente I. ., López Manso P. ., Martínez Ronda M. . y Martorell A. . (2023). Atlas de la flora alóctona de Madrid, III. Papaveraceae-Urticaceae. Botanica Complutensis, 47, e79529.. https://doi.org/10.5209/bocm.79529"
Acacia dealbata,30TUK25,30TUK2454,"Enríquez-de-Salamanca Álvaro, Cabezas F., Lafuente I. ., López Manso P. ., Martínez Ronda M. . y Martorell A. . (2023). Atlas de la flora alóctona de Madrid, III. Papaveraceae-Urticaceae. Botanica Complutensis, 47, e79529.. https://doi.org/10.5209/bocm.79529"
Acacia dealbata,30TUK25,30TUK2550,"Enríquez-de-Salamanca Álvaro, Cabezas F., Lafuente I. ., López Manso P. ., Martínez Ronda M. . y Martorell A. . (2023). Atlas de la flora alóctona de Madrid, III. Papaveraceae-Urticaceae. Botanica Complutensis, 47, e79529.. https://doi.org/10.5209/bocm.79529"
Acacia dealbata,30TUK25,30TUK2858,"Enríquez-de-Salamanca Álvaro, Cabezas F., Lafuente I. ., López Manso P. ., Martínez Ronda M. . y Martorell A. . (2023). Atlas de la flora alóctona de Madrid, III. Papaveraceae-Urticaceae. Botanica Complutensis, 47, e79529.. https://doi.org/10.5209/bocm.79529"
Acacia dealbata,30TUK66,30TUK6061,"Enríquez-de-Salamanca Álvaro, Cabezas F., Lafuente I. ., López Manso P. ., Martínez Ronda M. . y Martorell A. . (2023). Atlas de la flora alóctona de Madrid, III. Papaveraceae-Urticaceae. Botanica Complutensis, 47, e79529.. https://doi.org/10.5209/bocm.79529"
Acacia dealbata,30TUK87,30TUK8670,"Enríquez-de-Salamanca Álvaro, Cabezas F., Lafuente I. ., López Manso P. ., Martínez Ronda M. . y Martorell A. . (2023). Atlas de la flora alóctona de Madrid, III. Papaveraceae-Urticaceae. Botanica Complutensis, 47, e79529.. https://doi.org/10.5209/bocm.79529"
Acacia dealbata,30TVK16,30TVK1463,"Enríquez-de-Salamanca Álvaro, Cabezas F., Lafuente I. ., López Manso P. ., Martínez Ronda M. . y Martorell A. . (2023). Atlas de la flora alóctona de Madrid, III. Papaveraceae-Urticaceae. Botanica Complutensis, 47, e79529.. https://doi.org/10.5209/bocm.79529"
Acacia dealbata,30TVK27,30TVK2179,"Enríquez-de-Salamanca Álvaro, Cabezas F., Lafuente I. ., López Manso P. ., Martínez Ronda M. . y Martorell A. . (2023). Atlas de la flora alóctona de Madrid, III. Papaveraceae-Urticaceae. Botanica Complutensis, 47, e79529.. https://doi.org/10.5209/bocm.79529"
Acacia dealbata,30TVK29,30TVK2492,"Enríquez-de-Salamanca Álvaro, Cabezas F., Lafuente I. ., López Manso P. ., Martínez Ronda M. . y Martorell A. . (2023). Atlas de la flora alóctona de Madrid, III. Papaveraceae-Urticaceae. Botanica Complutensis, 47, e79529.. https://doi.org/10.5209/bocm.79529"
Acacia dealbata,30TVK37,30TVK3274,"Enríquez-de-Salamanca Álvaro, Cabezas F., Lafuente I. ., López Manso P. ., Martínez Ronda M. . y Martorell A. . (2023). Atlas de la flora alóctona de Madrid, III. Papaveraceae-Urticaceae. Botanica Complutensis, 47, e79529.. https://doi.org/10.5209/bocm.79529"
Acacia dealbata,30TVK38,30TVK3286,"Enríquez-de-Salamanca Álvaro, Cabezas F., Lafuente I. ., López Manso P. ., Martínez Ronda M. . y Martorell A. . (2023). Atlas de la flora alóctona de Madrid, III. Papaveraceae-Urticaceae. Botanica Complutensis, 47, e79529.. https://doi.org/10.5209/bocm.79529"
Acacia dealbata,30TVK48,30TVK4188,"Enríquez-de-Salamanca Álvaro, Cabezas F., Lafuente I. ., López Manso P. ., Martínez Ronda M. . y Martorell A. . (2023). Atlas de la flora alóctona de Madrid, III. Papaveraceae-Urticaceae. Botanica Complutensis, 47, e79529.. https://doi.org/10.5209/bocm.79529"
Acacia dealbata,30TVL00,NA,"Enríquez-de-Salamanca Álvaro, Cabezas F., Lafuente I. ., López Manso P. ., Martínez Ronda M. . y Martorell A. . (2023). Atlas de la flora alóctona de Madrid, III. Papaveraceae-Urticaceae. Botanica Complutensis, 47, e79529.. https://doi.org/10.5209/bocm.79529"
Acacia dealbata,30TVL21,30TVL2510,"Enríquez-de-Salamanca Álvaro, Cabezas F., Lafuente I. ., López Manso P. ., Martínez Ronda M. . y Martorell A. . (2023). Atlas de la flora alóctona de Madrid, III. Papaveraceae-Urticaceae. Botanica Complutensis, 47, e79529.. https://doi.org/10.5209/bocm.79529"
Acacia dealbata,30TVL30,30TVL3802,"Enríquez-de-Salamanca Álvaro, Cabezas F., Lafuente I. ., López Manso P. ., Martínez Ronda M. . y Martorell A. . (2023). Atlas de la flora alóctona de Madrid, III. Papaveraceae-Urticaceae. Botanica Complutensis, 47, e79529.. https://doi.org/10.5209/bocm.79529"
Acacia dealbata,30TVL31,30TVL3314,"Enríquez-de-Salamanca Álvaro, Cabezas F., Lafuente I. ., López Manso P. ., Martínez Ronda M. . y Martorell A. . (2023). Atlas de la flora alóctona de Madrid, III. Papaveraceae-Urticaceae. Botanica Complutensis, 47, e79529.. https://doi.org/10.5209/bocm.79529"
Acacia farnesiana,29SPB82,29SPB8227,"Sánchez-Gullón, E. & Peña Ramos, J. F.(2021) Aportación al conocimiento de especies de acacias naturalizadas en la provincia de Huelva (SW España). Folia Botanica Extremadurensis,  15, 95-105. http://cicytex.juntaex.es/es/descargas/publicaciones-periodicas/83/folia-botanica-extremadurensis"
